pmid,type,source,full_text_path,in_included_set
17488204,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/17488204.html,True
20041475,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Human psychopharmacology/20041475.html,True
10717898,unavailable,pubget,,False
11013373,unavailable,pubget,,False
11280935,unavailable,pubget,,False
11399378,unavailable,pubget,,False
11511909,unavailable,pubget,,False
11756013,unavailable,pubget,,False
11972095,unavailable,pubget,,False
12191458,unavailable,pubget,,True
12495527,unavailable,pubget,,True
12634489,unavailable,pubget,,False
12716951,unavailable,pubget,,False
14595651,unavailable,pubget,,False
14766646,unavailable,pubget,,False
15325412,unavailable,pubget,,False
15459077,unavailable,pubget,,False
15501593,unavailable,pubget,,True
15570506,unavailable,pubget,,True
15780849,unavailable,pubget,,True
15854790,unavailable,pubget,,False
15863793,unavailable,pubget,,False
15880108,unavailable,pubget,,True
15997014,unavailable,pubget,,False
16039604,unavailable,pubget,,False
16125458,unavailable,pubget,,False
16180622,unavailable,pubget,,True
16186026,unavailable,pubget,,False
16201122,unavailable,pubget,,False
16245070,unavailable,pubget,,False
16249098,unavailable,pubget,,True
16249100,unavailable,pubget,,False
16292168,unavailable,pubget,,False
16388969,unavailable,pubget,,False
16520004,unavailable,pubget,,False
16585452,unavailable,pubget,,True
16624961,unavailable,pubget,,True
16798016,unavailable,pubget,,False
16806986,unavailable,pubget,,False
16938092,unavailable,pubget,,False
16996751,unavailable,pubget,,False
17010993,unavailable,pubget,,True
17062771,unavailable,pubget,,False
17069484,unavailable,pubget,,True
17079679,unavailable,pubget,,True
17151993,unavailable,pubget,,False
17459179,unavailable,pubget,,False
17467008,unavailable,pubget,,True
17471288,unavailable,pubget,,False
17536969,unavailable,pubget,,False
17566201,unavailable,pubget,,False
17580660,unavailable,pubget,,False
17683220,unavailable,pubget,,False
17690869,unavailable,pubget,,False
17895916,unavailable,pubget,,False
17900903,unavailable,pubget,,False
18076530,unavailable,pubget,,False
18085868,unavailable,pubget,,False
18180761,unavailable,pubget,,False
18258310,unavailable,pubget,,False
18280091,unavailable,pubget,,False
18281886,unavailable,pubget,,False
18323752,unavailable,pubget,,False
18345992,unavailable,pubget,,False
18388734,unavailable,pubget,,False
18452757,unavailable,pubget,,True
18544183,unavailable,pubget,,True
18580874,unavailable,pubget,,False
18587392,unavailable,pubget,,True
18589506,unavailable,pubget,,False
18606038,unavailable,pubget,,False
18661507,unavailable,pubget,,False
18726967,unavailable,pubget,,False
18786365,unavailable,pubget,,True
18817740,unavailable,pubget,,True
18843096,unavailable,pubget,,True
18925717,unavailable,pubget,,True
19047074,unavailable,pubget,,True
19101126,unavailable,pubget,,False
19142768,unavailable,pubget,,False
19188539,unavailable,pubget,,True
19218873,unavailable,pubget,,False
19230621,unavailable,pubget,,True
19246323,unavailable,pubget,,True
19398537,unavailable,pubget,,True
19426817,unavailable,pubget,,False
19429172,unavailable,pubget,,True
19478067,unavailable,pubget,,True
19486944,unavailable,pubget,,True
19545612,unavailable,pubget,,False
19555702,unavailable,pubget,,True
19564769,unavailable,pubget,,False
19589501,unavailable,pubget,,False
19589502,unavailable,pubget,,True
19596037,unavailable,pubget,,False
19624389,unavailable,pubget,,False
19656642,unavailable,pubget,,True
19735480,unavailable,pubget,,False
19739909,unavailable,pubget,,True
19755202,unavailable,pubget,,False
19758762,unavailable,pubget,,False
19766164,unavailable,pubget,,True
19783103,unavailable,pubget,,False
19899828,unavailable,pubget,,False
19945471,unavailable,pubget,,True
19959343,unavailable,pubget,,False
19969089,unavailable,pubget,,True
19995843,unavailable,pubget,,False
20007241,unavailable,pubget,,False
20019072,unavailable,pubget,,False
20038441,unavailable,pubget,,False
20045475,unavailable,pubget,,False
20112261,unavailable,pubget,,False
20121862,unavailable,pubget,,False
20122699,unavailable,pubget,,False
20123031,unavailable,pubget,,False
20123913,unavailable,pubget,,True
20127871,unavailable,pubget,,False
20141305,unavailable,pubget,,True
20141309,unavailable,pubget,,False
20303069,unavailable,pubget,,False
20390600,unavailable,pubget,,False
20419567,unavailable,pubget,,True
20537612,unavailable,pubget,,True
20569645,unavailable,pubget,,False
20652311,unavailable,pubget,,False
20667170,unavailable,pubget,,True
20674090,unavailable,pubget,,True
20677866,unavailable,pubget,,False
20726753,unavailable,pubget,,False
20819990,unavailable,pubget,,False
20820793,unavailable,pubget,,False
20832448,unavailable,pubget,,True
20869375,unavailable,pubget,,False
20869847,unavailable,pubget,,False
20923694,unavailable,pubget,,False
20934190,unavailable,pubget,,False
20950283,unavailable,pubget,,False
21071182,unavailable,pubget,,False
21073970,unavailable,pubget,,False
21106812,unavailable,pubget,,True
21134897,unavailable,pubget,,False
21138751,unavailable,pubget,,False
21145535,unavailable,pubget,,False
21196949,unavailable,pubget,,True
21246665,unavailable,pubget,,True
21287156,unavailable,pubget,,False
21296865,unavailable,pubget,,True
21315749,unavailable,pubget,,False
21353194,unavailable,pubget,,False
21354262,unavailable,pubget,,False
21373973,unavailable,pubget,,True
21432689,unavailable,pubget,,True
21447417,unavailable,pubget,,True
21464361,unavailable,pubget,,False
21510979,unavailable,pubget,,False
21516545,unavailable,pubget,,False
21540080,unavailable,pubget,,False
21546094,unavailable,pubget,,False
21557888,unavailable,pubget,,True
21577214,unavailable,pubget,,False
21590316,unavailable,pubget,,True
21609969,unavailable,pubget,,False
21646526,unavailable,pubget,,True
21666130,unavailable,pubget,,False
21704173,unavailable,pubget,,False
21712804,unavailable,pubget,,True
21752141,unavailable,pubget,,False
21782901,unavailable,pubget,,True
21799066,unavailable,pubget,,True
21861676,unavailable,pubget,,True
21867991,unavailable,pubget,,True
21896496,unavailable,pubget,,True
21897354,unavailable,pubget,,False
21907809,unavailable,pubget,,True
21934411,unavailable,pubget,,False
21939610,unavailable,pubget,,True
21940093,unavailable,pubget,,False
21983057,unavailable,pubget,,True
21998031,unavailable,pubget,,True
22015853,unavailable,pubget,,False
22016480,unavailable,pubget,,True
22027088,unavailable,pubget,,False
22056201,unavailable,pubget,,True
22099606,unavailable,pubget,,True
22115148,unavailable,pubget,,True
22147775,unavailable,pubget,,False
22156722,unavailable,pubget,,False
22172658,unavailable,pubget,,False
22189289,unavailable,pubget,,False
22200654,unavailable,pubget,,False
22210673,unavailable,pubget,,False
22217960,unavailable,pubget,,False
22250442,unavailable,pubget,,False
22262538,unavailable,pubget,,False
22313617,unavailable,pubget,,False
22359374,unavailable,pubget,,True
22369232,unavailable,pubget,,False
22396079,unavailable,pubget,,False
22401827,unavailable,pubget,,True
22422803,unavailable,pubget,,False
22483075,unavailable,pubget,,True
22500698,unavailable,pubget,,False
22517323,unavailable,pubget,,True
22519864,unavailable,pubget,,False
22579718,unavailable,pubget,,True
22586252,unavailable,pubget,,True
22592057,unavailable,pubget,,True
22617448,unavailable,pubget,,False
22617632,unavailable,pubget,,False
22634856,unavailable,pubget,,True
22659393,unavailable,pubget,,False
22705168,unavailable,pubget,,False
22717469,unavailable,pubget,,False
22781311,unavailable,pubget,,True
22842815,unavailable,pubget,,False
22858151,unavailable,pubget,,True
22858265,unavailable,pubget,,False
22867951,unavailable,pubget,,False
22880630,unavailable,pubget,,False
22901627,unavailable,pubget,,False
22902147,unavailable,pubget,,False
22905826,unavailable,pubget,,False
22910460,unavailable,pubget,,True
22945621,unavailable,pubget,,False
22956671,unavailable,pubget,,False
22978709,unavailable,pubget,,True
22980587,unavailable,pubget,,False
23020994,unavailable,pubget,,True
23035965,unavailable,pubget,,True
23046115,unavailable,pubget,,True
23046830,unavailable,pubget,,True
23070746,unavailable,pubget,,False
23074972,unavailable,pubget,,False
23118193,unavailable,pubget,,False
23146247,unavailable,pubget,,True
23223803,unavailable,pubget,,True
23270876,unavailable,pubget,,True
23313419,unavailable,pubget,,False
23317795,unavailable,pubget,,True
23318128,unavailable,pubget,,False
23319314,unavailable,pubget,,False
23347587,unavailable,pubget,,False
23348009,unavailable,pubget,,True
23364872,unavailable,pubget,,False
23381548,unavailable,pubget,,False
23385487,unavailable,pubget,,False
23398586,unavailable,pubget,,False
23473554,unavailable,pubget,,False
23473846,unavailable,pubget,,False
23473935,unavailable,pubget,,True
23482626,unavailable,pubget,,True
23501053,unavailable,pubget,,False
23510795,unavailable,pubget,,False
23516294,unavailable,pubget,,True
23552182,unavailable,pubget,,True
23553468,unavailable,pubget,,False
23563850,unavailable,pubget,,True
23570916,unavailable,pubget,,True
23590840,unavailable,pubget,,True
23615766,unavailable,pubget,,False
23624495,unavailable,pubget,,False
23644585,unavailable,pubget,,True
23664945,unavailable,pubget,,False
23689018,unavailable,pubget,,False
23732841,unavailable,pubget,,True
23747981,unavailable,pubget,,False
23768841,unavailable,pubget,,True
23768862,unavailable,pubget,,False
23770414,unavailable,pubget,,False
23777332,unavailable,pubget,,True
23790741,unavailable,pubget,,True
23800487,unavailable,pubget,,True
23827226,unavailable,pubget,,False
23827769,unavailable,pubget,,True
23880959,unavailable,pubget,,False
23887812,unavailable,pubget,,True
23887820,unavailable,pubget,,True
23921096,unavailable,pubget,,False
23943190,unavailable,pubget,,False
23945981,unavailable,pubget,,True
23946000,unavailable,pubget,,False
23959199,unavailable,pubget,,False
23960247,unavailable,pubget,,False
23968960,unavailable,pubget,,False
23975275,unavailable,pubget,,False
23981357,unavailable,pubget,,False
23988760,unavailable,pubget,,False
24019460,unavailable,pubget,,True
24033579,unavailable,pubget,,True
24038518,unavailable,pubget,,False
24039023,unavailable,pubget,,False
24052803,unavailable,pubget,,False
24064198,unavailable,pubget,,True
24096027,unavailable,pubget,,False
24119861,unavailable,pubget,,True
24135432,unavailable,pubget,,False
24145410,unavailable,pubget,,True
24163827,unavailable,pubget,,False
24173657,unavailable,pubget,,True
24229474,unavailable,pubget,,True
24234836,unavailable,pubget,,False
24241476,unavailable,pubget,,True
24270731,unavailable,pubget,,True
24275797,unavailable,pubget,,False
24290886,unavailable,pubget,,True
24336349,unavailable,pubget,,False
