stage,metric,value,ci_lower,ci_upper
search,true_positives,56,,
search,false_negatives,32,,
search,false_positives,218,,
search,recall,0.6363636363636364,0.5321109452578119,0.7292085439496931
search,precision,0.20437956204379562,0.16087467499728098,0.25605929025486274
abstract,true_positives,54,,
abstract,false_negatives,2,,
abstract,false_positives,129,,
abstract,recall_in_search,0.9642857142857143,0.8788099414778991,0.9901507814974224
abstract,recall_all_meta,0.6136363636363636,0.5091856433622111,0.7085805976440431
abstract,precision,0.29508196721311475,0.23376233479201058,0.36482812900191974
fulltext,true_positives,21,,
fulltext,false_negatives,31,,
fulltext,false_positives,24,,
fulltext,additional_false_negatives,31,,
fulltext,missing_full_text,2,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,35,,
fulltext,false_negatives_fulltext_only,31,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.40384615384615385,0.2815953542428228,0.5393266823750391
fulltext,recall_fulltext_only,0.40384615384615385,0.2815953542428228,0.5393266823750391
fulltext,absolute_recall_all_texts,0.375,0.26010029646692184,0.5059487396551069
fulltext,recall_all_meta,0.23863636363636365,0.1617092401848666,0.3374284055007487
fulltext,precision,0.4666666666666667,0.32934903942014737,0.6092279113758954
fulltext,precision_fulltext_only,0.4666666666666667,0.32934903942014737,0.6092279113758954
fulltext_with_coords,true_positives,5,,
fulltext_with_coords,false_negatives,47,,
fulltext_with_coords,false_positives,10,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.09615384615384616,0.041773735183410265,0.20609881861160995
fulltext_with_coords,recall_all_meta,0.056818181818181816,0.024510666532829656,0.1262009935427788
fulltext_with_coords,precision,0.3333333333333333,0.15176100694691236,0.5828687484878701
