pmid,type,source,full_text_path,in_included_set
10024961,unavailable,pubget,,True
10027489,unavailable,pubget,,True
10050993,unavailable,pubget,,True
10080561,unavailable,pubget,,True
10101553,unavailable,pubget,,True
10160462,unavailable,pubget,,True
10198130,unavailable,pubget,,True
10201421,unavailable,pubget,,True
10207485,unavailable,pubget,,True
10207651,unavailable,pubget,,True
10210906,unavailable,pubget,,True
10212312,unavailable,pubget,,True
10230524,unavailable,pubget,,True
10337980,unavailable,pubget,,True
10342176,unavailable,pubget,,True
10349294,unavailable,pubget,,True
10353369,unavailable,pubget,,True
10357184,unavailable,pubget,,True
10360128,unavailable,pubget,,True
10366198,unavailable,pubget,,True
10380825,unavailable,pubget,,True
10381605,unavailable,pubget,,True
10386530,unavailable,pubget,,True
10389671,unavailable,pubget,,True
10398947,unavailable,pubget,,True
10398962,unavailable,pubget,,True
10420997,unavailable,pubget,,True
10432178,unavailable,pubget,,True
10436110,unavailable,pubget,,True
10449119,unavailable,pubget,,True
10456764,unavailable,pubget,,True
10473358,unavailable,pubget,,True
10484104,unavailable,pubget,,True
10495195,unavailable,pubget,,True
10501054,unavailable,pubget,,True
10506724,unavailable,pubget,,True
10511333,unavailable,pubget,,True
10528937,unavailable,pubget,,True
10541600,unavailable,pubget,,True
10549479,unavailable,pubget,,True
10566379,unavailable,pubget,,True
10586335,unavailable,pubget,,True
10588471,unavailable,pubget,,True
10591898,unavailable,pubget,,True
10599766,unavailable,pubget,,True
10601740,unavailable,pubget,,True
10643714,unavailable,pubget,,True
10643727,unavailable,pubget,,True
10645733,unavailable,pubget,,True
10649682,unavailable,pubget,,True
10671402,unavailable,pubget,,True
10680764,unavailable,pubget,,True
10680767,unavailable,pubget,,True
10683845,unavailable,pubget,,True
10698045,unavailable,pubget,,True
10718556,unavailable,pubget,,True
10721187,unavailable,pubget,,True
10725959,unavailable,pubget,,True
10731771,unavailable,pubget,,True
10750010,unavailable,pubget,,True
10761350,unavailable,pubget,,True
10761367,unavailable,pubget,,True
10767090,unavailable,pubget,,True
10769312,unavailable,pubget,,True
10769314,unavailable,pubget,,True
10769315,unavailable,pubget,,True
10773558,unavailable,pubget,,True
10780634,unavailable,pubget,,True
10781101,unavailable,pubget,,True
10789271,unavailable,pubget,,True
10791680,unavailable,pubget,,True
10797171,unavailable,pubget,,True
10817581,unavailable,pubget,,True
10818983,unavailable,pubget,,True
10823306,unavailable,pubget,,True
10832522,unavailable,pubget,,True
10835119,unavailable,pubget,,True
10835124,unavailable,pubget,,True
10852226,unavailable,pubget,,True
10852235,unavailable,pubget,,True
10852783,unavailable,pubget,,True
10855761,unavailable,pubget,,True
10859011,unavailable,pubget,,True
