pmid,type,source,full_text_path,in_included_set
10420997,unavailable,pubget,,True
10643727,unavailable,pubget,,True
10769312,unavailable,pubget,,True
10780634,unavailable,pubget,,True
11133309,unavailable,pubget,,True
11407441,unavailable,pubget,,True
11435947,unavailable,pubget,,True
11438601,unavailable,pubget,,True
11859197,unavailable,pubget,,True
12003859,unavailable,pubget,,True
12631562,unavailable,pubget,,True
12645681,unavailable,pubget,,True
12814380,unavailable,pubget,,True
12943324,unavailable,pubget,,True
12944506,unavailable,pubget,,True
12948688,unavailable,pubget,,True
1362615,unavailable,pubget,,True
13679414,unavailable,pubget,,True
14511532,unavailable,pubget,,True
14762135,unavailable,pubget,,True
15165351,unavailable,pubget,,True
15502603,unavailable,pubget,,True
15668720,unavailable,pubget,,True
15709808,unavailable,pubget,,True
1609867,unavailable,pubget,,True
16180620,unavailable,pubget,,True
16197690,unavailable,pubget,,True
16323251,unavailable,pubget,,True
16452666,unavailable,pubget,,True
16460694,unavailable,pubget,,True
16492400,unavailable,pubget,,True
16513004,unavailable,pubget,,True
16580701,unavailable,pubget,,True
16794461,unavailable,pubget,,True
17065463,unavailable,pubget,,True
17105480,unavailable,pubget,,True
17133383,unavailable,pubget,,True
17133402,unavailable,pubget,,True
17159818,unavailable,pubget,,True
17243354,unavailable,pubget,,True
17329473,unavailable,pubget,,True
17963797,unavailable,pubget,,True
18178571,unavailable,pubget,,True
18385328,unavailable,pubget,,True
18589507,unavailable,pubget,,True
18829595,unavailable,pubget,,True
19005068,unavailable,pubget,,True
19046396,unavailable,pubget,,True
19163753,unavailable,pubget,,True
8047629,unavailable,pubget,,True
8238641,unavailable,pubget,,True
8318176,unavailable,pubget,,True
8472665,unavailable,pubget,,True
8691239,unavailable,pubget,,True
8931588,unavailable,pubget,,True
9110329,unavailable,pubget,,True
9437772,unavailable,pubget,,True
9448373,unavailable,pubget,,True
9464207,unavailable,pubget,,True
9476949,unavailable,pubget,,True
9510382,unavailable,pubget,,True
9703164,unavailable,pubget,,True
9740757,unavailable,pubget,,True
