id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12
10022492-10022492_1	9	0	0	0	0	0	0	0	0	0	0	0
10355680-10355680_1	1	0	0	0	0	0	0	0	0	0	0	0
10643729-10643729_1	2	1	0	0	0	0	0	0	0	0	0	0
10666562-10666562_1	5	1	0	0	1	0	0	0	0	0	0	0
10859133-10859133_1	11	0	0	0	0	1	0	0	0	0	0	0
10865104-10865104_1	0	0	0	1	0	0	0	0	0	0	0	0
10865104-10865104_2	1	0	1	0	0	0	0	0	0	0	0	0
10978708-10978708_1	1	1	1	1	0	0	0	0	0	0	0	0
10982749-10982749_1	11	3	1	2	0	0	0	0	0	0	0	0
10982749-10982749_2	14	3	0	3	0	0	0	0	0	0	0	0
11167061-11167061_1	1	1	3	0	0	0	0	0	0	0	0	0
11167061-11167061_2	6	0	1	1	0	0	0	0	0	0	0	0
11169874-11169874_1	4	1	0	1	0	0	0	1	0	0	0	0
11230097-11230097_1	2	0	0	0	0	0	0	0	0	0	0	0
11230097-11230097_2	2	0	0	0	0	0	0	0	0	0	0	0
11231835-11231835_1	2	0	0	1	0	0	0	0	0	0	0	0
11567063-11567063_1	0	2	0	0	0	0	0	0	0	0	0	0
11668653-11668653_1	1	0	0	0	0	0	0	0	0	0	0	0
11689307-11689307_1	4	3	0	0	0	0	0	0	0	0	0	0
11880658-11880658_1	5	0	0	0	0	0	0	0	0	0	0	0
11919006-11919006_1	3	0	1	0	0	0	0	0	0	0	0	0
11976394-11976394_1	2	0	0	0	0	0	0	0	0	0	0	0
12595179-12595179_1	5	1	0	0	0	0	0	0	0	0	0	0
12753960-12753960_1	3	0	0	1	0	0	0	0	0	0	0	0
12873752-12873752_1	3	0	0	0	0	0	0	0	0	0	0	0
12880912-12880912_1	2	0	0	0	0	0	0	0	0	0	0	0
12880912-12880912_2	1	0	1	0	0	0	0	0	0	0	0	0
12925284-12925284_1	1	1	0	0	0	0	0	0	0	0	0	0
14568502-14568502_1	3	1	0	1	0	0	0	0	0	0	0	0
14572528-14572528_1	0	0	0	0	0	0	0	0	0	0	0	0
14642464-14642464_1	0	0	0	0	0	0	0	0	0	0	0	0
14683717-14683717_1	1	0	0	0	0	0	0	0	0	0	0	0
14683728-14683728_1	4	1	0	1	0	0	0	0	0	0	0	0
15038006-15038006_1	2	0	0	0	0	0	0	0	0	0	0	0
15109998-15109998_1	6	0	1	0	0	0	0	0	0	0	0	0
15109998-15109998_2	10	0	1	0	1	0	0	0	0	0	0	0
15110011-15110011_1	0	0	0	0	0	0	0	0	0	0	0	0
15110011-15110011_2	2	0	0	0	0	0	0	0	0	0	0	0
15182319-15182319_1	9	2	0	2	0	0	0	0	0	0	0	0
15183386-15183386_1	3	0	0	1	0	0	0	0	0	0	0	0
15219581-15219581_1	1	0	1	0	0	0	0	0	0	0	0	0
15313521-15313521_1	5	1	0	1	1	0	0	0	0	0	0	0
15381021-15381021_1	9	2	0	0	1	0	0	0	0	0	0	0
15511653-15511653_1	4	0	1	2	1	0	0	0	0	1	0	0
15511653-15511653_2	2	0	0	0	0	0	0	0	1	0	0	0
15543553-15543553_1	10	4	1	0	0	0	0	0	0	0	0	0
15627588-15627588_1	11	0	0	1	0	0	0	0	0	0	0	0
15691530-15691530_1	1	0	0	0	0	0	0	0	0	0	0	0
15691530-15691530_2	1	0	0	0	0	0	0	0	0	0	0	0
15728770-15728770_1	4	2	0	1	0	0	0	0	0	0	0	0
15753243-15753243_1	12	0	0	2	0	0	0	0	0	0	0	0
15753243-15753243_2	7	0	0	2	0	1	0	1	0	0	0	0
15804721-15804721_1	8	1	2	1	0	0	0	0	0	0	0	0
15834861-15834861_1	7	1	1	0	1	0	0	0	0	1	0	0
15852388-15852388_1	3	0	0	0	0	1	0	0	0	0	0	0
15852388-15852388_2	3	0	0	0	0	1	0	0	0	0	0	0
15885507-15885507_1	7	2	0	2	0	0	0	0	0	0	0	0
15907308-15907308_1	5	0	0	1	0	0	0	0	0	0	0	0
15955496-15955496_1	4	2	0	0	0	0	0	0	0	0	0	0
16051547-16051547_1	7	0	0	1	0	1	0	0	0	0	0	0
16051547-16051547_2	6	1	0	0	1	0	0	0	0	0	0	0
16310510-16310510_1	1	0	0	0	0	0	0	0	0	0	0	0
16413795-16413795_1	2	1	0	1	0	0	0	0	0	1	0	0
16413795-16413795_2	8	1	0	0	0	0	0	1	0	0	0	0
16481440-16481440_1	1	0	0	0	1	0	0	0	0	0	0	0
16503328-16503328_1	3	1	0	0	0	0	0	0	0	0	0	0
16503328-16503328_2	6	0	0	0	0	0	0	0	0	0	0	0
16503328-16503328_3	6	0	0	0	0	0	0	0	0	0	0	0
16503328-16503328_4	5	0	0	0	0	0	0	0	0	0	0	0
16616832-16616832_1	13	1	0	1	0	0	0	0	0	0	0	0
16616832-16616832_2	9	1	0	1	0	0	0	0	0	0	0	0
16677831-16677831_1	1	0	1	1	0	0	0	0	0	0	0	0
16677831-16677831_2	2	0	0	0	0	0	0	0	0	0	0	0
16683265-16683265_1	0	0	0	0	0	0	0	0	0	0	0	0
16983390-16983390_1	2	0	0	0	0	0	0	0	0	0	0	0
16983390-16983390_2	1	0	0	0	0	0	0	0	0	0	0	0
16983390-16983390_3	7	0	0	0	0	0	0	0	0	0	0	0
17129190-17129190_1	3	0	1	1	0	1	0	0	0	0	0	0
17129190-17129190_2	1	0	0	0	0	0	0	0	0	0	0	0
17197035-17197035_1	1	1	0	1	0	0	0	0	0	0	0	0
17197035-17197035_2	6	0	1	1	0	0	0	0	0	0	0	0
17197035-17197035_3	4	1	0	0	0	0	0	0	0	0	0	0
17292926-17292926_1	2	0	0	0	0	0	0	0	0	0	0	0
17321151-17321151_1	6	1	0	1	0	0	0	0	0	0	0	0
17321151-17321151_2	4	0	0	0	0	0	0	0	0	0	0	0
17462914-17462914_1	2	1	1	0	0	0	0	0	0	0	0	0
17596416-17596416_1	8	0	0	0	0	0	0	0	0	0	0	0
17596416-17596416_2	5	0	0	0	0	0	0	0	0	0	0	0
17679639-17679639_1	10	0	0	0	0	0	0	1	1	0	0	0
17728263-17728263_1	5	2	0	0	0	0	0	0	0	0	0	0
17822681-17822681_1	6	2	1	0	0	0	0	0	0	0	0	0
17822681-17822681_2	6	0	0	0	0	0	0	1	0	0	0	0
17822681-17822681_3	7	0	0	0	0	0	0	1	0	0	0	0
17822681-17822681_4	4	0	0	0	0	0	0	0	0	0	0	1
17822681-17822681_5	9	3	0	1	0	0	0	1	0	0	0	0
17885578-17885578_1	1	0	0	0	0	0	0	0	0	0	0	0
18177843-18177843_1	3	1	0	1	0	0	0	0	0	0	0	0
18325582-18325582_1	3	1	0	0	0	0	0	0	0	0	0	0
18325582-18325582_2	4	1	0	0	0	0	0	0	0	0	0	0
18325582-18325582_3	4	0	0	0	0	0	0	0	0	0	0	0
18325582-18325582_4	1	0	0	0	0	0	0	0	0	0	0	0
9801381-9801381_1	2	0	0	0	0	0	0	0	0	0	0	0
9801381-9801381_2	1	0	0	0	0	0	0	0	0	0	0	0
