Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	14.0	50.0	9.930912924966366	125968
PositiveTail 1a	-4.0	6.0	52.0	9.930912924966366	
PositiveTail 1b	0.0	20.0	40.0	8.431322068128656	
PositiveTail 1c	-46.0	4.0	32.0	8.431322068128656	
PositiveTail 2	-34.0	-54.0	44.0	6.299888022031169	20312
PositiveTail 2a	-44.0	-46.0	50.0	5.635944340203118	
PositiveTail 2b	-36.0	-50.0	40.0	5.293480889981671	
PositiveTail 2c	-40.0	-56.0	48.0	4.939894016619858	
PositiveTail 3	-44.0	-56.0	-18.0	4.939894016619858	7384
PositiveTail 3a	-36.0	-62.0	-28.0	4.200223685406443	
PositiveTail 3b	-42.0	-58.0	-24.0	3.8143764169684062	
PositiveTail 3c	-40.0	-52.0	-18.0	3.8143764169684062	
PositiveTail 4	32.0	-58.0	48.0	4.575759647155474	13848
PositiveTail 4a	26.0	-66.0	50.0	4.575759647155474	
PositiveTail 4b	38.0	-54.0	48.0	4.200223685406443	
PositiveTail 4c	46.0	-46.0	48.0	3.8143764169684062	
PositiveTail 5	4.0	-14.0	2.0	3.4189843422259516	2840
PositiveTail 5a	4.0	-22.0	-2.0	2.1352252550708206	
PositiveTail 5b	-2.0	-16.0	6.0	2.1352252550708206	
PositiveTail 5c	2.0	-18.0	-4.0	2.1352252550708206	
PositiveTail 6	18.0	6.0	4.0	3.4189843422259516	1824
PositiveTail 6a	16.0	-4.0	16.0	2.582689431620524	
PositiveTail 6b	20.0	8.0	-2.0	2.1352252550708206	
PositiveTail 6c	12.0	-4.0	14.0	2.1352252550708206	
PositiveTail 7	-52.0	10.0	8.0	2.1352252550708206	80
PositiveTail 8	28.0	-78.0	30.0	2.1352252550708206	1240
PositiveTail 8a	34.0	-84.0	28.0	1.6628297237697667	
PositiveTail 9	34.0	-66.0	-30.0	2.1352252550708206	376
PositiveTail 9a	42.0	-62.0	-30.0	1.6628297237697667	
PositiveTail 10	46.0	-58.0	-12.0	2.1352252550708206	432
PositiveTail 10a	46.0	-48.0	-18.0	1.6628297237697667	
PositiveTail 10b	54.0	-54.0	-14.0	1.6628297237697667	
PositiveTail 11	54.0	-46.0	-2.0	2.1352252550708206	680
PositiveTail 11a	60.0	-40.0	0.0	2.1352252550708206	
PositiveTail 11b	52.0	-44.0	2.0	1.6628297237697667	
PositiveTail 11c	56.0	-44.0	-6.0	1.6628297237697667	
PositiveTail 12	28.0	-64.0	-22.0	1.6628297237697667	112
