id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18
10355680-10355680_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10859133-10859133_1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10865104-10865104_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10865104-10865104_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11169874-11169874_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11668653-11668653_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11689307-11689307_1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11919006-11919006_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12753960-12753960_1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
12880912-12880912_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12880912-12880912_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14568502-14568502_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14572528-14572528_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14683717-14683717_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15182319-15182319_1	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
15183386-15183386_1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15219581-15219581_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15313521-15313521_1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15381021-15381021_1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
15691530-15691530_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15691530-15691530_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15728770-15728770_1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15834861-15834861_1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15852388-15852388_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15852388-15852388_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16310510-16310510_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16677831-16677831_1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
16677831-16677831_2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16683265-16683265_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16949303-16949303_1	2	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
17129190-17129190_1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
17129190-17129190_2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
17321151-17321151_1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17321151-17321151_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17596416-17596416_1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17596416-17596416_2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17679639-17679639_1	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
17728263-17728263_1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18177843-18177843_1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18325582-18325582_1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18325582-18325582_2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18325582-18325582_3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18325582-18325582_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
