Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	6.0	52.0	6.528492061525076	15792
PositiveTail 1a	-6.0	2.0	60.0	5.885001994710964	
PositiveTail 1b	-4.0	12.0	54.0	5.885001994710964	
PositiveTail 1c	0.0	18.0	38.0	5.000297701519193	
PositiveTail 2	28.0	-2.0	58.0	5.000297701519193	4736
PositiveTail 2a	26.0	-6.0	48.0	4.0842941620227	
PositiveTail 2b	34.0	-2.0	52.0	4.0842941620227	
PositiveTail 2c	26.0	-2.0	46.0	3.5778832950954866	
PositiveTail 3	44.0	20.0	22.0	5.000297701519193	12384
PositiveTail 3a	52.0	18.0	20.0	4.0842941620227	
PositiveTail 3b	44.0	14.0	32.0	4.0842941620227	
PositiveTail 3c	52.0	24.0	14.0	3.5778832950954866	
PositiveTail 4	-52.0	-40.0	46.0	3.5778832950954866	1744
PositiveTail 4a	-40.0	-46.0	50.0	2.4950797116988426	
PositiveTail 4b	-54.0	-40.0	40.0	2.4950797116988426	
PositiveTail 4c	-52.0	-40.0	50.0	2.4950797116988426	
PositiveTail 5	-46.0	6.0	36.0	3.5778832950954866	1912
PositiveTail 5a	-46.0	14.0	34.0	3.5778832950954866	
PositiveTail 5b	-46.0	6.0	32.0	3.0556318803251896	
PositiveTail 5c	-44.0	14.0	30.0	3.0556318803251896	
PositiveTail 6	-28.0	-56.0	52.0	3.5778832950954866	2088
PositiveTail 6a	-20.0	-64.0	52.0	3.0556318803251896	
PositiveTail 6b	-34.0	-50.0	52.0	3.0556318803251896	
PositiveTail 6c	-26.0	-58.0	48.0	3.0556318803251896	
PositiveTail 7	-30.0	-4.0	50.0	3.5778832950954866	2648
PositiveTail 7a	-28.0	2.0	58.0	3.0556318803251896	
PositiveTail 7b	-26.0	-6.0	50.0	3.0556318803251896	
PositiveTail 7c	-36.0	-6.0	56.0	2.4950797116988426	
PositiveTail 8	36.0	-54.0	52.0	3.0556318803251896	1160
PositiveTail 8a	30.0	-46.0	48.0	1.8957117095600835	
PositiveTail 8b	38.0	-42.0	52.0	1.8957117095600835	
PositiveTail 9	26.0	-62.0	48.0	3.0556318803251896	1896
PositiveTail 9a	36.0	-60.0	50.0	2.4950797116988426	
PositiveTail 9b	22.0	-70.0	46.0	1.8957117095600835	
PositiveTail 9c	22.0	-58.0	50.0	1.8957117095600835	
PositiveTail 10	50.0	-46.0	30.0	3.0556318803251896	568
PositiveTail 11	-20.0	6.0	4.0	3.0556318803251896	1312
PositiveTail 11a	-38.0	12.0	0.0	2.4950797116988426	
PositiveTail 11b	-26.0	4.0	0.0	2.4950797116988426	
PositiveTail 11c	-22.0	8.0	10.0	1.8957117095600835	
PositiveTail 12	-42.0	24.0	26.0	3.0556318803251896	1776
PositiveTail 12a	-42.0	28.0	16.0	3.0556318803251896	
PositiveTail 12b	-40.0	36.0	16.0	2.4950797116988426	
PositiveTail 12c	-42.0	30.0	24.0	2.4950797116988426	
PositiveTail 13	-44.0	-56.0	-18.0	3.0556318803251896	360
PositiveTail 14	-10.0	44.0	-6.0	1.8957117095600835	264
PositiveTail 15	14.0	-92.0	-2.0	1.8957117095600835	88
PositiveTail 16	34.0	50.0	-12.0	1.8957117095600835	104
PositiveTail 17	-34.0	54.0	6.0	1.8957117095600835	184
PositiveTail 18	-18.0	-72.0	42.0	1.8957117095600835	88
