run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1-annotation-only,all,pooled_executive_function,158,57,True
v3-annotation-only,all,pooled_executive_function,231,63,True
v1-annotation-only,working_memory,working_memory,67,23,True
v3-annotation-only,working_memory,working_memory,94,26,True
v1-annotation-only,inhibition,inhibition,59,26,True
v3-annotation-only,inhibition,inhibition,86,29,True
v1-annotation-only,flexibility,cognitive_flexibility,11,6,True
v3-annotation-only,flexibility,cognitive_flexibility,15,5,True
v1-annotation-only,,all_analyses,331,71,False
v3-annotation-only,,all_analyses,319,69,False
