pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
10600415,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10600415/text.txt
11133306,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11133306/text.txt
11697946,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11697946/text.txt
11702561,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11702561/text.txt
11707086,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11707086/text.txt
12139955,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/12139955/text.txt
12377154,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/12377154/text.txt
12414261,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/12414261/text.txt
12498755,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/12498755/text.txt
12507442,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/12507442/text.txt
14674880,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of abnormal psychology/14674880.html
8232848,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/8232848/text.txt
8524452,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/8524452/text.txt
9038284,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9038284/text.txt
9299382,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9299382/text.txt
9343594,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9343594/text.txt
9343611,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9343611/text.txt
9345478,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9345478/text.txt
9626670,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9626670/text.txt
9704265,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/9704265.html
9758739,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9758739/text.txt
9927550,1,True,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/9927550/text.txt
10349294,1,True,True,unavailable,v1-annotation-only;v3,
10511450,1,True,True,unavailable,v1-annotation-only,
10574350,1,True,True,unavailable,v1-annotation-only,
10769312,1,True,True,unavailable,v1-annotation-only;v3,
10806026,1,True,True,unavailable,v1-annotation-only;v3,
11002353,1,True,True,unavailable,v1-annotation-only;v3,
11069306,1,True,True,unavailable,v1-annotation-only,
11113037,1,True,True,unavailable,v1-annotation-only,
11162266,1,True,True,unavailable,v1-annotation-only;v3,
11189943,1,True,True,unavailable,v1-annotation-only,
11241873,1,True,True,unavailable,v1-annotation-only,
11554517,1,True,True,unavailable,v1-annotation-only,
11571223,1,True,True,unavailable,v1-annotation-only,
11713630,1,True,True,unavailable,v1-annotation-only,
11733725,1,True,True,unavailable,v1-annotation-only,
11771973,1,True,True,unavailable,v1-annotation-only,
11848715,1,True,True,unavailable,v1-annotation-only;v3,
11906228,1,True,True,unavailable,v1-annotation-only;v3,
12126506,1,True,True,unavailable,v1-annotation-only;v3,
12240737,1,True,True,unavailable,v1-annotation-only;v3,
12631562,1,True,True,unavailable,v1-annotation-only;v3,
12727696,1,True,True,unavailable,v1-annotation-only;v3,
12946085,1,True,True,unavailable,v1-annotation-only;v3,
15056518,1,True,True,unavailable,v1-annotation-only,
15165351,1,True,True,unavailable,v1-annotation-only;v3,
15200705,1,True,True,unavailable,v1-annotation-only;v3,
15309395,1,True,True,unavailable,v1-annotation-only;v3,
15541071,1,True,True,unavailable,v1-annotation-only;v3,
15563726,1,True,True,unavailable,v1-annotation-only,
15741464,1,True,True,unavailable,v1-annotation-only;v3,
15841676,1,True,True,unavailable,v1-annotation-only,
16199829,1,True,True,unavailable,v1-annotation-only;v3,
1679944,1,True,True,unavailable,v1-annotation-only,
17133387,1,True,True,unavailable,v1-annotation-only,
17214564,1,True,True,unavailable,v1-annotation-only;v3,
17476364,1,True,True,unavailable,v1-annotation-only;v3,
17483530,1,True,True,unavailable,v1-annotation-only,
17525987,1,True,True,unavailable,v1-annotation-only;v3,
18363509,1,True,True,unavailable,v1-annotation-only;v3,
18370596,1,True,True,unavailable,v1-annotation-only;v3,
18511955,1,True,True,unavailable,v1-annotation-only;v3,
23968211,1,True,True,unavailable,v1-annotation-only,
23968463,1,True,True,unavailable,v1-annotation-only,
24578040,1,True,True,unavailable,v1-annotation-only,
24591198,1,True,True,unavailable,v1-annotation-only,
3277066,1,True,True,unavailable,v1-annotation-only,
7708745,1,True,True,unavailable,v1-annotation-only,
7846080,1,True,True,unavailable,v1-annotation-only,
8410148,1,True,True,unavailable,v1-annotation-only,
8430101,1,True,True,unavailable,v1-annotation-only,
8670634,1,True,True,unavailable,v1-annotation-only;v3,
8822570,1,True,True,unavailable,v1-annotation-only;v3,
8931588,1,True,True,unavailable,v1-annotation-only;v3,
9121583,1,True,True,unavailable,v1-annotation-only;v3,
9187292,1,True,True,unavailable,v1-annotation-only,
9223090,1,True,True,unavailable,v1-annotation-only;v3,
9305814,1,True,True,unavailable,v1-annotation-only,
9863701,1,True,True,unavailable,v1-annotation-only;v3,
10458942,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10458942/text.txt
10574376,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neuroreport/10574376.html
10679186,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10679186/text.txt
10686112,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10686112/text.txt
10686115,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10686115/text.txt
10806029,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10806029/text.txt
10860787,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10860787/text.txt
10860792,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10860792/text.txt
10875905,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10875905/text.txt
10913323,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10913323/text.txt
10944409,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/10944409/text.txt
11034857,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11034857/text.txt
11034863,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11034863/text.txt
11112400,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11112400/text.txt
11112403,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11112403/text.txt
11304076,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11304076/text.txt
11305889,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11305889/text.txt
11305902,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11305902/text.txt
11373136,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11373136/text.txt
11467901,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11467901/text.txt
11506653,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/11506653.html
11525336,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11525336/text.txt
11525339,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11525339/text.txt
11525340,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11525340/text.txt
11697932,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11697932/text.txt
11707089,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11707089/text.txt
11707097,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/11707097/text.txt
12146659,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/elsevier_output/12146659/text.txt
