stage,metric,value,ci_lower,ci_upper
search,true_positives,127,,
search,false_negatives,44,,
search,false_positives,6320,,
search,recall,0.7426900584795322,0.6723400442709234,0.8023753552678591
search,precision,0.01969908484566465,0.0165818939254033,0.023388332595117686
abstract,true_positives,111,,
abstract,false_negatives,16,,
abstract,false_positives,1665,,
abstract,recall_in_search,0.8740157480314961,0.8051244448916736,0.9209443283425273
abstract,recall_all_meta,0.6491228070175439,0.5750288904421552,0.7166637044551689
abstract,precision,0.0625,0.05215890363680446,0.07472969139322518
fulltext,true_positives,56,,
fulltext,false_negatives,12,,
fulltext,false_positives,535,,
fulltext,additional_false_negatives,12,,
fulltext,missing_full_text,47,,
fulltext,incomplete_full_text,2,,
fulltext,false_negatives_all_texts,71,,
fulltext,false_negatives_fulltext_only,12,,
fulltext,omitted_incomplete_fulltext,2,,
fulltext,recall_in_search,0.8235294117647058,0.7163933737056788,0.8960651461491128
fulltext,recall_fulltext_only,0.8235294117647058,0.7163933737056788,0.8960651461491128
fulltext,absolute_recall_all_texts,0.4409448818897638,0.3575859849966562,0.5277715771242595
fulltext,recall_all_meta,0.32748538011695905,0.26160930483355777,0.40094239910875346
fulltext,precision,0.09475465313028765,0.07369040834557934,0.12105320070933544
fulltext,precision_fulltext_only,0.09475465313028765,0.07369040834557934,0.12105320070933544
fulltext_with_coords,true_positives,48,,
fulltext_with_coords,false_negatives,20,,
fulltext_with_coords,false_positives,419,,
fulltext_with_coords,omitted_incomplete_fulltext,2,,
fulltext_with_coords,recall_in_search,0.7058823529411765,0.5889349573627328,0.8008113734539529
fulltext_with_coords,recall_all_meta,0.2807017543859649,0.21874049084032365,0.3522998107812584
fulltext_with_coords,precision,0.10278372591006424,0.07840359637018307,0.13364563632293497
