pmid,type,source,full_text_path,in_included_set
16284758,incomplete,/data/alejandro/projects/autonima-results/projects/problem_solving/ace_outputs,/data/alejandro/projects/autonima-results/projects/problem_solving/ace_outputs/html/Experimental brain research/16284758.html,True
17828390,incomplete,/data/alejandro/projects/autonima-results/projects/problem_solving/ace_outputs,/data/alejandro/projects/autonima-results/projects/problem_solving/ace_outputs/html/Experimental brain research/17828390.html,True
19641250,incomplete,pubget,projects/problem_solving/v1/retrieval/pubget_data/text.csv [pmcid=5452472],True
20521853,incomplete,/data/alejandro/projects/autonima-results/projects/problem_solving/ace_outputs,/data/alejandro/projects/autonima-results/projects/problem_solving/ace_outputs/html/Journal of cognitive neuroscience/20521853.html,True
10102821,unavailable,pubget,,True
10363454,unavailable,pubget,,True
10363956,unavailable,pubget,,True
10380965,unavailable,pubget,,True
10417251,unavailable,pubget,,True
10424411,unavailable,pubget,,True
10471848,unavailable,pubget,,True
10472197,unavailable,pubget,,True
10495195,unavailable,pubget,,True
10524597,unavailable,pubget,,True
10601743,unavailable,pubget,,True
10771413,unavailable,pubget,,True
10771414,unavailable,pubget,,True
10790322,unavailable,pubget,,True
10841995,unavailable,pubget,,True
10888341,unavailable,pubget,,True
10903207,unavailable,pubget,,True
10928739,unavailable,pubget,,True
10933215,unavailable,pubget,,True
10944414,unavailable,pubget,,True
10950912,unavailable,pubget,,True
10988030,unavailable,pubget,,True
11034858,unavailable,pubget,,True
11034863,unavailable,pubget,,True
11034866,unavailable,pubget,,True
11112400,unavailable,pubget,,True
11112403,unavailable,pubget,,True
11133317,unavailable,pubget,,True
11162272,unavailable,pubget,,True
11162278,unavailable,pubget,,True
11209958,unavailable,pubget,,True
11216882,unavailable,pubget,,True
11232158,unavailable,pubget,,True
11388925,unavailable,pubget,,True
11407441,unavailable,pubget,,True
11439722,unavailable,pubget,,True
11467901,unavailable,pubget,,True
11467902,unavailable,pubget,,True
11525330,unavailable,pubget,,True
11677398,unavailable,pubget,,True
11697933,unavailable,pubget,,True
11697945,unavailable,pubget,,True
11707105,unavailable,pubget,,True
11733724,unavailable,pubget,,True
11797080,unavailable,pubget,,True
11798384,unavailable,pubget,,True
11848695,unavailable,pubget,,True
11848697,unavailable,pubget,,True
11906222,unavailable,pubget,,True
12005883,unavailable,pubget,,True
12169242,unavailable,pubget,,True
12404614,unavailable,pubget,,True
12419128,unavailable,pubget,,True
12455682,unavailable,pubget,,True
12480582,unavailable,pubget,,True
12507442,unavailable,pubget,,True
12588917,unavailable,pubget,,True
12606841,unavailable,pubget,,True
12639338,unavailable,pubget,,True
12722972,unavailable,pubget,,True
12803967,unavailable,pubget,,True
12821793,unavailable,pubget,,True
12914254,unavailable,pubget,,True
12946085,unavailable,pubget,,True
14514445,unavailable,pubget,,True
14585751,unavailable,pubget,,True
14614811,unavailable,pubget,,True
14674880,unavailable,pubget,,True
15164897,unavailable,pubget,,True
15165353,unavailable,pubget,,True
15165354,unavailable,pubget,,True
15167540,unavailable,pubget,,True
15305123,unavailable,pubget,,True
15382253,unavailable,pubget,,True
15505971,unavailable,pubget,,True
15651051,unavailable,pubget,,True
15700721,unavailable,pubget,,True
15711850,unavailable,pubget,,True
15746230,unavailable,pubget,,True
15899117,unavailable,pubget,,True
15901409,unavailable,pubget,,True
15913007,unavailable,pubget,,True
