pmid,type,source,full_text_path,in_included_set
10025848,unavailable,pubget,,True
10029886,unavailable,pubget,,True
10070803,unavailable,pubget,,True
10072203,unavailable,pubget,,True
10091931,unavailable,pubget,,True
10100281,unavailable,pubget,,True
10193698,unavailable,pubget,,True
10199941,unavailable,pubget,,True
10204879,unavailable,pubget,,True
10211809,unavailable,pubget,,True
10211810,unavailable,pubget,,True
10227364,unavailable,pubget,,True
10231845,unavailable,pubget,,True
10232817,unavailable,pubget,,True
10319743,unavailable,pubget,,True
10329288,unavailable,pubget,,True
10349501,unavailable,pubget,,True
10363454,unavailable,pubget,,True
10380965,unavailable,pubget,,True
10385184,unavailable,pubget,,True
10398957,unavailable,pubget,,True
10400241,unavailable,pubget,,True
10416801,unavailable,pubget,,True
10416806,unavailable,pubget,,True
10441018,unavailable,pubget,,True
10450675,unavailable,pubget,,True
10450680,unavailable,pubget,,True
10450689,unavailable,pubget,,True
10458314,unavailable,pubget,,True
10458946,unavailable,pubget,,True
10471848,unavailable,pubget,,True
10478648,unavailable,pubget,,True
10493904,unavailable,pubget,,True
10501801,unavailable,pubget,,True
10501805,unavailable,pubget,,True
10505872,unavailable,pubget,,True
10515463,unavailable,pubget,,True
10525759,unavailable,pubget,,True
10532639,unavailable,pubget,,True
10534048,unavailable,pubget,,True
10547332,unavailable,pubget,,True
10554992,unavailable,pubget,,True
10579810,unavailable,pubget,,True
10580535,unavailable,pubget,,True
10582803,unavailable,pubget,,True
10591290,unavailable,pubget,,True
10601743,unavailable,pubget,,True
10608584,unavailable,pubget,,True
10628196,unavailable,pubget,,True
10630981,unavailable,pubget,,True
10641777,unavailable,pubget,,True
10647599,unavailable,pubget,,True
10661585,unavailable,pubget,,True
10664997,unavailable,pubget,,True
10666065,unavailable,pubget,,True
10666552,unavailable,pubget,,True
10667672,unavailable,pubget,,True
10673560,unavailable,pubget,,True
10679184,unavailable,pubget,,True
10683393,unavailable,pubget,,True
10695532,unavailable,pubget,,True
10698230,unavailable,pubget,,True
10700305,unavailable,pubget,,True
10716202,unavailable,pubget,,True
10716325,unavailable,pubget,,True
10746606,unavailable,pubget,,True
10749069,unavailable,pubget,,True
10750188,unavailable,pubget,,True
10755644,unavailable,pubget,,True
10765488,unavailable,pubget,,True
10768170,unavailable,pubget,,True
10768567,unavailable,pubget,,True
10768573,unavailable,pubget,,True
10769317,unavailable,pubget,,True
10805113,unavailable,pubget,,True
10808145,unavailable,pubget,,True
10860791,unavailable,pubget,,True
10862705,unavailable,pubget,,True
10864603,unavailable,pubget,,True
10869586,unavailable,pubget,,True
10875902,unavailable,pubget,,True
10899224,unavailable,pubget,,True
10918322,unavailable,pubget,,True
10923682,unavailable,pubget,,True
10931772,unavailable,pubget,,True
10941142,unavailable,pubget,,True
10950386,unavailable,pubget,,True
10952494,unavailable,pubget,,True
10971598,unavailable,pubget,,True
10988032,unavailable,pubget,,True
10994673,unavailable,pubget,,True
11007519,unavailable,pubget,,True
11008097,unavailable,pubget,,True
11011734,unavailable,pubget,,True
11021688,unavailable,pubget,,True
11021691,unavailable,pubget,,True
11021695,unavailable,pubget,,True
11026450,unavailable,pubget,,True
11045254,unavailable,pubget,,True
11098893,unavailable,pubget,,True
11105716,unavailable,pubget,,True
11105822,unavailable,pubget,,True
11114214,unavailable,pubget,,True
11121137,unavailable,pubget,,True
11123521,unavailable,pubget,,True
11159877,unavailable,pubget,,True
11164761,unavailable,pubget,,True
11166937,unavailable,pubget,,True
11176305,unavailable,pubget,,True
11182564,unavailable,pubget,,True
11187521,unavailable,pubget,,True
11189945,unavailable,pubget,,True
11200593,unavailable,pubget,,True
11216516,unavailable,pubget,,True
11216882,unavailable,pubget,,True
11223416,unavailable,pubget,,True
11232158,unavailable,pubget,,True
11234910,unavailable,pubget,,True
11300218,unavailable,pubget,,True
11304350,unavailable,pubget,,True
11318317,unavailable,pubget,,True
11322979,unavailable,pubget,,True
11323151,unavailable,pubget,,True
11325127,unavailable,pubget,,True
11333362,unavailable,pubget,,True
11337540,unavailable,pubget,,True
11339378,unavailable,pubget,,True
11381119,unavailable,pubget,,True
11383863,unavailable,pubget,,True
11384848,unavailable,pubget,,True
11385009,unavailable,pubget,,True
11386470,unavailable,pubget,,True
11389917,unavailable,pubget,,True
11401009,unavailable,pubget,,True
11409750,unavailable,pubget,,True
11410638,unavailable,pubget,,True
11411400,unavailable,pubget,,True
11431319,unavailable,pubget,,True
11438622,unavailable,pubget,,True
11438623,unavailable,pubget,,True
11443724,unavailable,pubget,,True
11445622,unavailable,pubget,,True
11451478,unavailable,pubget,,True
11459760,unavailable,pubget,,True
11473178,unavailable,pubget,,True
11525323,unavailable,pubget,,True
11525328,unavailable,pubget,,True
11525332,unavailable,pubget,,True
11526212,unavailable,pubget,,True
11534706,unavailable,pubget,,True
11554812,unavailable,pubget,,True
11560406,unavailable,pubget,,True
11567179,unavailable,pubget,,True
11585291,unavailable,pubget,,True
11587685,unavailable,pubget,,True
11590649,unavailable,pubget,,True
11595103,unavailable,pubget,,True
11604609,unavailable,pubget,,True
11641292,unavailable,pubget,,True
11684178,unavailable,pubget,,True
11686783,unavailable,pubget,,True
11696633,unavailable,pubget,,True
11740211,unavailable,pubget,,True
11746587,unavailable,pubget,,True
11750946,unavailable,pubget,,True
11752033,unavailable,pubget,,True
11758948,unavailable,pubget,,True
11768585,unavailable,pubget,,True
11781200,unavailable,pubget,,True
11784442,unavailable,pubget,,True
11797080,unavailable,pubget,,True
11797276,unavailable,pubget,,True
11797293,unavailable,pubget,,True
11814225,unavailable,pubget,,True
11820181,unavailable,pubget,,True
11837618,unavailable,pubget,,True
11838800,unavailable,pubget,,True
11848692,unavailable,pubget,,True
11884349,unavailable,pubget,,True
11931917,unavailable,pubget,,True
11932570,unavailable,pubget,,True
11936599,unavailable,pubget,,True
11960807,unavailable,pubget,,True
11969327,unavailable,pubget,,True
11969330,unavailable,pubget,,True
11969334,unavailable,pubget,,True
11976798,unavailable,pubget,,True
12005883,unavailable,pubget,,True
12011286,unavailable,pubget,,True
12034342,unavailable,pubget,,True
12042533,unavailable,pubget,,True
12043820,unavailable,pubget,,True
12074288,unavailable,pubget,,True
12088733,unavailable,pubget,,True
12124476,unavailable,pubget,,True
12124480,unavailable,pubget,,True
12126505,unavailable,pubget,,True
12126927,unavailable,pubget,,True
12138656,unavailable,pubget,,True
12151507,unavailable,pubget,,True
12151786,unavailable,pubget,,True
12163622,unavailable,pubget,,True
12163632,unavailable,pubget,,True
12163633,unavailable,pubget,,True
12165355,unavailable,pubget,,True
12166764,unavailable,pubget,,True
12172387,unavailable,pubget,,True
12172388,unavailable,pubget,,True
12173017,unavailable,pubget,,True
12183022,unavailable,pubget,,True
12199579,unavailable,pubget,,True
12215563,unavailable,pubget,,True
12271103,unavailable,pubget,,True
12271408,unavailable,pubget,,True
12349915,unavailable,pubget,,True
12357291,unavailable,pubget,,True
12361798,unavailable,pubget,,True
12368666,unavailable,pubget,,True
12377168,unavailable,pubget,,True
12379604,unavailable,pubget,,True
12404614,unavailable,pubget,,True
12408479,unavailable,pubget,,True
12418003,unavailable,pubget,,True
12439079,unavailable,pubget,,True
12468524,unavailable,pubget,,True
12483407,unavailable,pubget,,True
12488732,unavailable,pubget,,True
12488812,unavailable,pubget,,True
12495525,unavailable,pubget,,True
12498760,unavailable,pubget,,True
12507445,unavailable,pubget,,True
12510665,unavailable,pubget,,True
12519733,unavailable,pubget,,True
12539975,unavailable,pubget,,True
12544246,unavailable,pubget,,True
12557269,unavailable,pubget,,True
12571221,unavailable,pubget,,True
12577016,unavailable,pubget,,True
12595194,unavailable,pubget,,True
12597867,unavailable,pubget,,True
