pmid,type,source,full_text_path,in_included_set
10050895,unavailable,pubget,,True
10072204,unavailable,pubget,,True
10088897,unavailable,pubget,,True
10102821,unavailable,pubget,,True
10327426,unavailable,pubget,,True
10349294,unavailable,pubget,,True
10385576,unavailable,pubget,,True
10402587,unavailable,pubget,,True
10493897,unavailable,pubget,,True
10545400,unavailable,pubget,,True
10695527,unavailable,pubget,,True
10716869,unavailable,pubget,,True
10769309,unavailable,pubget,,True
10853949,unavailable,pubget,,True
10860798,unavailable,pubget,,True
10913319,unavailable,pubget,,True
10943726,unavailable,pubget,,True
10944407,unavailable,pubget,,True
11087770,unavailable,pubget,,True
11144754,unavailable,pubget,,True
11169871,unavailable,pubget,,True
11216882,unavailable,pubget,,True
11230094,unavailable,pubget,,True
11232158,unavailable,pubget,,True
11333372,unavailable,pubget,,True
11339378,unavailable,pubget,,True
11352627,unavailable,pubget,,True
11378887,unavailable,pubget,,True
11388925,unavailable,pubget,,True
11410948,unavailable,pubget,,True
11414583,unavailable,pubget,,True
11439722,unavailable,pubget,,True
11506649,unavailable,pubget,,True
11549618,unavailable,pubget,,True
11590113,unavailable,pubget,,True
11680506,unavailable,pubget,,True
11733724,unavailable,pubget,,True
11790634,unavailable,pubget,,True
11811830,unavailable,pubget,,True
11848695,unavailable,pubget,,True
11848709,unavailable,pubget,,True
11906222,unavailable,pubget,,True
11930236,unavailable,pubget,,True
12004195,unavailable,pubget,,True
12030825,unavailable,pubget,,True
12030827,unavailable,pubget,,True
12030832,unavailable,pubget,,True
12030833,unavailable,pubget,,True
12030834,unavailable,pubget,,True
12165380,unavailable,pubget,,True
12165479,unavailable,pubget,,True
12169246,unavailable,pubget,,True
12202089,unavailable,pubget,,True
12203346,unavailable,pubget,,True
12203684,unavailable,pubget,,True
12379604,unavailable,pubget,,True
12495525,unavailable,pubget,,True
12507445,unavailable,pubget,,True
12520413,unavailable,pubget,,True
12667527,unavailable,pubget,,True
12706224,unavailable,pubget,,True
12714175,unavailable,pubget,,True
12729491,unavailable,pubget,,True
12803967,unavailable,pubget,,True
12814573,unavailable,pubget,,True
12821793,unavailable,pubget,,True
12874776,unavailable,pubget,,True
12880802,unavailable,pubget,,True
12948704,unavailable,pubget,,True
13680443,unavailable,pubget,,True
14520337,unavailable,pubget,,True
14527620,unavailable,pubget,,True
14568456,unavailable,pubget,,True
14614811,unavailable,pubget,,True
14628755,unavailable,pubget,,True
14673806,unavailable,pubget,,True
14704218,unavailable,pubget,,True
14964560,unavailable,pubget,,True
15006677,unavailable,pubget,,True
15050563,unavailable,pubget,,True
15050594,unavailable,pubget,,True
15050595,unavailable,pubget,,True
15083528,unavailable,pubget,,True
15110021,unavailable,pubget,,True
15164897,unavailable,pubget,,True
15165354,unavailable,pubget,,True
15165355,unavailable,pubget,,True
15184616,unavailable,pubget,,True
15189475,unavailable,pubget,,True
15193596,unavailable,pubget,,True
15219606,unavailable,pubget,,True
15238433,unavailable,pubget,,True
15277622,unavailable,pubget,,True
15338730,unavailable,pubget,,True
15344487,unavailable,pubget,,True
15344494,unavailable,pubget,,True
15351766,unavailable,pubget,,True
15368088,unavailable,pubget,,True
15381714,unavailable,pubget,,True
15456816,unavailable,pubget,,True
15519761,unavailable,pubget,,True
15535172,unavailable,pubget,,True
15545327,unavailable,pubget,,True
15562431,unavailable,pubget,,True
15588616,unavailable,pubget,,True
15589105,unavailable,pubget,,True
15627578,unavailable,pubget,,True
15671857,unavailable,pubget,,True
15691723,unavailable,pubget,,True
15706227,unavailable,pubget,,True
15707905,unavailable,pubget,,True
15734359,unavailable,pubget,,True
15746230,unavailable,pubget,,True
15746486,unavailable,pubget,,True
15750701,unavailable,pubget,,True
15808966,unavailable,pubget,,True
15808976,unavailable,pubget,,True
15808990,unavailable,pubget,,True
15857698,unavailable,pubget,,True
15883354,unavailable,pubget,,True
15899117,unavailable,pubget,,True
15901409,unavailable,pubget,,True
15903115,unavailable,pubget,,True
15917455,unavailable,pubget,,True
15921937,unavailable,pubget,,True
15929098,unavailable,pubget,,True
15958738,unavailable,pubget,,True
16087440,unavailable,pubget,,True
16142781,unavailable,pubget,,True
16150579,unavailable,pubget,,True
16177511,unavailable,pubget,,True
16192338,unavailable,pubget,,True
16211802,unavailable,pubget,,True
16263844,unavailable,pubget,,True
16269249,unavailable,pubget,,True
16281292,unavailable,pubget,,True
16305825,unavailable,pubget,,True
16325382,unavailable,pubget,,True
16337110,unavailable,pubget,,True
16356329,unavailable,pubget,,True
16364661,unavailable,pubget,,True
16368249,unavailable,pubget,,True
16387401,unavailable,pubget,,True
16404736,unavailable,pubget,,True
16414278,unavailable,pubget,,True
16416329,unavailable,pubget,,True
16418844,unavailable,pubget,,True
16494687,unavailable,pubget,,True
16497521,unavailable,pubget,,True
16500831,unavailable,pubget,,True
16512999,unavailable,pubget,,True
16525130,unavailable,pubget,,True
16563803,unavailable,pubget,,True
16565953,unavailable,pubget,,True
16596618,unavailable,pubget,,True
16685905,unavailable,pubget,,True
16707739,unavailable,pubget,,True
16768370,unavailable,pubget,,True
16769226,unavailable,pubget,,True
16814889,unavailable,pubget,,True
16823468,unavailable,pubget,,True
16823492,unavailable,pubget,,True
16833694,unavailable,pubget,,True
16839289,unavailable,pubget,,True
16844388,unavailable,pubget,,True
16908493,unavailable,pubget,,True
16934301,unavailable,pubget,,True
16961940,unavailable,pubget,,True
17014375,unavailable,pubget,,True
17024841,unavailable,pubget,,True
17027486,unavailable,pubget,,True
17061117,unavailable,pubget,,True
17069484,unavailable,pubget,,True
17129192,unavailable,pubget,,True
17162995,unavailable,pubget,,True
17163350,unavailable,pubget,,True
17174987,unavailable,pubget,,True
17201512,unavailable,pubget,,True
17209415,unavailable,pubget,,True
17239619,unavailable,pubget,,True
17258909,unavailable,pubget,,True
17301679,unavailable,pubget,,True
17318835,unavailable,pubget,,True
17329129,unavailable,pubget,,True
17336947,unavailable,pubget,,True
17339089,unavailable,pubget,,True
17354687,unavailable,pubget,,True
17381255,unavailable,pubget,,True
17385077,unavailable,pubget,,True
17431059,unavailable,pubget,,True
17435599,unavailable,pubget,,True
17482836,unavailable,pubget,,True
17524674,unavailable,pubget,,True
17536966,unavailable,pubget,,True
17538951,unavailable,pubget,,True
17617658,unavailable,pubget,,True
17631362,unavailable,pubget,,True
17633723,unavailable,pubget,,True
17636560,unavailable,pubget,,True
17651008,unavailable,pubget,,True
17654574,unavailable,pubget,,True
17662699,unavailable,pubget,,True
17889562,unavailable,pubget,,True
17890108,unavailable,pubget,,True
17896597,unavailable,pubget,,True
17924553,unavailable,pubget,,True
17925295,unavailable,pubget,,True
17946435,unavailable,pubget,,True
17947338,unavailable,pubget,,True
18002175,unavailable,pubget,,True
18052787,unavailable,pubget,,True
18060720,unavailable,pubget,,True
18064589,unavailable,pubget,,True
18155926,unavailable,pubget,,True
18163826,unavailable,pubget,,True
18165105,unavailable,pubget,,True
18211236,unavailable,pubget,,True
18271738,unavailable,pubget,,True
18279324,unavailable,pubget,,True
18284346,unavailable,pubget,,True
18287125,unavailable,pubget,,True
18314351,unavailable,pubget,,True
18337016,unavailable,pubget,,True
18370603,unavailable,pubget,,True
18378168,unavailable,pubget,,True
18395472,unavailable,pubget,,True
18400794,unavailable,pubget,,True
18407525,unavailable,pubget,,True
18416672,unavailable,pubget,,True
18483003,unavailable,pubget,,True
18541277,unavailable,pubget,,True
18547821,unavailable,pubget,,True
18564039,unavailable,pubget,,True
18584891,unavailable,pubget,,True
18589827,unavailable,pubget,,True
18601618,unavailable,pubget,,True
18633832,unavailable,pubget,,True
18635705,unavailable,pubget,,True
18667160,unavailable,pubget,,True
18686056,unavailable,pubget,,True
18691661,unavailable,pubget,,True
18805493,unavailable,pubget,,True
18807983,unavailable,pubget,,True
18823250,unavailable,pubget,,True
18823252,unavailable,pubget,,True
18923039,unavailable,pubget,,True
18978666,unavailable,pubget,,True
18985324,unavailable,pubget,,True
18993006,unavailable,pubget,,True
19012106,unavailable,pubget,,True
19015093,unavailable,pubget,,True
19018949,unavailable,pubget,,True
19028549,unavailable,pubget,,True
19041332,unavailable,pubget,,True
19041348,unavailable,pubget,,True
19059349,unavailable,pubget,,True
19074215,unavailable,pubget,,True
19084070,unavailable,pubget,,True
19087165,unavailable,pubget,,True
19103972,unavailable,pubget,,True
19146292,unavailable,pubget,,True
19162048,unavailable,pubget,,True
19162204,unavailable,pubget,,True
19170163,unavailable,pubget,,True
19172646,unavailable,pubget,,True
19188601,unavailable,pubget,,True
19216061,unavailable,pubget,,True
19255058,unavailable,pubget,,True
19269334,unavailable,pubget,,True
19281801,unavailable,pubget,,True
19281849,unavailable,pubget,,True
19303449,unavailable,pubget,,True
19341805,unavailable,pubget,,True
19383937,unavailable,pubget,,True
19400684,unavailable,pubget,,True
19414052,unavailable,pubget,,True
19414462,unavailable,pubget,,True
19429163,unavailable,pubget,,True
19446348,unavailable,pubget,,True
19463958,unavailable,pubget,,True
19479729,unavailable,pubget,,True
19494424,unavailable,pubget,,True
19500677,unavailable,pubget,,True
19530275,unavailable,pubget,,True
19543005,unavailable,pubget,,True
19567939,unavailable,pubget,,True
19580380,unavailable,pubget,,True
19605520,unavailable,pubget,,True
19643117,unavailable,pubget,,True
19678593,unavailable,pubget,,True
19687293,unavailable,pubget,,True
19698726,unavailable,pubget,,True
19709652,unavailable,pubget,,True
19727598,unavailable,pubget,,True
19747552,unavailable,pubget,,True
19809575,unavailable,pubget,,True
19830267,unavailable,pubget,,True
19861234,unavailable,pubget,,True
19878729,unavailable,pubget,,True
19890012,unavailable,pubget,,True
19906809,unavailable,pubget,,True
19946611,unavailable,pubget,,True
19958837,unavailable,pubget,,True
19964852,unavailable,pubget,,True
20100882,unavailable,pubget,,True
20107051,unavailable,pubget,,True
20116955,unavailable,pubget,,True
20124742,unavailable,pubget,,True
20125056,unavailable,pubget,,True
20171288,unavailable,pubget,,True
20184959,unavailable,pubget,,True
20203180,unavailable,pubget,,True
20221947,unavailable,pubget,,True
20362488,unavailable,pubget,,True
20417065,unavailable,pubget,,True
20433774,unavailable,pubget,,True
20434468,unavailable,pubget,,True
20435051,unavailable,pubget,,True
20457861,unavailable,pubget,,True
20472074,unavailable,pubget,,True
20486013,unavailable,pubget,,True
20494266,unavailable,pubget,,True
20599621,unavailable,pubget,,True
20661837,unavailable,pubget,,True
20674279,unavailable,pubget,,True
20861384,unavailable,pubget,,True
20865250,unavailable,pubget,,True
20876002,unavailable,pubget,,True
20879309,unavailable,pubget,,True
20933056,unavailable,pubget,,True
20963818,unavailable,pubget,,True
20970507,unavailable,pubget,,True
21051084,unavailable,pubget,,True
21077136,unavailable,pubget,,True
21097958,unavailable,pubget,,True
21111514,unavailable,pubget,,True
21183458,unavailable,pubget,,True
21195584,unavailable,pubget,,True
21228454,unavailable,pubget,,True
21229617,unavailable,pubget,,True
21238433,unavailable,pubget,,True
21241745,unavailable,pubget,,True
21258093,unavailable,pubget,,True
21275607,unavailable,pubget,,True
21295145,unavailable,pubget,,True
21296027,unavailable,pubget,,True
