pmid,type,source,full_text_path,in_included_set
10075897,unavailable,pubget,,True
10096415,unavailable,pubget,,True
10202567,unavailable,pubget,,True
10210838,unavailable,pubget,,True
10229724,unavailable,pubget,,True
10320212,unavailable,pubget,,True
10363454,unavailable,pubget,,True
10390725,unavailable,pubget,,True
10432180,unavailable,pubget,,True
10454151,unavailable,pubget,,True
10498441,unavailable,pubget,,True
10501577,unavailable,pubget,,True
10543677,unavailable,pubget,,True
10564377,unavailable,pubget,,True
10586971,unavailable,pubget,,True
10611121,unavailable,pubget,,True
10698057,unavailable,pubget,,True
10734010,unavailable,pubget,,True
10746605,unavailable,pubget,,True
10753488,unavailable,pubget,,True
10771414,unavailable,pubget,,True
10838149,unavailable,pubget,,True
10843517,unavailable,pubget,,True
10852226,unavailable,pubget,,True
10864232,unavailable,pubget,,True
10867223,unavailable,pubget,,True
10869578,unavailable,pubget,,True
10900023,unavailable,pubget,,True
10902692,unavailable,pubget,,True
10906317,unavailable,pubget,,True
10934267,unavailable,pubget,,True
10934558,unavailable,pubget,,True
11002353,unavailable,pubget,,True
11034856,unavailable,pubget,,True
11034859,unavailable,pubget,,True
11163369,unavailable,pubget,,True
11170808,unavailable,pubget,,True
11173879,unavailable,pubget,,True
11232158,unavailable,pubget,,True
11255453,unavailable,pubget,,True
11264319,unavailable,pubget,,True
11277595,unavailable,pubget,,True
11280962,unavailable,pubget,,True
11304080,unavailable,pubget,,True
11373131,unavailable,pubget,,True
11373134,unavailable,pubget,,True
11388925,unavailable,pubget,,True
11467905,unavailable,pubget,,True
11467915,unavailable,pubget,,True
11500993,unavailable,pubget,,True
11506648,unavailable,pubget,,True
11506665,unavailable,pubget,,True
11507655,unavailable,pubget,,True
11640935,unavailable,pubget,,True
11692039,unavailable,pubget,,True
11697939,unavailable,pubget,,True
11698604,unavailable,pubget,,True
11721864,unavailable,pubget,,True
11723264,unavailable,pubget,,True
11848697,unavailable,pubget,,True
11900744,unavailable,pubget,,True
11970810,unavailable,pubget,,True
11986127,unavailable,pubget,,True
11997709,unavailable,pubget,,True
12244209,unavailable,pubget,,True
12376701,unavailable,pubget,,True
12414280,unavailable,pubget,,True
12414300,unavailable,pubget,,True
12427682,unavailable,pubget,,True
12457377,unavailable,pubget,,True
12488794,unavailable,pubget,,True
12518288,unavailable,pubget,,True
12593457,unavailable,pubget,,True
12644352,unavailable,pubget,,True
12679295,unavailable,pubget,,True
12725760,unavailable,pubget,,True
12803967,unavailable,pubget,,True
12805122,unavailable,pubget,,True
12821095,unavailable,pubget,,True
12821793,unavailable,pubget,,True
12880907,unavailable,pubget,,True
14509213,unavailable,pubget,,True
14527585,unavailable,pubget,,True
14597297,unavailable,pubget,,True
14614811,unavailable,pubget,,True
14617709,unavailable,pubget,,True
14656487,unavailable,pubget,,True
14689506,unavailable,pubget,,True
14741648,unavailable,pubget,,True
14741670,unavailable,pubget,,True
14755836,unavailable,pubget,,True
15006649,unavailable,pubget,,True
15019393,unavailable,pubget,,True
15050780,unavailable,pubget,,True
15054055,unavailable,pubget,,True
15072672,unavailable,pubget,,True
15108303,unavailable,pubget,,True
15165354,unavailable,pubget,,True
15182320,unavailable,pubget,,True
15183397,unavailable,pubget,,True
15184616,unavailable,pubget,,True
15193583,unavailable,pubget,,True
15200709,unavailable,pubget,,True
15219589,unavailable,pubget,,True
15277622,unavailable,pubget,,True
15297367,unavailable,pubget,,True
15449360,unavailable,pubget,,True
15453978,unavailable,pubget,,True
15488911,unavailable,pubget,,True
15557495,unavailable,pubget,,True
15582751,unavailable,pubget,,True
15589101,unavailable,pubget,,True
15599074,unavailable,pubget,,True
15601516,unavailable,pubget,,True
15619544,unavailable,pubget,,True
15654552,unavailable,pubget,,True
15673663,unavailable,pubget,,True
15701237,unavailable,pubget,,True
15707797,unavailable,pubget,,True
15722208,unavailable,pubget,,True
15729440,unavailable,pubget,,True
15803557,unavailable,pubget,,True
15815582,unavailable,pubget,,True
15826972,unavailable,pubget,,True
15833592,unavailable,pubget,,True
15855024,unavailable,pubget,,True
15913008,unavailable,pubget,,True
15929498,unavailable,pubget,,True
15978553,unavailable,pubget,,True
16019234,unavailable,pubget,,True
16019572,unavailable,pubget,,True
16036465,unavailable,pubget,,True
16037664,unavailable,pubget,,True
16045068,unavailable,pubget,,True
16087350,unavailable,pubget,,True
16135867,unavailable,pubget,,True
16150579,unavailable,pubget,,True
16154446,unavailable,pubget,,True
16180624,unavailable,pubget,,True
16183616,unavailable,pubget,,True
16197695,unavailable,pubget,,True
16209427,unavailable,pubget,,True
16221923,unavailable,pubget,,True
16262647,unavailable,pubget,,True
16263844,unavailable,pubget,,True
16280140,unavailable,pubget,,True
16313931,unavailable,pubget,,True
16341023,unavailable,pubget,,True
16407540,unavailable,pubget,,True
16420468,unavailable,pubget,,True
16497521,unavailable,pubget,,True
16697526,unavailable,pubget,,True
16716389,unavailable,pubget,,True
16738490,unavailable,pubget,,True
16757180,unavailable,pubget,,True
16798015,unavailable,pubget,,True
16801651,unavailable,pubget,,True
16806977,unavailable,pubget,,True
16822733,unavailable,pubget,,True
16832659,unavailable,pubget,,True
16846742,unavailable,pubget,,True
16971677,unavailable,pubget,,True
16997905,unavailable,pubget,,True
17000970,unavailable,pubget,,True
17003078,unavailable,pubget,,True
17119311,unavailable,pubget,,True
17126370,unavailable,pubget,,True
17134649,unavailable,pubget,,True
17160371,unavailable,pubget,,True
17178430,unavailable,pubget,,True
17184881,unavailable,pubget,,True
17214381,unavailable,pubget,,True
17215478,unavailable,pubget,,True
17258912,unavailable,pubget,,True
17282448,unavailable,pubget,,True
17283202,unavailable,pubget,,True
17336947,unavailable,pubget,,True
17337745,unavailable,pubget,,True
17350142,unavailable,pubget,,True
17376706,unavailable,pubget,,True
17434917,unavailable,pubget,,True
17448507,unavailable,pubget,,True
17458447,unavailable,pubget,,True
17475292,unavailable,pubget,,True
17488202,unavailable,pubget,,True
17497631,unavailable,pubget,,True
17499169,unavailable,pubget,,True
17543421,unavailable,pubget,,True
17582746,unavailable,pubget,,True
17618423,unavailable,pubget,,True
17631871,unavailable,pubget,,True
17651869,unavailable,pubget,,True
17698704,unavailable,pubget,,True
17699696,unavailable,pubget,,True
17719211,unavailable,pubget,,True
17897686,unavailable,pubget,,True
17942721,unavailable,pubget,,True
17943000,unavailable,pubget,,True
17978028,unavailable,pubget,,True
17983290,unavailable,pubget,,True
17997284,unavailable,pubget,,True
18052787,unavailable,pubget,,True
18070738,unavailable,pubget,,True
18090314,unavailable,pubget,,True
18180141,unavailable,pubget,,True
18181241,unavailable,pubget,,True
18181784,unavailable,pubget,,True
18211236,unavailable,pubget,,True
18219619,unavailable,pubget,,True
18234685,unavailable,pubget,,True
18243736,unavailable,pubget,,True
18245041,unavailable,pubget,,True
18249421,unavailable,pubget,,True
18279872,unavailable,pubget,,True
18280753,unavailable,pubget,,True
18304205,unavailable,pubget,,True
18314252,unavailable,pubget,,True
18474845,unavailable,pubget,,True
18483003,unavailable,pubget,,True
18597227,unavailable,pubget,,True
18602410,unavailable,pubget,,True
18634890,unavailable,pubget,,True
18686056,unavailable,pubget,,True
18690393,unavailable,pubget,,True
18691562,unavailable,pubget,,True
18698134,unavailable,pubget,,True
18702583,unavailable,pubget,,True
18794492,unavailable,pubget,,True
18823229,unavailable,pubget,,True
18848742,unavailable,pubget,,True
18853338,unavailable,pubget,,True
18972392,unavailable,pubget,,True
18987882,unavailable,pubget,,True
19018949,unavailable,pubget,,True
19034897,unavailable,pubget,,True
19051093,unavailable,pubget,,True
19058786,unavailable,pubget,,True
19086201,unavailable,pubget,,True
19095230,unavailable,pubget,,True
19100312,unavailable,pubget,,True
19100840,unavailable,pubget,,True
19118131,unavailable,pubget,,True
19199406,unavailable,pubget,,True
19199412,unavailable,pubget,,True
19255058,unavailable,pubget,,True
19300986,unavailable,pubget,,True
19324533,unavailable,pubget,,True
19339493,unavailable,pubget,,True
19366283,unavailable,pubget,,True
19397900,unavailable,pubget,,True
19402923,unavailable,pubget,,True
19406904,unavailable,pubget,,True
19428407,unavailable,pubget,,True
19460543,unavailable,pubget,,True
19533912,unavailable,pubget,,True
19659683,unavailable,pubget,,True
19673793,unavailable,pubget,,True
19687293,unavailable,pubget,,True
19698726,unavailable,pubget,,True
19707785,unavailable,pubget,,True
19715732,unavailable,pubget,,True
19740135,unavailable,pubget,,True
19751389,unavailable,pubget,,True
19805050,unavailable,pubget,,True
19812293,unavailable,pubget,,True
19825347,unavailable,pubget,,True
19850055,unavailable,pubget,,True
19946611,unavailable,pubget,,True
19958383,unavailable,pubget,,True
20008650,unavailable,pubget,,True
20069587,unavailable,pubget,,True
20090680,unavailable,pubget,,True
20098809,unavailable,pubget,,True
20188841,unavailable,pubget,,True
20215749,unavailable,pubget,,True
20219285,unavailable,pubget,,True
20235096,unavailable,pubget,,True
20336685,unavailable,pubget,,True
20345597,unavailable,pubget,,True
20374203,unavailable,pubget,,True
20377346,unavailable,pubget,,True
20402571,unavailable,pubget,,True
20417582,unavailable,pubget,,True
20433243,unavailable,pubget,,True
20501508,unavailable,pubget,,True
20521858,unavailable,pubget,,True
20579177,unavailable,pubget,,True
20610756,unavailable,pubget,,True
20665723,unavailable,pubget,,True
20681013,unavailable,pubget,,True
20685992,unavailable,pubget,,True
20860570,unavailable,pubget,,True
20862617,unavailable,pubget,,True
20875802,unavailable,pubget,,True
20919769,unavailable,pubget,,True
21040792,unavailable,pubget,,True
21078303,unavailable,pubget,,True
21093970,unavailable,pubget,,True
21094210,unavailable,pubget,,True
21096898,unavailable,pubget,,True
21196511,unavailable,pubget,,True
21223865,unavailable,pubget,,True
21227152,unavailable,pubget,,True
21252551,unavailable,pubget,,True
