Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-2.0	18.0	48.0	7.86637785200049	12512
PositiveTail 1a	-12.0	14.0	44.0	5.350021171678569	
PositiveTail 1b	4.0	22.0	40.0	3.9675655029885455	
PositiveTail 1c	8.0	12.0	40.0	2.952299847011247	
PositiveTail 2	-46.0	8.0	30.0	7.525888269756553	20152
PositiveTail 2a	-46.0	4.0	22.0	6.528656739615543	
PositiveTail 2b	-48.0	4.0	34.0	5.76381988943191	
PositiveTail 2c	-28.0	0.0	50.0	5.350021171678569	
PositiveTail 3	-30.0	-62.0	44.0	7.2096460443817625	25376
PositiveTail 3a	-34.0	-54.0	46.0	6.865015447396899	
PositiveTail 3b	-28.0	-66.0	48.0	6.865015447396899	
PositiveTail 3c	-42.0	-48.0	48.0	6.528656739615543	
PositiveTail 4	34.0	-56.0	48.0	6.865015447396899	16544
PositiveTail 4a	34.0	-54.0	40.0	6.528656739615543	
PositiveTail 4b	30.0	-58.0	46.0	6.528656739615543	
PositiveTail 4c	34.0	-68.0	46.0	5.76381988943191	
PositiveTail 5	-32.0	22.0	-2.0	6.528656739615543	6240
PositiveTail 5a	-32.0	30.0	2.0	4.4508735531199575	
PositiveTail 5b	-32.0	18.0	6.0	3.9675655029885455	
PositiveTail 5c	-42.0	20.0	0.0	2.952299847011247	
PositiveTail 6	36.0	24.0	-2.0	5.76381988943191	5144
PositiveTail 6a	36.0	32.0	0.0	2.952299847011247	
PositiveTail 6b	46.0	22.0	-6.0	2.952299847011247	
PositiveTail 6c	24.0	24.0	2.0	2.401605624656572	
PositiveTail 7	-44.0	-66.0	-16.0	4.9100273387226	6640
PositiveTail 7a	-50.0	-62.0	-20.0	3.9675655029885455	
PositiveTail 7b	-44.0	-64.0	-10.0	3.470190705963439	
PositiveTail 7c	-46.0	-78.0	-16.0	3.470190705963439	
PositiveTail 8	46.0	18.0	26.0	4.9100273387226	9704
PositiveTail 8a	48.0	6.0	24.0	4.4508735531199575	
PositiveTail 8b	48.0	22.0	26.0	4.4508735531199575	
PositiveTail 8c	44.0	14.0	24.0	3.9675655029885455	
PositiveTail 9	46.0	44.0	20.0	3.9675655029885455	1160
PositiveTail 9a	42.0	48.0	14.0	2.401605624656572	
PositiveTail 9b	44.0	38.0	28.0	1.7941572787589704	
PositiveTail 9c	46.0	40.0	14.0	1.7941572787589704	
PositiveTail 10	-22.0	-94.0	-4.0	3.470190705963439	2136
PositiveTail 10a	-24.0	-94.0	6.0	2.401605624656572	
PositiveTail 10b	-20.0	-100.0	0.0	2.401605624656572	
PositiveTail 10c	-28.0	-96.0	2.0	2.401605624656572	
PositiveTail 11	32.0	4.0	58.0	3.470190705963439	1784
PositiveTail 11a	28.0	10.0	54.0	2.952299847011247	
PositiveTail 11b	32.0	-4.0	58.0	2.401605624656572	
PositiveTail 11c	40.0	6.0	60.0	1.7941572787589704	
PositiveTail 12	30.0	-94.0	-6.0	3.470190705963439	2432
PositiveTail 12a	34.0	-94.0	2.0	2.952299847011247	
PositiveTail 12b	34.0	-96.0	-10.0	2.401605624656572	
PositiveTail 12c	32.0	-86.0	-6.0	2.401605624656572	
PositiveTail 13	34.0	-66.0	-28.0	2.952299847011247	1616
PositiveTail 13a	34.0	-60.0	-34.0	2.401605624656572	
PositiveTail 13b	28.0	-68.0	-32.0	2.401605624656572	
PositiveTail 13c	32.0	-62.0	-22.0	2.401605624656572	
PositiveTail 14	14.0	6.0	6.0	2.952299847011247	1216
PositiveTail 14a	16.0	0.0	12.0	2.401605624656572	
PositiveTail 14b	18.0	8.0	8.0	2.401605624656572	
PositiveTail 14c	8.0	4.0	8.0	1.7941572787589704	
PositiveTail 15	34.0	-78.0	28.0	2.401605624656572	88
PositiveTail 16	-34.0	-66.0	-34.0	2.401605624656572	144
PositiveTail 17	-4.0	4.0	70.0	1.7941572787589704	88
PositiveTail 18	-10.0	0.0	6.0	1.7941572787589704	136
PositiveTail 19	18.0	12.0	2.0	1.7941572787589704	88
PositiveTail 20	42.0	-68.0	-20.0	1.7941572787589704	88
