Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	2.0	22.0	46.0	7.296155170353142	12576
PositiveTail 1a	-4.0	16.0	52.0	7.296155170353142	
PositiveTail 1b	6.0	18.0	48.0	6.9310093973528994	
PositiveTail 1c	-4.0	22.0	48.0	6.9310093973528994	
PositiveTail 2	50.0	30.0	24.0	5.526996735484568	9560
PositiveTail 2a	50.0	26.0	34.0	5.00395036274881	
PositiveTail 2b	48.0	24.0	24.0	5.00395036274881	
PositiveTail 2c	48.0	22.0	32.0	4.445924103324739	
PositiveTail 3	-52.0	14.0	28.0	5.00395036274881	19424
PositiveTail 3a	-48.0	24.0	32.0	4.445924103324739	
PositiveTail 3b	-42.0	10.0	32.0	4.445924103324739	
PositiveTail 3c	-46.0	22.0	32.0	4.445924103324739	
PositiveTail 4	-32.0	-64.0	40.0	3.8802826133787227	9616
PositiveTail 4a	-30.0	-72.0	40.0	3.8802826133787227	
PositiveTail 4b	-38.0	-54.0	48.0	3.8802826133787227	
PositiveTail 4c	-30.0	-74.0	42.0	3.8802826133787227	
PositiveTail 5	-32.0	22.0	-8.0	2.632400135043301	1288
PositiveTail 6	-34.0	-2.0	56.0	2.632400135043301	560
PositiveTail 7	30.0	-58.0	46.0	2.632400135043301	2024
PositiveTail 7a	36.0	-52.0	44.0	2.632400135043301	
PositiveTail 7b	24.0	-62.0	46.0	1.9230922900315943	
PositiveTail 7c	26.0	-54.0	40.0	1.9230922900315943	
PositiveTail 8	38.0	24.0	-10.0	2.632400135043301	2344
PositiveTail 8a	30.0	30.0	-8.0	1.9230922900315943	
PositiveTail 8b	32.0	24.0	2.0	1.9230922900315943	
PositiveTail 8c	34.0	16.0	-8.0	1.9230922900315943	
PositiveTail 9	36.0	22.0	42.0	2.632400135043301	240
PositiveTail 10	-32.0	58.0	12.0	1.9230922900315943	112
PositiveTail 11	-14.0	-74.0	52.0	1.9230922900315943	488
PositiveTail 12	32.0	-76.0	40.0	1.9230922900315943	584
