Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	14.0	48.0	10.347816631611297	16520
PositiveTail 1a	2.0	28.0	38.0	4.828495940246851	
PositiveTail 1b	4.0	20.0	34.0	3.4519971168146313	
PositiveTail 1c	-2.0	26.0	30.0	3.0795696634217102	
PositiveTail 2	-34.0	-56.0	44.0	9.85717004899889	52128
PositiveTail 2a	30.0	-58.0	42.0	7.78501370096452	
PositiveTail 2b	36.0	-52.0	44.0	7.78501370096452	
PositiveTail 2c	-40.0	-50.0	46.0	7.78501370096452	
PositiveTail 3	-46.0	14.0	28.0	8.595585101906982	18392
PositiveTail 3a	-42.0	4.0	24.0	6.092761199686599	
PositiveTail 3b	-44.0	28.0	24.0	5.476836803197957	
PositiveTail 3c	-50.0	22.0	26.0	4.828495940246851	
PositiveTail 4	-32.0	22.0	-2.0	7.78501370096452	7544
PositiveTail 4a	-42.0	24.0	-2.0	3.0795696634217102	
PositiveTail 4b	-42.0	20.0	6.0	2.69635539514546	
PositiveTail 4c	-28.0	12.0	-12.0	2.3007867132488093	
PositiveTail 5	-28.0	-4.0	52.0	7.514889192263925	8264
PositiveTail 5a	-28.0	10.0	56.0	5.788443952299722	
PositiveTail 5b	-34.0	6.0	50.0	3.811264033996165	
PositiveTail 6	36.0	24.0	-4.0	7.514889192263925	11040
PositiveTail 6a	14.0	8.0	4.0	5.476836803197957	
PositiveTail 6b	36.0	26.0	-12.0	4.495854545240696	
PositiveTail 6c	18.0	10.0	0.0	4.495854545240696	
PositiveTail 7	46.0	18.0	26.0	6.387821097800513	12520
PositiveTail 7a	52.0	26.0	24.0	5.156687280251781	
PositiveTail 7b	44.0	8.0	30.0	4.828495940246851	
PositiveTail 7c	46.0	26.0	30.0	4.495854545240696	
PositiveTail 8	30.0	4.0	58.0	5.788443952299722	4256
PositiveTail 8a	22.0	2.0	60.0	3.0795696634217102	
PositiveTail 9	28.0	-92.0	-2.0	4.495854545240696	4512
PositiveTail 9a	18.0	-94.0	-6.0	3.4519971168146313	
PositiveTail 9b	14.0	-92.0	2.0	2.69635539514546	
PositiveTail 9c	14.0	-90.0	-8.0	2.3007867132488093	
PositiveTail 10	-42.0	-64.0	-16.0	4.15758498981268	3752
PositiveTail 10a	-46.0	-56.0	-16.0	3.4519971168146313	
PositiveTail 10b	-44.0	-66.0	-10.0	3.4519971168146313	
PositiveTail 10c	-44.0	-54.0	-16.0	3.4519971168146313	
PositiveTail 11	-40.0	46.0	-2.0	3.4519971168146313	1136
PositiveTail 11a	-40.0	44.0	8.0	2.69635539514546	
PositiveTail 11b	-50.0	42.0	-2.0	2.3007867132488093	
PositiveTail 11c	-44.0	48.0	6.0	2.3007867132488093	
PositiveTail 12	-14.0	-2.0	4.0	3.4519971168146313	2888
PositiveTail 12a	-14.0	2.0	-4.0	3.0795696634217102	
PositiveTail 12b	-8.0	-2.0	6.0	3.0795696634217102	
PositiveTail 12c	-10.0	6.0	8.0	2.3007867132488093	
PositiveTail 13	-16.0	-92.0	-2.0	3.4519971168146313	3128
PositiveTail 13a	-26.0	-86.0	-6.0	3.0795696634217102	
PositiveTail 13b	-10.0	-94.0	-4.0	3.0795696634217102	
PositiveTail 13c	-26.0	-90.0	-4.0	2.69635539514546	
PositiveTail 14	34.0	-62.0	-26.0	3.4519971168146313	1200
PositiveTail 14a	34.0	-60.0	-34.0	3.0795696634217102	
PositiveTail 14b	34.0	-56.0	-26.0	2.69635539514546	
PositiveTail 14c	34.0	-68.0	-30.0	2.3007867132488093	
PositiveTail 15	-6.0	-80.0	-28.0	2.69635539514546	520
PositiveTail 15a	-6.0	-70.0	-30.0	2.3007867132488093	
PositiveTail 15b	-4.0	-82.0	-32.0	2.3007867132488093	
PositiveTail 15c	-2.0	-70.0	-28.0	2.3007867132488093	
PositiveTail 16	8.0	-88.0	10.0	2.69635539514546	176
PositiveTail 17	-18.0	-82.0	16.0	2.3007867132488093	104
PositiveTail 18	-28.0	-52.0	-12.0	2.3007867132488093	288
PositiveTail 19	10.0	-94.0	14.0	2.3007867132488093	264
PositiveTail 19a	14.0	-92.0	6.0	1.8932023058916307	
PositiveTail 20	24.0	-42.0	-6.0	2.3007867132488093	336
PositiveTail 21	-10.0	44.0	10.0	2.3007867132488093	104
