Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-12.0	-66.0	40.0	4.289452173293624	11952
PositiveTail 1a	-4.0	-64.0	46.0	4.170408026628602	
PositiveTail 1b	-10.0	-70.0	38.0	4.000025724604345	
PositiveTail 1c	-10.0	-64.0	50.0	4.000025724604345	
PositiveTail 2	-32.0	-56.0	44.0	4.000025724604345	2272
PositiveTail 2a	-30.0	-58.0	36.0	2.870122417585406	
PositiveTail 2b	-28.0	-56.0	48.0	2.870122417585406	
PositiveTail 2c	-30.0	-64.0	36.0	2.42864930106446	
PositiveTail 3	26.0	-44.0	-2.0	3.6364194464317587	3032
PositiveTail 3a	22.0	-44.0	-10.0	2.870122417585406	
PositiveTail 3b	22.0	-40.0	-2.0	2.870122417585406	
PositiveTail 3c	30.0	-50.0	-10.0	2.870122417585406	
PositiveTail 4	28.0	22.0	-6.0	3.2679766200363636	2592
PositiveTail 4a	36.0	28.0	-6.0	2.870122417585406	
PositiveTail 4b	24.0	26.0	-2.0	2.42864930106446	
PositiveTail 4c	30.0	16.0	-6.0	2.42864930106446	
PositiveTail 5	22.0	-2.0	52.0	3.2679766200363636	2496
PositiveTail 5a	26.0	2.0	60.0	3.2679766200363636	
PositiveTail 5b	26.0	-2.0	52.0	2.870122417585406	
PositiveTail 5c	28.0	6.0	56.0	2.870122417585406	
PositiveTail 6	-24.0	-46.0	-6.0	3.2679766200363636	4232
PositiveTail 6a	-12.0	-60.0	10.0	2.870122417585406	
PositiveTail 6b	-24.0	-52.0	-4.0	2.870122417585406	
PositiveTail 6c	-14.0	-58.0	10.0	2.870122417585406	
PositiveTail 7	14.0	-58.0	12.0	3.2679766200363636	1424
PositiveTail 7a	10.0	-66.0	18.0	2.42864930106446	
PositiveTail 7b	10.0	-58.0	16.0	2.42864930106446	
PositiveTail 7c	20.0	-62.0	16.0	2.42864930106446	
PositiveTail 8	6.0	16.0	48.0	2.870122417585406	1800
PositiveTail 8a	-4.0	12.0	46.0	2.870122417585406	
PositiveTail 8b	4.0	18.0	46.0	2.870122417585406	
PositiveTail 8c	-2.0	10.0	42.0	2.870122417585406	
PositiveTail 9	34.0	26.0	40.0	2.870122417585406	1496
PositiveTail 9a	48.0	18.0	36.0	2.870122417585406	
PositiveTail 9b	34.0	26.0	34.0	2.42864930106446	
PositiveTail 9c	44.0	26.0	30.0	2.42864930106446	
PositiveTail 10	36.0	-46.0	48.0	2.870122417585406	1048
PositiveTail 10a	36.0	-40.0	36.0	1.9437395425782098	
PositiveTail 10b	40.0	-50.0	40.0	1.9437395425782098	
PositiveTail 10c	42.0	-42.0	44.0	1.9437395425782098	
PositiveTail 11	48.0	38.0	18.0	2.870122417585406	640
PositiveTail 11a	46.0	46.0	14.0	2.42864930106446	
PositiveTail 11b	48.0	34.0	22.0	1.9437395425782098	
PositiveTail 11c	50.0	46.0	12.0	1.9437395425782098	
PositiveTail 12	-26.0	2.0	58.0	2.870122417585406	2208
PositiveTail 12a	-32.0	4.0	64.0	2.42864930106446	
PositiveTail 12b	-26.0	-4.0	52.0	2.42864930106446	
PositiveTail 12c	-26.0	6.0	64.0	2.42864930106446	
PositiveTail 13	-30.0	20.0	-2.0	2.870122417585406	824
PositiveTail 13a	-26.0	26.0	-6.0	1.9437395425782098	
PositiveTail 14	-32.0	-72.0	-14.0	2.870122417585406	224
PositiveTail 14a	-30.0	-68.0	-22.0	1.9437395425782098	
PositiveTail 15	-42.0	44.0	8.0	2.42864930106446	128
PositiveTail 16	-28.0	-82.0	16.0	2.42864930106446	112
PositiveTail 17	-44.0	-60.0	-8.0	2.42864930106446	224
PositiveTail 18	-8.0	-68.0	18.0	1.9437395425782098	120
PositiveTail 19	-30.0	52.0	4.0	1.9437395425782098	96
PositiveTail 20	2.0	-20.0	40.0	1.9437395425782098	144
PositiveTail 21	12.0	8.0	4.0	1.9437395425782098	96
PositiveTail 22	14.0	-92.0	16.0	1.9437395425782098	376
PositiveTail 23	16.0	-72.0	16.0	1.9437395425782098	176
PositiveTail 24	-44.0	16.0	32.0	1.9437395425782098	88
PositiveTail 25	34.0	-72.0	36.0	1.9437395425782098	112
