Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	2.0	14.0	46.0	5.73505229605398	10584
PositiveTail 1a	-6.0	10.0	52.0	4.8964932605967055	
PositiveTail 1b	2.0	26.0	42.0	3.9488538371110287	
PositiveTail 1c	10.0	14.0	46.0	3.462166155773907	
PositiveTail 2	-36.0	-58.0	50.0	5.302014790286275	9584
PositiveTail 2a	-30.0	-64.0	42.0	4.8964932605967055	
PositiveTail 2b	-38.0	-60.0	44.0	4.451022406231123	
PositiveTail 2c	-30.0	-66.0	46.0	4.451022406231123	
PositiveTail 3	-42.0	8.0	32.0	4.451022406231123	12040
PositiveTail 3a	-50.0	16.0	28.0	3.9488538371110287	
PositiveTail 3b	-32.0	0.0	50.0	3.9488538371110287	
PositiveTail 3c	-44.0	10.0	36.0	3.9488538371110287	
PositiveTail 4	32.0	-54.0	48.0	3.462166155773907	2368
PositiveTail 4a	30.0	-62.0	46.0	2.4264928616380232	
PositiveTail 4b	38.0	-50.0	46.0	2.4264928616380232	
PositiveTail 4c	26.0	-64.0	46.0	1.904519427953697	
PositiveTail 5	14.0	6.0	-8.0	3.462166155773907	2816
PositiveTail 5a	16.0	8.0	2.0	3.462166155773907	
PositiveTail 5b	12.0	0.0	-6.0	2.949460760193532	
PositiveTail 5c	14.0	14.0	4.0	2.4264928616380232	
PositiveTail 6	14.0	-92.0	2.0	3.462166155773907	1880
PositiveTail 6a	6.0	-88.0	0.0	1.904519427953697	
PositiveTail 6b	14.0	-90.0	-8.0	1.904519427953697	
PositiveTail 6c	18.0	-96.0	0.0	1.904519427953697	
PositiveTail 7	-58.0	-34.0	0.0	2.949460760193532	2872
PositiveTail 7a	-52.0	-52.0	4.0	2.4264928616380232	
PositiveTail 7b	-58.0	-34.0	4.0	2.4264928616380232	
PositiveTail 7c	-54.0	-54.0	12.0	2.4264928616380232	
PositiveTail 8	32.0	-54.0	-30.0	2.949460760193532	1672
PositiveTail 8a	38.0	-56.0	-36.0	1.904519427953697	
PositiveTail 9	-40.0	24.0	34.0	2.949460760193532	592
PositiveTail 9a	-36.0	34.0	30.0	1.904519427953697	
PositiveTail 9b	-36.0	26.0	34.0	1.904519427953697	
PositiveTail 9c	-36.0	30.0	26.0	1.904519427953697	
PositiveTail 10	-30.0	22.0	0.0	2.949460760193532	1792
PositiveTail 10a	-30.0	14.0	2.0	2.4264928616380232	
PositiveTail 10b	-34.0	18.0	-4.0	2.4264928616380232	
PositiveTail 10c	-38.0	26.0	4.0	2.4264928616380232	
PositiveTail 11	-14.0	-86.0	-10.0	2.949460760193532	744
PositiveTail 11a	-18.0	-82.0	-4.0	1.904519427953697	
PositiveTail 11b	-14.0	-94.0	-12.0	1.904519427953697	
PositiveTail 11c	-14.0	-88.0	-4.0	1.904519427953697	
PositiveTail 12	36.0	24.0	-4.0	2.949460760193532	1992
PositiveTail 12a	32.0	28.0	-10.0	1.904519427953697	
PositiveTail 12b	40.0	24.0	-10.0	1.904519427953697	
PositiveTail 13	10.0	-76.0	-20.0	2.4264928616380232	536
PositiveTail 14	48.0	24.0	24.0	2.4264928616380232	792
PositiveTail 15	-20.0	-88.0	20.0	2.4264928616380232	304
PositiveTail 16	-20.0	4.0	4.0	2.4264928616380232	2456
PositiveTail 16a	-24.0	2.0	-10.0	2.4264928616380232	
PositiveTail 16b	-18.0	-2.0	-4.0	2.4264928616380232	
PositiveTail 16c	-20.0	0.0	-12.0	2.4264928616380232	
PositiveTail 17	-46.0	42.0	0.0	2.4264928616380232	656
PositiveTail 18	0.0	-66.0	50.0	2.4264928616380232	1072
PositiveTail 19	-6.0	-76.0	-32.0	1.904519427953697	1648
PositiveTail 20	28.0	-86.0	-2.0	1.904519427953697	472
PositiveTail 21	-26.0	-76.0	30.0	1.904519427953697	160
PositiveTail 22	26.0	0.0	50.0	1.904519427953697	88
PositiveTail 23	-8.0	-94.0	-2.0	1.904519427953697	144
