pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
10790322,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/10790322/text.txt
10988030,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/10988030/text.txt
11034858,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/11034858/text.txt
11034863,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/11034863/text.txt
11162272,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/11162272/text.txt
11697945,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/11697945/text.txt
15505971,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/15505971/text.txt
19003497,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/19003497.html
9665648,1,True,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/9665648/text.txt
10320379,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
10601743,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
10769309,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
10903207,1,True,True,unavailable,v1-annotation-only;v2-annotation-only,
10931772,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
11026450,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
11054915,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
11671913,1,True,True,unavailable,v1-annotation-only;v2-annotation-only,
12061757,1,True,True,unavailable,v1-annotation-only;v2-annotation-only,
12722972,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
12803967,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
15098721,1,True,True,unavailable,v1-annotation-only;v2-annotation-only,
15165354,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
16010908,1,True,True,unavailable,v1-annotation-only;v2-annotation-only,
16417683,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
16512999,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
17381255,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
18052787,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
18240326,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
18429245,1,True,True,unavailable,v1-annotation-only;v2-annotation-only,
18642473,1,True,True,unavailable,v1-annotation-only;v2-annotation-only,
9175134,1,True,True,unavailable,v1;v1-annotation-only;v2;v2-annotation-only,
10841995,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/10841995/text.txt
10888341,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/10888341/text.txt
10950912,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/10950912/text.txt
11034866,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/11034866/text.txt
11496124,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/11496124.html
11707105,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/11707105/text.txt
16167193,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Applied psychophysiology and biofeedback/16167193.html
17828390,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Experimental brain research/17828390.html
17873494,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Neuropsychobiology/17873494.html
19641250,2,False,True,incomplete,v1;v2,projects/problem_solving/v2/retrieval/pubget_data/text.csv [pmcid=5452472]
20695652,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Behavioral neuroscience/20695652.html
20714060,2,False,True,incomplete,v1;v2,projects/problem_solving/v2/retrieval/pubget_data/text.csv [pmcid=5434326]
9212721,2,False,True,incomplete,v1;v2,/home/zorro/repos/autonima-results/projects/problem_solving/elsevier_output/9212721/text.txt
10102821,2,False,True,unavailable,v1;v2,
10363454,2,False,True,unavailable,v1;v2,
10524597,2,False,True,unavailable,v1;v2,
10607400,2,False,True,unavailable,v1;v2,
10683827,2,False,True,unavailable,v1;v2,
10716202,2,False,True,unavailable,v1;v2,
10871012,2,False,True,unavailable,v1;v2,
10928739,2,False,True,unavailable,v1;v2,
10980732,2,False,True,unavailable,v1;v2,
11003272,2,False,True,unavailable,v1;v2,
11104962,2,False,True,unavailable,v1;v2,
11216882,2,False,True,unavailable,v1;v2,
11232158,2,False,True,unavailable,v1;v2,
11296717,2,False,True,unavailable,v1;v2,
11388925,2,False,True,unavailable,v1;v2,
11549618,2,False,True,unavailable,v1;v2,
11590113,2,False,True,unavailable,v1;v2,
11677398,2,False,True,unavailable,v1;v2,
11733724,2,False,True,unavailable,v1;v2,
11797080,2,False,True,unavailable,v1;v2,
11848695,2,False,True,unavailable,v1;v2,
11906222,2,False,True,unavailable,v1;v2,
11973474,2,False,True,unavailable,v1;v2,
12005883,2,False,True,unavailable,v1;v2,
12202075,2,False,True,unavailable,v1;v2,
12404614,2,False,True,unavailable,v1;v2,
12467124,2,False,True,unavailable,v1;v2,
12590842,2,False,True,unavailable,v1;v2,
12591633,2,False,True,unavailable,v1;v2,
12821793,2,False,True,unavailable,v1;v2,
12914254,2,False,True,unavailable,v1;v2,
14505331,2,False,True,unavailable,v1;v2,
14565025,2,False,True,unavailable,v1;v2,
14585751,2,False,True,unavailable,v1;v2,
14588230,2,False,True,unavailable,v1;v2,
14614811,2,False,True,unavailable,v1;v2,
14674837,2,False,True,unavailable,v1;v2,
14704218,2,False,True,unavailable,v1;v2,
15072678,2,False,True,unavailable,v1;v2,
15106845,2,False,True,unavailable,v1;v2,
15142964,2,False,True,unavailable,v1;v2,
15164897,2,False,True,unavailable,v1;v2,
15165353,2,False,True,unavailable,v1;v2,
15167540,2,False,True,unavailable,v1;v2,
15232289,2,False,True,unavailable,v1;v2,
15238433,2,False,True,unavailable,v1;v2,
15291720,2,False,True,unavailable,v1;v2,
15291722,2,False,True,unavailable,v1;v2,
15305123,2,False,True,unavailable,v1;v2,
15382253,2,False,True,unavailable,v1;v2,
15570506,2,False,True,unavailable,v1;v2,
15570507,2,False,True,unavailable,v1;v2,
15643429,2,False,True,unavailable,v1;v2,
15711850,2,False,True,unavailable,v1;v2,
15746230,2,False,True,unavailable,v1;v2,
15899117,2,False,True,unavailable,v1;v2,
15940493,2,False,True,unavailable,v1;v2,
16079407,2,False,True,unavailable,v1;v2,
16135780,2,False,True,unavailable,v1;v2,
16197682,2,False,True,unavailable,v1;v2,
16237324,2,False,True,unavailable,v1;v2,
16272875,2,False,True,unavailable,v1;v2,
16306271,2,False,True,unavailable,v1;v2,
16319374,2,False,True,unavailable,v1;v2,
16364137,2,False,True,unavailable,v1;v2,
16400256,2,False,True,unavailable,v1;v2,
16525417,2,False,True,unavailable,v1;v2,
16636288,2,False,True,unavailable,v1;v2,
16685905,2,False,True,unavailable,v1;v2,
16707739,2,False,True,unavailable,v1;v2,
16715491,2,False,True,unavailable,v1;v2,
16717257,2,False,True,unavailable,v1;v2,
16815966,2,False,True,unavailable,v1;v2,
16913952,2,False,True,unavailable,v1;v2,
16957953,2,False,True,unavailable,v1;v2,
16966840,2,False,True,unavailable,v1;v2,
17069484,2,False,True,unavailable,v1;v2,
17129192,2,False,True,unavailable,v1;v2,
17298595,2,False,True,unavailable,v1;v2,
17471059,2,False,True,unavailable,v1;v2,
17492693,2,False,True,unavailable,v1;v2,
