pmid,type,source,full_text_path,in_included_set
19641250,incomplete,pubget,v1\retrieval\pubget_data\text.csv [pmcid=5452472],True
24795552,incomplete,pubget,v1\retrieval\pubget_data\text.csv [pmcid=4001048],True
10102821,unavailable,pubget,,True
10215087,unavailable,pubget,,True
10216273,unavailable,pubget,,True
10227106,unavailable,pubget,,True
10229724,unavailable,pubget,,True
10335843,unavailable,pubget,,True
10355679,unavailable,pubget,,True
10363454,unavailable,pubget,,True
10363956,unavailable,pubget,,True
10380965,unavailable,pubget,,True
10417251,unavailable,pubget,,True
10424411,unavailable,pubget,,True
10468366,unavailable,pubget,,True
10471848,unavailable,pubget,,True
10472197,unavailable,pubget,,True
10495195,unavailable,pubget,,True
10515192,unavailable,pubget,,True
10524597,unavailable,pubget,,True
10554997,unavailable,pubget,,True
10601743,unavailable,pubget,,True
10611121,unavailable,pubget,,True
10617267,unavailable,pubget,,True
10771413,unavailable,pubget,,True
10771414,unavailable,pubget,,True
10789327,unavailable,pubget,,True
10790322,unavailable,pubget,,True
10808139,unavailable,pubget,,True
10841995,unavailable,pubget,,True
10865105,unavailable,pubget,,True
10888341,unavailable,pubget,,True
10903207,unavailable,pubget,,True
10928739,unavailable,pubget,,True
10930591,unavailable,pubget,,True
10933215,unavailable,pubget,,True
10944414,unavailable,pubget,,True
10950912,unavailable,pubget,,True
10988030,unavailable,pubget,,True
10997866,unavailable,pubget,,True
11034858,unavailable,pubget,,True
11034863,unavailable,pubget,,True
11034866,unavailable,pubget,,True
11058793,unavailable,pubget,,True
11112400,unavailable,pubget,,True
11112403,unavailable,pubget,,True
11121694,unavailable,pubget,,True
11127048,unavailable,pubget,,True
11133317,unavailable,pubget,,True
11133799,unavailable,pubget,,True
11135652,unavailable,pubget,,True
11162272,unavailable,pubget,,True
11162278,unavailable,pubget,,True
11172081,unavailable,pubget,,True
11209958,unavailable,pubget,,True
11216882,unavailable,pubget,,True
11230097,unavailable,pubget,,True
11232158,unavailable,pubget,,True
11241875,unavailable,pubget,,True
11278198,unavailable,pubget,,True
11282705,unavailable,pubget,,True
11388925,unavailable,pubget,,True
11407441,unavailable,pubget,,True
11422722,unavailable,pubget,,True
11431225,unavailable,pubget,,True
11439722,unavailable,pubget,,True
11467901,unavailable,pubget,,True
11467902,unavailable,pubget,,True
11516443,unavailable,pubget,,True
11525330,unavailable,pubget,,True
11543956,unavailable,pubget,,True
11549618,unavailable,pubget,,True
11567063,unavailable,pubget,,True
11590113,unavailable,pubget,,True
11677398,unavailable,pubget,,True
11682277,unavailable,pubget,,True
11690620,unavailable,pubget,,True
11697933,unavailable,pubget,,True
11697945,unavailable,pubget,,True
11703464,unavailable,pubget,,True
11707105,unavailable,pubget,,True
11733724,unavailable,pubget,,True
11734855,unavailable,pubget,,True
11751032,unavailable,pubget,,True
11797080,unavailable,pubget,,True
11798384,unavailable,pubget,,True
11832233,unavailable,pubget,,True
11848695,unavailable,pubget,,True
11848697,unavailable,pubget,,True
11867253,unavailable,pubget,,True
11867257,unavailable,pubget,,True
11870924,unavailable,pubget,,True
11906222,unavailable,pubget,,True
11950765,unavailable,pubget,,True
11954061,unavailable,pubget,,True
11958963,unavailable,pubget,,True
11960893,unavailable,pubget,,True
11976394,unavailable,pubget,,True
11992655,unavailable,pubget,,True
12005883,unavailable,pubget,,True
12062884,unavailable,pubget,,True
12123618,unavailable,pubget,,True
12123619,unavailable,pubget,,True
12135970,unavailable,pubget,,True
12169242,unavailable,pubget,,True
12217967,unavailable,pubget,,True
12359320,unavailable,pubget,,True
12364845,unavailable,pubget,,True
12379604,unavailable,pubget,,True
12404614,unavailable,pubget,,True
12419128,unavailable,pubget,,True
12427681,unavailable,pubget,,True
12455682,unavailable,pubget,,True
12457760,unavailable,pubget,,True
12469132,unavailable,pubget,,True
12480582,unavailable,pubget,,True
12499108,unavailable,pubget,,True
12507442,unavailable,pubget,,True
12546829,unavailable,pubget,,True
12556909,unavailable,pubget,,True
12563376,unavailable,pubget,,True
12588917,unavailable,pubget,,True
12589885,unavailable,pubget,,True
12592404,unavailable,pubget,,True
12606841,unavailable,pubget,,True
12639338,unavailable,pubget,,True
12655586,unavailable,pubget,,True
12667848,unavailable,pubget,,True
12668237,unavailable,pubget,,True
12668360,unavailable,pubget,,True
12722972,unavailable,pubget,,True
12738343,unavailable,pubget,,True
12753963,unavailable,pubget,,True
12764211,unavailable,pubget,,True
12803967,unavailable,pubget,,True
12812832,unavailable,pubget,,True
12814578,unavailable,pubget,,True
12814580,unavailable,pubget,,True
