stage,metric,value,ci_lower,ci_upper
search,true_positives,75,,
search,false_negatives,51,,
search,false_positives,9906,,
search,recall,0.5952380952380952,0.507943775465677,0.6768968303186016
search,precision,0.007514277126540427,0.0059992795354367415,0.009408235792598106
abstract,true_positives,70,,
abstract,false_negatives,5,,
abstract,false_positives,1085,,
abstract,recall_in_search,0.9333333333333333,0.8532474983062438,0.9711903619096828
abstract,recall_all_meta,0.5555555555555556,0.46842447964780765,0.6393992070596883
abstract,precision,0.06060606060606061,0.04824758605903092,0.07587774737739389
fulltext,true_positives,44,,
fulltext,false_negatives,5,,
fulltext,false_positives,220,,
fulltext,additional_false_negatives,5,,
fulltext,missing_full_text,13,,
fulltext,incomplete_full_text,9,,
fulltext,false_negatives_all_texts,31,,
fulltext,false_negatives_fulltext_only,5,,
fulltext,omitted_incomplete_fulltext,9,,
fulltext,recall_in_search,0.8979591836734694,0.7824337583502992,0.9556211075129601
fulltext,recall_fulltext_only,0.8979591836734694,0.7824337583502992,0.9556211075129601
fulltext,absolute_recall_all_texts,0.5866666666666667,0.4736631066346822,0.6912244654085031
fulltext,recall_all_meta,0.3492063492063492,0.271546946719581,0.4357887607886445
fulltext,precision,0.16666666666666666,0.12655981205077807,0.21633539168157714
fulltext,precision_fulltext_only,0.16666666666666666,0.12655981205077807,0.21633539168157714
fulltext_with_coords,true_positives,42,,
fulltext_with_coords,false_negatives,7,,
fulltext_with_coords,false_positives,166,,
fulltext_with_coords,omitted_incomplete_fulltext,9,,
fulltext_with_coords,recall_in_search,0.8571428571428571,0.7333202681083708,0.9290366627945541
fulltext_with_coords,recall_all_meta,0.3333333333333333,0.2570292256450891,0.41949971423242316
fulltext_with_coords,precision,0.20192307692307693,0.15300019311684493,0.26165679587870655
