pmid,type,source,full_text_path,in_included_set
10088898,unavailable,pubget,,True
10336657,unavailable,pubget,,True
10363949,unavailable,pubget,,True
10440954,unavailable,pubget,,True
10617288,unavailable,pubget,,True
10619411,unavailable,pubget,,True
10659091,unavailable,pubget,,True
10753975,unavailable,pubget,,True
10976426,unavailable,pubget,,True
11054914,unavailable,pubget,,True
11097974,unavailable,pubget,,True
11157567,unavailable,pubget,,True
11168545,unavailable,pubget,,True
11198706,unavailable,pubget,,True
11209518,unavailable,pubget,,True
11304074,unavailable,pubget,,True
11371316,unavailable,pubget,,True
11373131,unavailable,pubget,,True
11388421,unavailable,pubget,,True
11438601,unavailable,pubget,,True
11477432,unavailable,pubget,,True
11522586,unavailable,pubget,,True
11525326,unavailable,pubget,,True
11553776,unavailable,pubget,,True
11709486,unavailable,pubget,,True
11792407,unavailable,pubget,,True
11848716,unavailable,pubget,,True
11879658,unavailable,pubget,,True
11969322,unavailable,pubget,,True
12050089,unavailable,pubget,,True
12135962,unavailable,pubget,,True
12139777,unavailable,pubget,,True
12202079,unavailable,pubget,,True
12377133,unavailable,pubget,,True
12377159,unavailable,pubget,,True
12388609,unavailable,pubget,,True
12395389,unavailable,pubget,,True
12414275,unavailable,pubget,,True
12417678,unavailable,pubget,,True
12417991,unavailable,pubget,,True
12477708,unavailable,pubget,,True
12527103,unavailable,pubget,,True
12595185,unavailable,pubget,,True
12667852,unavailable,pubget,,True
12682281,unavailable,pubget,,True
12803968,unavailable,pubget,,True
12823480,unavailable,pubget,,True
12832550,unavailable,pubget,,True
12836392,unavailable,pubget,,True
12853370,unavailable,pubget,,True
12865533,unavailable,pubget,,True
12890776,unavailable,pubget,,True
12948687,unavailable,pubget,,True
12955383,unavailable,pubget,,True
12967920,unavailable,pubget,,True
12971903,unavailable,pubget,,True
14511533,unavailable,pubget,,True
14594740,unavailable,pubget,,True
14654860,unavailable,pubget,,True
14656503,unavailable,pubget,,True
14699420,unavailable,pubget,,True
14704218,unavailable,pubget,,True
14976320,unavailable,pubget,,True
14980562,unavailable,pubget,,True
14980577,unavailable,pubget,,True
15000257,unavailable,pubget,,True
15006682,unavailable,pubget,,True
15091347,unavailable,pubget,,True
15178169,unavailable,pubget,,True
15182316,unavailable,pubget,,True
15187808,unavailable,pubget,,True
15194879,unavailable,pubget,,True
15200709,unavailable,pubget,,True
15201318,unavailable,pubget,,True
15201322,unavailable,pubget,,True
15232072,unavailable,pubget,,True
15240810,unavailable,pubget,,True
15275919,unavailable,pubget,,True
15275925,unavailable,pubget,,True
15298780,unavailable,pubget,,True
15298782,unavailable,pubget,,True
15312809,unavailable,pubget,,True
15351623,unavailable,pubget,,True
15460933,unavailable,pubget,,True
15509382,unavailable,pubget,,True
15513929,unavailable,pubget,,True
15537672,unavailable,pubget,,True
15556997,unavailable,pubget,,True
15601517,unavailable,pubget,,True
15601527,unavailable,pubget,,True
15616133,unavailable,pubget,,True
15652312,unavailable,pubget,,True
15652326,unavailable,pubget,,True
15657126,unavailable,pubget,,True
15670705,unavailable,pubget,,True
15701223,unavailable,pubget,,True
15701224,unavailable,pubget,,True
15701226,unavailable,pubget,,True
15701230,unavailable,pubget,,True
15703387,unavailable,pubget,,True
15705615,unavailable,pubget,,True
15721247,unavailable,pubget,,True
15728741,unavailable,pubget,,True
15734343,unavailable,pubget,,True
15734350,unavailable,pubget,,True
15746001,unavailable,pubget,,True
15761278,unavailable,pubget,,True
15802598,unavailable,pubget,,True
15811240,unavailable,pubget,,True
15814000,unavailable,pubget,,True
15817169,unavailable,pubget,,True
15817644,unavailable,pubget,,True
15820652,unavailable,pubget,,True
15826978,unavailable,pubget,,True
15852014,unavailable,pubget,,True
15907315,unavailable,pubget,,True
15919215,unavailable,pubget,,True
15926934,unavailable,pubget,,True
15955476,unavailable,pubget,,True
15964210,unavailable,pubget,,True
15973144,unavailable,pubget,,True
15978839,unavailable,pubget,,True
16027008,unavailable,pubget,,True
16049190,unavailable,pubget,,True
16112148,unavailable,pubget,,True
16140345,unavailable,pubget,,True
16140346,unavailable,pubget,,True
16145475,unavailable,pubget,,True
16192397,unavailable,pubget,,True
16195470,unavailable,pubget,,True
16221928,unavailable,pubget,,True
16226433,unavailable,pubget,,True
16226467,unavailable,pubget,,True
16251213,unavailable,pubget,,True
16269110,unavailable,pubget,,True
16271484,unavailable,pubget,,True
16275141,unavailable,pubget,,True
16325141,unavailable,pubget,,True
16337816,unavailable,pubget,,True
16356329,unavailable,pubget,,True
16398587,unavailable,pubget,,True
16406257,unavailable,pubget,,True
16414281,unavailable,pubget,,True
16421576,unavailable,pubget,,True
16460858,unavailable,pubget,,True
16473338,unavailable,pubget,,True
16481375,unavailable,pubget,,True
16490367,unavailable,pubget,,True
16495434,unavailable,pubget,,True
16497485,unavailable,pubget,,True
16510734,unavailable,pubget,,True
16513147,unavailable,pubget,,True
16525130,unavailable,pubget,,True
16530429,unavailable,pubget,,True
16543130,unavailable,pubget,,True
16623852,unavailable,pubget,,True
16633288,unavailable,pubget,,True
16648457,unavailable,pubget,,True
16687157,unavailable,pubget,,True
16696558,unavailable,pubget,,True
16707801,unavailable,pubget,,True
16753205,unavailable,pubget,,True
16757006,unavailable,pubget,,True
16757180,unavailable,pubget,,True
16768379,unavailable,pubget,,True
16769093,unavailable,pubget,,True
16769225,unavailable,pubget,,True
16779560,unavailable,pubget,,True
16839298,unavailable,pubget,,True
16839301,unavailable,pubget,,True
16846860,unavailable,pubget,,True
16891125,unavailable,pubget,,True
16963281,unavailable,pubget,,True
16979560,unavailable,pubget,,True
17027486,unavailable,pubget,,True
17056279,unavailable,pubget,,True
17069470,unavailable,pubget,,True
17077160,unavailable,pubget,,True
17092490,unavailable,pubget,,True
17094117,unavailable,pubget,,True
17113672,unavailable,pubget,,True
17124286,unavailable,pubget,,True
17129195,unavailable,pubget,,True
17139038,unavailable,pubget,,True
17150987,unavailable,pubget,,True
17159232,unavailable,pubget,,True
17163350,unavailable,pubget,,True
17174987,unavailable,pubget,,True
17175173,unavailable,pubget,,True
17182769,unavailable,pubget,,True
17190934,unavailable,pubget,,True
17214562,unavailable,pubget,,True
17222565,unavailable,pubget,,True
17230052,unavailable,pubget,,True
17254803,unavailable,pubget,,True
17301679,unavailable,pubget,,True
17339967,unavailable,pubget,,True
17356686,unavailable,pubget,,True
17376703,unavailable,pubget,,True
17400480,unavailable,pubget,,True
17499159,unavailable,pubget,,True
17499164,unavailable,pubget,,True
17517680,unavailable,pubget,,True
17529986,unavailable,pubget,,True
17548751,unavailable,pubget,,True
17551089,unavailable,pubget,,True
17589305,unavailable,pubget,,True
