Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-40.0	16.0	-10.0	3.8188104083148287	3720
PositiveTail 1a	-38.0	16.0	0.0	3.447115186432155	
PositiveTail 1b	-30.0	14.0	4.0	3.134930703346805	
PositiveTail 1c	-48.0	20.0	-8.0	2.4158537720916993	
PositiveTail 2	-4.0	8.0	48.0	3.8188104083148287	3400
PositiveTail 2a	-6.0	14.0	54.0	3.134930703346805	
PositiveTail 2b	4.0	8.0	50.0	3.134930703346805	
PositiveTail 2c	-2.0	14.0	50.0	3.134930703346805	
PositiveTail 3	-4.0	46.0	-12.0	3.703780458048903	6992
PositiveTail 3a	-4.0	44.0	-2.0	3.447115186432155	
PositiveTail 3b	-8.0	44.0	-10.0	3.447115186432155	
PositiveTail 3c	-6.0	40.0	0.0	3.134930703346805	
PositiveTail 4	0.0	-58.0	20.0	3.447115186432155	1208
PositiveTail 4a	-8.0	-64.0	16.0	2.4158537720916993	
PositiveTail 4b	-6.0	-58.0	26.0	2.4158537720916993	
PositiveTail 4c	-6.0	-54.0	18.0	2.4158537720916993	
PositiveTail 5	36.0	20.0	4.0	3.447115186432155	2664
PositiveTail 5a	46.0	20.0	4.0	2.788241108541837	
PositiveTail 5b	32.0	22.0	-4.0	2.4158537720916993	
PositiveTail 5c	54.0	24.0	8.0	2.4158537720916993	
PositiveTail 6	-50.0	-58.0	24.0	3.134930703346805	1448
PositiveTail 6a	-46.0	-56.0	14.0	2.4158537720916993	
PositiveTail 6b	-40.0	-56.0	22.0	2.4158537720916993	
PositiveTail 6c	-50.0	-52.0	26.0	1.9960694058672086	
PositiveTail 7	0.0	14.0	-4.0	2.788241108541837	1168
PositiveTail 7a	-6.0	8.0	-6.0	2.4158537720916993	
PositiveTail 7b	-4.0	16.0	-8.0	2.4158537720916993	
PositiveTail 7c	-12.0	10.0	0.0	1.9960694058672086	
PositiveTail 8	0.0	56.0	26.0	2.788241108541837	672
PositiveTail 9	26.0	0.0	58.0	2.788241108541837	232
PositiveTail 10	60.0	-42.0	30.0	2.788241108541837	1208
PositiveTail 10a	50.0	-60.0	20.0	2.4158537720916993	
PositiveTail 10b	58.0	-48.0	24.0	2.4158537720916993	
PositiveTail 10c	58.0	-40.0	26.0	2.4158537720916993	
PositiveTail 11	-52.0	6.0	-26.0	2.4158537720916993	360
PositiveTail 12	-48.0	-66.0	12.0	2.4158537720916993	104
PositiveTail 13	-48.0	-58.0	-22.0	2.4158537720916993	80
PositiveTail 14	12.0	14.0	-4.0	2.4158537720916993	536
PositiveTail 14a	22.0	10.0	-6.0	1.9960694058672086	
PositiveTail 15	46.0	-66.0	20.0	2.4158537720916993	240
