Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-6.0	44.0	0.0	4.905564231518673	8664
PositiveTail 1a	0.0	42.0	-6.0	3.6092886442615675	
PositiveTail 1b	-2.0	44.0	10.0	3.6092886442615675	
PositiveTail 1c	-6.0	54.0	2.0	3.6092886442615675	
PositiveTail 2	-40.0	24.0	-10.0	4.303759125023507	7352
PositiveTail 2a	-36.0	16.0	-12.0	3.9873417231511246	
PositiveTail 2b	-38.0	20.0	-4.0	3.9873417231511246	
PositiveTail 2c	-44.0	24.0	-10.0	3.9873417231511246	
PositiveTail 3	-10.0	-56.0	26.0	4.303759125023507	3784
PositiveTail 3a	-6.0	-56.0	18.0	3.2381253021841707	
PositiveTail 3b	-8.0	-50.0	30.0	3.2381253021841707	
PositiveTail 3c	-4.0	-50.0	20.0	3.2381253021841707	
PositiveTail 4	-46.0	-58.0	32.0	3.6092886442615675	3624
PositiveTail 4a	-52.0	-54.0	24.0	3.2381253021841707	
PositiveTail 4b	-48.0	-56.0	38.0	3.2381253021841707	
PositiveTail 4c	-38.0	-54.0	44.0	2.7628276868393495	
PositiveTail 5	46.0	24.0	-2.0	3.6092886442615675	3664
PositiveTail 5a	36.0	22.0	-10.0	2.7628276868393495	
PositiveTail 5b	50.0	28.0	-4.0	2.7628276868393495	
PositiveTail 5c	46.0	20.0	0.0	2.7628276868393495	
PositiveTail 6	2.0	16.0	54.0	3.6092886442615675	3272
PositiveTail 6a	-4.0	20.0	60.0	2.7628276868393495	
PositiveTail 6b	2.0	12.0	56.0	2.7628276868393495	
PositiveTail 6c	-6.0	18.0	56.0	2.7628276868393495	
PositiveTail 7	-12.0	32.0	44.0	3.2381253021841707	2528
PositiveTail 7a	0.0	36.0	42.0	3.2381253021841707	
PositiveTail 7b	-4.0	30.0	46.0	3.2381253021841707	
PositiveTail 7c	-16.0	36.0	46.0	2.232590349551256	
PositiveTail 8	32.0	54.0	22.0	3.2381253021841707	736
PositiveTail 9	-48.0	8.0	44.0	3.2381253021841707	1496
PositiveTail 9a	-48.0	16.0	50.0	1.6713064081682045	
PositiveTail 9b	-42.0	2.0	48.0	1.6713064081682045	
PositiveTail 10	48.0	-28.0	-8.0	2.7628276868393495	384
PositiveTail 10a	52.0	-22.0	-4.0	1.6713064081682045	
PositiveTail 11	58.0	-46.0	24.0	2.7628276868393495	1624
PositiveTail 11a	58.0	-44.0	40.0	2.7628276868393495	
PositiveTail 11b	60.0	-44.0	30.0	2.7628276868393495	
PositiveTail 11c	50.0	-48.0	20.0	2.232590349551256	
PositiveTail 12	46.0	32.0	10.0	2.232590349551256	152
PositiveTail 13	34.0	6.0	52.0	2.232590349551256	192
PositiveTail 14	-28.0	-4.0	60.0	2.232590349551256	760
PositiveTail 15	-10.0	2.0	0.0	2.232590349551256	104
PositiveTail 16	48.0	-56.0	42.0	2.232590349551256	96
PositiveTail 17	42.0	12.0	44.0	2.232590349551256	216
PositiveTail 18	40.0	46.0	16.0	2.232590349551256	88
PositiveTail 19	-26.0	-78.0	-30.0	2.232590349551256	376
PositiveTail 20	-58.0	-44.0	20.0	1.6713064081682045	160
PositiveTail 21	20.0	-80.0	-32.0	1.6713064081682045	176
PositiveTail 22	8.0	8.0	0.0	1.6713064081682045	920
PositiveTail 23	2.0	38.0	20.0	1.6713064081682045	88
PositiveTail 24	-2.0	-20.0	34.0	1.6713064081682045	128
PositiveTail 25	-12.0	10.0	4.0	1.6713064081682045	176
PositiveTail 26	-50.0	0.0	-24.0	1.6713064081682045	80
PositiveTail 27	22.0	-2.0	56.0	1.6713064081682045	96
PositiveTail 28	-4.0	-12.0	36.0	1.6713064081682045	336
