Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-56.0	28.0	8.083141659545806	10960
PositiveTail 1a	2.0	-52.0	42.0	3.9633704470017364	
PositiveTail 1b	-8.0	-62.0	14.0	2.658153728254536	
PositiveTail 1c	8.0	-48.0	44.0	2.658153728254536	
PositiveTail 2	-50.0	-60.0	26.0	7.777435635424231	30792
PositiveTail 2a	-48.0	-68.0	12.0	7.65411478557831	
PositiveTail 2b	-48.0	-60.0	18.0	7.402771628593194	
PositiveTail 2c	-48.0	-64.0	26.0	7.224717083872415	
PositiveTail 3	54.0	-52.0	20.0	7.65411478557831	49232
PositiveTail 3a	58.0	-4.0	-10.0	6.653190607231326	
PositiveTail 3b	58.0	-40.0	20.0	6.653190607231326	
PositiveTail 3c	54.0	-56.0	12.0	6.653190607231326	
PositiveTail 4	-38.0	18.0	-4.0	7.0315583615603545	27832
PositiveTail 4a	-40.0	20.0	-12.0	6.247687898856511	
PositiveTail 4b	-46.0	28.0	-2.0	5.824971717632693	
PositiveTail 4c	-48.0	8.0	-28.0	5.606880713193704	
PositiveTail 5	48.0	26.0	0.0	7.0315583615603545	19120
PositiveTail 5a	38.0	24.0	-6.0	6.84397190881086	
PositiveTail 5b	54.0	30.0	8.0	6.040127820862909	
PositiveTail 5c	44.0	24.0	-4.0	6.040127820862909	
PositiveTail 6	-2.0	10.0	54.0	6.653190607231326	40400
PositiveTail 6a	4.0	14.0	50.0	5.824971717632693	
PositiveTail 6b	-2.0	56.0	22.0	5.824971717632693	
PositiveTail 6c	4.0	56.0	12.0	5.606880713193704	
PositiveTail 7	-20.0	-4.0	-20.0	4.455034830782627	6184
PositiveTail 7a	-10.0	2.0	0.0	3.7107640362828844	
PositiveTail 7b	-12.0	10.0	0.0	3.7107640362828844	
PositiveTail 7c	-12.0	2.0	-4.0	3.194467099612777	
PositiveTail 8	18.0	-92.0	0.0	4.455034830782627	4488
PositiveTail 8a	22.0	-86.0	-4.0	3.4546703515685917	
PositiveTail 8b	26.0	-94.0	2.0	3.194467099612777	
PositiveTail 8c	8.0	-86.0	4.0	2.9270913011001425	
PositiveTail 9	30.0	-2.0	56.0	4.211902741558436	2912
PositiveTail 9a	22.0	-6.0	58.0	2.658153728254536	
PositiveTail 9b	22.0	4.0	56.0	2.658153728254536	
PositiveTail 9c	42.0	0.0	50.0	2.384490725122054	
PositiveTail 10	-28.0	-6.0	58.0	3.9633704470017364	3488
PositiveTail 10a	-44.0	12.0	44.0	2.9270913011001425	
PositiveTail 10b	-42.0	2.0	48.0	2.9270913011001425	
PositiveTail 10c	-34.0	2.0	54.0	2.658153728254536	
PositiveTail 11	26.0	-6.0	-20.0	3.7107640362828844	2232
PositiveTail 11a	18.0	-2.0	-16.0	3.194467099612777	
PositiveTail 11b	26.0	-2.0	-24.0	3.194467099612777	
PositiveTail 12	2.0	-18.0	40.0	3.7107640362828844	2528
PositiveTail 12a	-4.0	-14.0	36.0	2.9270913011001425	
PositiveTail 12b	4.0	-18.0	36.0	2.9270913011001425	
PositiveTail 12c	-4.0	-16.0	40.0	2.658153728254536	
PositiveTail 13	-42.0	-58.0	-20.0	3.4546703515685917	2664
PositiveTail 13a	-40.0	-52.0	-14.0	3.4546703515685917	
PositiveTail 13b	-40.0	-50.0	-22.0	3.4546703515685917	
PositiveTail 13c	-46.0	-58.0	-20.0	3.194467099612777	
PositiveTail 14	-46.0	8.0	26.0	2.9270913011001425	1120
PositiveTail 14a	-42.0	8.0	34.0	2.9270913011001425	
PositiveTail 14b	-50.0	8.0	28.0	2.384490725122054	
PositiveTail 14c	-42.0	6.0	38.0	2.384490725122054	
PositiveTail 15	-10.0	-12.0	4.0	2.9270913011001425	464
PositiveTail 16	34.0	-74.0	28.0	2.9270913011001425	280
PositiveTail 17	46.0	-54.0	44.0	2.658153728254536	144
PositiveTail 18	-36.0	-82.0	-6.0	2.658153728254536	104
PositiveTail 19	-6.0	-90.0	2.0	2.384490725122054	80
PositiveTail 20	24.0	-82.0	-28.0	2.384490725122054	464
PositiveTail 20a	18.0	-78.0	-32.0	2.104337185066866	
PositiveTail 20b	24.0	-82.0	-36.0	1.818941863509837	
PositiveTail 20c	32.0	-78.0	-36.0	1.818941863509837	
PositiveTail 21	-44.0	16.0	36.0	2.384490725122054	80
PositiveTail 22	-50.0	-38.0	-8.0	2.384490725122054	104
PositiveTail 23	4.0	-90.0	22.0	2.384490725122054	984
PositiveTail 23a	10.0	-88.0	30.0	2.384490725122054	
PositiveTail 23b	0.0	-90.0	18.0	2.104337185066866	
PositiveTail 23c	8.0	-84.0	32.0	2.104337185066866	
PositiveTail 24	-8.0	-80.0	10.0	2.384490725122054	144
PositiveTail 25	8.0	-58.0	54.0	2.104337185066866	104
PositiveTail 26	14.0	-24.0	-4.0	2.104337185066866	104
PositiveTail 27	-26.0	-80.0	-30.0	2.104337185066866	96
