Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-40.0	16.0	-8.0	2.907119880063003	1600
PositiveTail 1a	-48.0	18.0	-10.0	1.9087555941890888	
PositiveTail 1b	-40.0	24.0	-8.0	1.9087555941890888	
PositiveTail 1c	-36.0	18.0	-16.0	1.9087555941890888	
PositiveTail 2	-48.0	-56.0	18.0	2.62855581759058	568
PositiveTail 2a	-46.0	-62.0	26.0	1.9087555941890888	
PositiveTail 3	-6.0	10.0	48.0	2.62855581759058	1360
PositiveTail 3a	0.0	6.0	52.0	2.3229535316547896	
PositiveTail 3b	-12.0	10.0	48.0	1.9087555941890888	
PositiveTail 3c	0.0	12.0	44.0	1.9087555941890888	
PositiveTail 4	-6.0	40.0	8.0	2.62855581759058	1616
PositiveTail 4a	-4.0	46.0	2.0	2.3229535316547896	
PositiveTail 4b	0.0	34.0	10.0	1.9087555941890888	
PositiveTail 4c	-4.0	52.0	0.0	1.9087555941890888	
PositiveTail 5	32.0	18.0	0.0	2.62855581759058	2568
PositiveTail 5a	12.0	16.0	-4.0	2.62855581759058	
PositiveTail 5b	38.0	22.0	-2.0	2.62855581759058	
PositiveTail 5c	30.0	22.0	0.0	2.62855581759058	
PositiveTail 6	-16.0	2.0	-8.0	2.3229535316547896	152
PositiveTail 7	26.0	0.0	58.0	2.3229535316547896	296
PositiveTail 8	46.0	24.0	6.0	2.3229535316547896	400
PositiveTail 8a	52.0	28.0	10.0	1.9087555941890888	
PositiveTail 8b	54.0	20.0	10.0	1.9087555941890888	
PositiveTail 9	0.0	-58.0	18.0	1.9087555941890888	184
PositiveTail 10	0.0	14.0	-4.0	1.9087555941890888	168
