Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-6.0	44.0	0.0	4.188832053414579	3616
PositiveTail 1a	0.0	42.0	-6.0	2.7383957945669692	
PositiveTail 1b	0.0	40.0	12.0	2.7383957945669692	
PositiveTail 1c	2.0	40.0	-12.0	2.7383957945669692	
PositiveTail 2	-8.0	-50.0	24.0	3.2878371998385827	1744
PositiveTail 2a	-10.0	-58.0	24.0	3.0896511752205478	
PositiveTail 2b	-10.0	-46.0	28.0	2.7383957945669692	
PositiveTail 2c	-6.0	-56.0	20.0	2.7383957945669692	
PositiveTail 3	-48.0	28.0	-6.0	3.0896511752205478	2336
PositiveTail 3a	-40.0	30.0	-10.0	3.0896511752205478	
PositiveTail 3b	-46.0	36.0	-6.0	2.7383957945669692	
PositiveTail 3c	-42.0	28.0	-6.0	2.7383957945669692	
PositiveTail 4	50.0	-30.0	-6.0	3.0896511752205478	1112
PositiveTail 4a	50.0	-28.0	2.0	2.7383957945669692	
PositiveTail 4b	52.0	-22.0	-4.0	2.1820479001370985	
PositiveTail 5	-52.0	2.0	-24.0	2.7383957945669692	280
PositiveTail 6	-50.0	-56.0	22.0	2.7383957945669692	200
PositiveTail 7	-8.0	16.0	64.0	2.7383957945669692	2360
PositiveTail 7a	-8.0	24.0	60.0	2.1820479001370985	
PositiveTail 8	0.0	48.0	20.0	2.7383957945669692	928
PositiveTail 8a	2.0	56.0	22.0	2.7383957945669692	
PositiveTail 8b	10.0	56.0	20.0	2.7383957945669692	
PositiveTail 8c	0.0	52.0	18.0	2.1820479001370985	
PositiveTail 9	-46.0	8.0	48.0	2.1820479001370985	264
PositiveTail 10	-14.0	34.0	48.0	2.1820479001370985	168
PositiveTail 11	-4.0	8.0	56.0	2.1820479001370985	80
