Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	50.0	-62.0	8.0	5.612606762877301	38640
PositiveTail 1a	54.0	-52.0	8.0	5.162002668262629	
PositiveTail 1b	46.0	-64.0	-2.0	4.93187520449941	
PositiveTail 1c	58.0	-40.0	22.0	4.93187520449941	
PositiveTail 2	-48.0	-66.0	2.0	5.162002668262629	14240
PositiveTail 2a	-54.0	-50.0	18.0	4.767084736115576	
PositiveTail 2b	-48.0	-68.0	6.0	4.767084736115576	
PositiveTail 2c	-52.0	-46.0	18.0	4.578322954069321	
PositiveTail 3	-50.0	26.0	6.0	4.767084736115576	16672
PositiveTail 3a	-38.0	18.0	-4.0	4.0735950561363135	
PositiveTail 3b	-36.0	22.0	6.0	3.7814615491316403	
PositiveTail 3c	-42.0	26.0	2.0	3.7814615491316403	
PositiveTail 4	40.0	24.0	0.0	4.767084736115576	12416
PositiveTail 4a	50.0	30.0	2.0	4.578322954069321	
PositiveTail 4b	46.0	12.0	26.0	4.3532673294292765	
PositiveTail 4c	38.0	24.0	-6.0	4.3532673294292765	
PositiveTail 5	-38.0	-46.0	-20.0	4.3532673294292765	4024
PositiveTail 5a	-42.0	-50.0	-14.0	4.3532673294292765	
PositiveTail 5b	-42.0	-48.0	-22.0	4.3532673294292765	
PositiveTail 5c	-44.0	-56.0	-20.0	3.7814615491316403	
PositiveTail 6	4.0	14.0	50.0	4.0735950561363135	5080
PositiveTail 6a	2.0	8.0	42.0	3.7814615491316403	
PositiveTail 6b	4.0	6.0	54.0	3.7814615491316403	
PositiveTail 6c	0.0	10.0	42.0	3.7814615491316403	
PositiveTail 7	-20.0	-4.0	-20.0	4.0735950561363135	4064
PositiveTail 7a	-10.0	2.0	0.0	3.473525377142623	
PositiveTail 7b	-16.0	2.0	-8.0	3.1509924035685746	
PositiveTail 7c	-24.0	2.0	-14.0	2.8149551129607646	
PositiveTail 8	26.0	-2.0	-24.0	3.7814615491316403	3848
PositiveTail 8a	24.0	-6.0	-16.0	3.473525377142623	
PositiveTail 8b	26.0	4.0	-22.0	3.1509924035685746	
PositiveTail 8c	22.0	-10.0	-16.0	2.8149551129607646	
PositiveTail 9	-60.0	-20.0	4.0	3.473525377142623	3592
PositiveTail 9a	-58.0	-28.0	8.0	3.473525377142623	
PositiveTail 9b	-64.0	-22.0	8.0	3.1509924035685746	
