Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-58.0	30.0	5.425738314192463	10688
PositiveTail 1a	0.0	-58.0	20.0	4.623975009091241	
PositiveTail 1b	-2.0	-56.0	36.0	4.623975009091241	
PositiveTail 1c	2.0	-48.0	36.0	4.2087094212521565	
PositiveTail 2	58.0	-4.0	-10.0	4.762781977359074	3224
PositiveTail 2a	60.0	-4.0	-18.0	3.715770148248431	
PositiveTail 2b	58.0	-2.0	-2.0	2.114061276216325	
PositiveTail 2c	68.0	-10.0	-14.0	2.114061276216325	
PositiveTail 3	60.0	-44.0	24.0	4.762781977359074	16128
PositiveTail 3a	54.0	-52.0	22.0	4.4254393015652	
PositiveTail 3b	52.0	-64.0	10.0	4.2087094212521565	
PositiveTail 3c	46.0	-70.0	-2.0	4.2087094212521565	
PositiveTail 4	-4.0	50.0	0.0	4.762781977359074	20264
PositiveTail 4a	-2.0	52.0	14.0	4.4254393015652	
PositiveTail 4b	-8.0	48.0	2.0	4.4254393015652	
PositiveTail 4c	0.0	36.0	10.0	4.4254393015652	
PositiveTail 5	32.0	24.0	0.0	4.762781977359074	26344
PositiveTail 5a	50.0	30.0	4.0	4.623975009091241	
PositiveTail 5b	36.0	20.0	-8.0	4.623975009091241	
PositiveTail 5c	40.0	24.0	0.0	4.623975009091241	
PositiveTail 6	-46.0	-56.0	20.0	4.623975009091241	11520
PositiveTail 6a	-48.0	-60.0	28.0	4.4254393015652	
PositiveTail 6b	-50.0	-54.0	18.0	4.2087094212521565	
PositiveTail 6c	-46.0	-60.0	24.0	4.2087094212521565	
PositiveTail 7	-4.0	8.0	48.0	4.2087094212521565	5720
PositiveTail 7a	6.0	22.0	40.0	3.4213517324530214	
PositiveTail 7b	4.0	8.0	48.0	3.4213517324530214	
PositiveTail 7c	6.0	26.0	42.0	3.1080052879632944	
PositiveTail 8	46.0	12.0	26.0	3.4213517324530214	1512
PositiveTail 8a	48.0	22.0	24.0	2.4581502747311745	
PositiveTail 9	22.0	-50.0	-8.0	3.1080052879632944	1656
PositiveTail 9a	32.0	-50.0	-14.0	2.7911226986475333	
PositiveTail 9b	22.0	-54.0	-16.0	2.4581502747311745	
PositiveTail 9c	26.0	-48.0	-4.0	2.4581502747311745	
PositiveTail 10	14.0	-86.0	0.0	3.1080052879632944	1824
PositiveTail 10a	16.0	-94.0	0.0	3.1080052879632944	
PositiveTail 10b	18.0	-84.0	-2.0	3.1080052879632944	
PositiveTail 10c	8.0	-84.0	-2.0	2.4581502747311745	
PositiveTail 11	-46.0	-40.0	48.0	3.1080052879632944	920
PositiveTail 11a	-38.0	-38.0	52.0	2.7911226986475333	
PositiveTail 11b	-50.0	-40.0	50.0	2.114061276216325	
PositiveTail 12	-42.0	2.0	40.0	3.1080052879632944	4064
PositiveTail 12a	-22.0	0.0	58.0	3.1080052879632944	
PositiveTail 12b	-40.0	2.0	50.0	3.1080052879632944	
PositiveTail 12c	-28.0	4.0	56.0	3.1080052879632944	
PositiveTail 13	-48.0	-24.0	0.0	2.7911226986475333	712
PositiveTail 13a	-50.0	-26.0	8.0	2.114061276216325	
PositiveTail 14	-52.0	4.0	28.0	2.7911226986475333	712
PositiveTail 14a	-54.0	12.0	22.0	2.114061276216325	
PositiveTail 14b	-50.0	0.0	28.0	2.114061276216325	
PositiveTail 14c	-54.0	12.0	28.0	1.7635233250081144	
PositiveTail 15	-46.0	-58.0	-20.0	2.7911226986475333	440
PositiveTail 15a	-48.0	-62.0	-8.0	2.114061276216325	
PositiveTail 15b	-40.0	-60.0	-20.0	1.7635233250081144	
PositiveTail 16	24.0	-2.0	56.0	2.7911226986475333	424
PositiveTail 17	-56.0	-2.0	-14.0	2.4581502747311745	80
PositiveTail 18	56.0	-42.0	42.0	2.4581502747311745	144
PositiveTail 19	54.0	-42.0	50.0	2.4581502747311745	144
PositiveTail 20	-52.0	4.0	-30.0	2.4581502747311745	552
PositiveTail 20a	-46.0	10.0	-34.0	1.7635233250081144	
PositiveTail 21	48.0	-58.0	42.0	2.4581502747311745	232
PositiveTail 22	52.0	-34.0	0.0	2.4581502747311745	80
PositiveTail 23	54.0	-30.0	4.0	2.4581502747311745	240
PositiveTail 24	14.0	-2.0	-10.0	2.114061276216325	160
PositiveTail 25	10.0	-58.0	54.0	2.114061276216325	192
PositiveTail 26	-50.0	36.0	-6.0	2.114061276216325	80
PositiveTail 27	34.0	52.0	-8.0	2.114061276216325	152
PositiveTail 28	-24.0	24.0	46.0	1.7635233250081144	80
PositiveTail 29	-2.0	-12.0	38.0	1.7635233250081144	88
