Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-46.0	-68.0	8.0	7.021818734676338	40304
PositiveTail 1a	-54.0	-50.0	18.0	5.838318179430739	
PositiveTail 1b	-50.0	-58.0	24.0	5.6388027097920235	
PositiveTail 1c	-56.0	-46.0	8.0	5.44351737303278	
PositiveTail 2	50.0	-62.0	8.0	6.450121998862818	53832
PositiveTail 2a	56.0	-48.0	16.0	6.450121998862818	
PositiveTail 2b	46.0	-62.0	4.0	6.045424209018459	
PositiveTail 2c	54.0	-54.0	20.0	5.838318179430739	
PositiveTail 3	38.0	24.0	-6.0	6.257937143699574	19408
PositiveTail 3a	44.0	12.0	34.0	5.6388027097920235	
PositiveTail 3b	48.0	26.0	0.0	5.6388027097920235	
PositiveTail 3c	46.0	12.0	26.0	5.44351737303278	
PositiveTail 4	-36.0	22.0	0.0	5.6388027097920235	15232
PositiveTail 4a	-40.0	24.0	-8.0	5.016779069276288	
PositiveTail 4b	-34.0	20.0	4.0	5.016779069276288	
PositiveTail 4c	-40.0	22.0	-10.0	5.016779069276288	
PositiveTail 5	-2.0	-58.0	28.0	5.44351737303278	8472
PositiveTail 5a	0.0	-58.0	20.0	4.142870033855234	
PositiveTail 5b	0.0	-48.0	32.0	3.9048722485515857	
PositiveTail 5c	-4.0	-54.0	20.0	3.6585780888979365	
PositiveTail 6	0.0	12.0	54.0	5.016779069276288	29408
PositiveTail 6a	4.0	56.0	20.0	4.810398596632794	
PositiveTail 6b	4.0	14.0	50.0	4.596333088314639	
PositiveTail 6c	4.0	58.0	12.0	4.596333088314639	
PositiveTail 7	18.0	-92.0	0.0	4.810398596632794	4560
PositiveTail 7a	26.0	-94.0	2.0	3.1451004062734658	
PositiveTail 7b	20.0	-100.0	2.0	2.6032894630214227	
PositiveTail 7c	26.0	-84.0	-12.0	2.6032894630214227	
PositiveTail 8	-42.0	-58.0	-20.0	4.810398596632794	4696
PositiveTail 8a	-44.0	-50.0	-14.0	4.369871509828057	
PositiveTail 8b	-40.0	-54.0	-20.0	4.369871509828057	
PositiveTail 8c	-44.0	-58.0	-10.0	3.1451004062734658	
PositiveTail 9	-20.0	-6.0	-18.0	4.810398596632794	7008
PositiveTail 9a	-12.0	6.0	-2.0	3.4053737530406702	
PositiveTail 9b	-16.0	2.0	-12.0	3.1451004062734658	
PositiveTail 9c	-24.0	0.0	-14.0	3.1451004062734658	
PositiveTail 10	-34.0	-6.0	52.0	4.142870033855234	4736
PositiveTail 10a	-28.0	-6.0	58.0	4.142870033855234	
PositiveTail 10b	-42.0	2.0	48.0	3.4053737530406702	
PositiveTail 10c	-26.0	-8.0	52.0	3.4053737530406702	
PositiveTail 11	26.0	-2.0	60.0	3.9048722485515857	3024
PositiveTail 11a	30.0	2.0	54.0	3.6585780888979365	
PositiveTail 11b	22.0	-2.0	58.0	3.1451004062734658	
PositiveTail 11c	30.0	0.0	50.0	3.1451004062734658	
PositiveTail 12	22.0	-4.0	-16.0	3.9048722485515857	3160
PositiveTail 12a	24.0	6.0	-12.0	2.321634843781753	
PositiveTail 12b	26.0	-2.0	-30.0	1.7475822727831578	
PositiveTail 12c	34.0	2.0	-26.0	1.7475822727831578	
PositiveTail 13	-46.0	10.0	-32.0	3.1451004062734658	1488
PositiveTail 13a	-52.0	4.0	-36.0	2.875094201533931	
PositiveTail 14	4.0	-14.0	44.0	3.1451004062734658	1944
PositiveTail 14a	0.0	-6.0	42.0	2.6032894630214227	
PositiveTail 14b	2.0	-14.0	36.0	2.321634843781753	
PositiveTail 14c	-4.0	-20.0	44.0	2.321634843781753	
PositiveTail 15	34.0	-74.0	28.0	2.875094201533931	272
PositiveTail 16	-54.0	6.0	28.0	2.875094201533931	600
PositiveTail 16a	-46.0	6.0	30.0	2.321634843781753	
PositiveTail 17	-14.0	-90.0	4.0	2.875094201533931	480
PositiveTail 17a	-8.0	-80.0	10.0	2.0379747806278483	
PositiveTail 17b	-6.0	-90.0	2.0	2.0379747806278483	
PositiveTail 17c	-12.0	-94.0	6.0	1.7475822727831578	
PositiveTail 18	-8.0	-12.0	8.0	2.6032894630214227	136
PositiveTail 19	0.0	-84.0	18.0	2.6032894630214227	1024
PositiveTail 19a	10.0	-86.0	20.0	2.6032894630214227	
PositiveTail 19b	8.0	-90.0	28.0	2.321634843781753	
PositiveTail 19c	12.0	-82.0	20.0	2.321634843781753	
PositiveTail 20	40.0	-30.0	56.0	2.6032894630214227	296
PositiveTail 20a	34.0	-32.0	62.0	1.7475822727831578	
PositiveTail 21	18.0	-60.0	56.0	2.321634843781753	448
PositiveTail 21a	26.0	-60.0	54.0	2.321634843781753	
PositiveTail 21b	18.0	-64.0	60.0	2.0379747806278483	
PositiveTail 21c	26.0	-60.0	60.0	2.0379747806278483	
PositiveTail 22	40.0	-32.0	46.0	2.321634843781753	120
