Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-50.0	-60.0	26.0	8.342482078439932	63440
PositiveTail 1a	-48.0	-68.0	12.0	7.736251132466854	
PositiveTail 1b	-48.0	-70.0	4.0	7.213687380297352	
PositiveTail 1c	-48.0	-64.0	18.0	7.213687380297352	
PositiveTail 2	-2.0	-58.0	28.0	8.203402926815189	11896
PositiveTail 2a	0.0	-56.0	42.0	4.786657157427986	
PositiveTail 2b	-6.0	-62.0	14.0	3.1543364846268114	
PositiveTail 2c	0.0	-40.0	42.0	2.9056415714243338	
PositiveTail 3	38.0	24.0	-6.0	7.880942638025978	21856
PositiveTail 3a	48.0	26.0	0.0	7.399042828568441	
PositiveTail 3b	54.0	30.0	8.0	6.44433148661206	
PositiveTail 3c	44.0	24.0	-4.0	6.44433148661206	
PositiveTail 4	54.0	-52.0	20.0	7.880942638025978	60464
PositiveTail 4a	58.0	-4.0	-10.0	7.025174112195462	
PositiveTail 4b	54.0	-56.0	12.0	6.835729348767252	
PositiveTail 4c	46.0	-70.0	-2.0	6.6366669994294405	
PositiveTail 5	-2.0	10.0	54.0	6.6366669994294405	42800
PositiveTail 5a	4.0	56.0	12.0	6.045832144696137	
PositiveTail 5b	0.0	50.0	20.0	6.045832144696137	
PositiveTail 5c	0.0	10.0	58.0	6.045832144696137	
PositiveTail 6	-20.0	-6.0	-18.0	4.786657157427986	7888
PositiveTail 6a	-10.0	2.0	0.0	3.4009249403170507	
PositiveTail 6b	-12.0	10.0	0.0	3.4009249403170507	
PositiveTail 6c	-16.0	4.0	-8.0	3.4009249403170507	
PositiveTail 7	-46.0	-58.0	-20.0	4.565960483986768	3792
PositiveTail 7a	-42.0	-50.0	-20.0	4.34129462327322	
PositiveTail 7b	-44.0	-58.0	-14.0	3.641389082942758	
PositiveTail 7c	-36.0	-48.0	-18.0	3.641389082942758	
PositiveTail 8	22.0	-4.0	-16.0	3.8784677685591	2320
PositiveTail 8a	18.0	2.0	-6.0	2.3908257067315444	
PositiveTail 9	-2.0	-20.0	40.0	3.8784677685591	2440
PositiveTail 9a	0.0	-12.0	40.0	2.9056415714243338	
PositiveTail 9b	-8.0	-14.0	40.0	2.651398115262413	
PositiveTail 10	-28.0	-6.0	58.0	3.8784677685591	4352
PositiveTail 10a	-34.0	-6.0	52.0	3.8784677685591	
PositiveTail 10b	-22.0	0.0	58.0	3.641389082942758	
PositiveTail 10c	-42.0	2.0	48.0	3.641389082942758	
PositiveTail 11	-46.0	6.0	30.0	3.8784677685591	2232
PositiveTail 11a	-54.0	6.0	28.0	3.1543364846268114	
PositiveTail 11b	-42.0	6.0	40.0	2.9056415714243338	
PositiveTail 12	28.0	0.0	56.0	3.641389082942758	2312
PositiveTail 12a	42.0	-2.0	52.0	3.1543364846268114	
PositiveTail 12b	30.0	-8.0	52.0	2.651398115262413	
PositiveTail 12c	42.0	4.0	44.0	2.651398115262413	
PositiveTail 13	46.0	-56.0	42.0	2.9056415714243338	320
PositiveTail 14	-10.0	-12.0	4.0	2.3908257067315444	168
PositiveTail 15	36.0	-52.0	44.0	2.3908257067315444	136
PositiveTail 16	-2.0	-82.0	-2.0	2.3908257067315444	120
PositiveTail 17	0.0	-34.0	42.0	2.3908257067315444	120
PositiveTail 18	-46.0	-32.0	16.0	2.3908257067315444	136
PositiveTail 18a	-40.0	-28.0	10.0	2.128389040686881	
PositiveTail 19	-24.0	-52.0	-14.0	2.3908257067315444	88
PositiveTail 20	8.0	-86.0	16.0	2.128389040686881	200
PositiveTail 21	28.0	-78.0	-28.0	2.128389040686881	96
