id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
14980212-14980212_analysis_0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
15488424-15488424_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17071110-17071110_analysis_2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
17627852-17627852_analysis_3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17964185-17964185_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
18486491-18486491_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18537114-18537114_analysis_1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18537114-18537114_analysis_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21664277-21664277_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21955370-21955370_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
21955370-21955370_analysis_4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21981758-21981758_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
22371086-22371086_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22371086-22371086_analysis_4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22439896-22439896_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22841755-22841755_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23378834-23378834_analysis_13	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
