Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	36.0	22.0	0.0	5.066403503933716	6984
PositiveTail 1a	38.0	20.0	-8.0	4.293900557688202	
PositiveTail 1b	28.0	26.0	-6.0	3.9809731060574243	
PositiveTail 1c	26.0	16.0	-6.0	3.9809731060574243	
PositiveTail 2	-6.0	8.0	50.0	5.066403503933716	5128
PositiveTail 2a	2.0	18.0	46.0	3.218969136768955	
PositiveTail 2b	-4.0	0.0	56.0	2.423732914089211	
PositiveTail 2c	2.0	22.0	48.0	2.423732914089211	
PositiveTail 3	-36.0	18.0	-4.0	4.630981243466271	7240
PositiveTail 3a	-36.0	26.0	-12.0	4.293900557688202	
PositiveTail 3b	-38.0	16.0	-10.0	4.293900557688202	
PositiveTail 3c	-40.0	24.0	-8.0	3.9809731060574243	
PositiveTail 4	-46.0	-64.0	12.0	4.293900557688202	1904
PositiveTail 4a	-46.0	-70.0	20.0	2.8155889424457388	
PositiveTail 4b	-46.0	-66.0	6.0	2.8155889424457388	
PositiveTail 4c	-54.0	-70.0	14.0	2.00891025198195	
PositiveTail 5	2.0	-58.0	22.0	3.9809731060574243	2992
PositiveTail 5a	-10.0	-62.0	26.0	3.218969136768955	
PositiveTail 5b	-2.0	-66.0	18.0	2.8155889424457388	
PositiveTail 5c	0.0	-50.0	20.0	2.423732914089211	
PositiveTail 6	-6.0	42.0	-8.0	3.218969136768955	2424
PositiveTail 6a	-8.0	48.0	2.0	3.218969136768955	
PositiveTail 6b	-6.0	52.0	12.0	2.8155889424457388	
PositiveTail 6c	-2.0	46.0	-12.0	2.8155889424457388	
PositiveTail 7	30.0	-4.0	56.0	3.218969136768955	528
PositiveTail 7a	22.0	-4.0	50.0	2.00891025198195	
PositiveTail 8	2.0	54.0	26.0	3.218969136768955	568
PositiveTail 9	-36.0	50.0	6.0	2.8155889424457388	352
PositiveTail 10	-48.0	-56.0	18.0	2.8155889424457388	680
PositiveTail 10a	-46.0	-62.0	26.0	2.8155889424457388	
PositiveTail 10b	-46.0	-56.0	20.0	2.8155889424457388	
PositiveTail 10c	-46.0	-66.0	26.0	2.00891025198195	
PositiveTail 11	50.0	-42.0	44.0	2.8155889424457388	480
PositiveTail 12	-30.0	-4.0	58.0	2.423732914089211	856
PositiveTail 12a	-24.0	0.0	62.0	2.00891025198195	
PositiveTail 12b	-20.0	4.0	56.0	2.00891025198195	
PositiveTail 13	-6.0	50.0	26.0	2.423732914089211	192
PositiveTail 14	-6.0	-42.0	38.0	2.423732914089211	200
PositiveTail 14a	2.0	-40.0	42.0	2.423732914089211	
PositiveTail 14b	-10.0	-40.0	38.0	2.00891025198195	
PositiveTail 14c	-2.0	-42.0	42.0	2.00891025198195	
PositiveTail 15	-8.0	-36.0	54.0	2.423732914089211	88
PositiveTail 16	6.0	32.0	44.0	2.423732914089211	104
PositiveTail 17	-26.0	-46.0	-4.0	2.423732914089211	128
