Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-2.0	-54.0	32.0	10.379133083829466	13952
PositiveTail 1a	0.0	-40.0	42.0	3.060284056875869	
PositiveTail 1b	-6.0	-62.0	14.0	2.352438479344591	
PositiveTail 1c	-6.0	-38.0	34.0	2.352438479344591	
PositiveTail 2	-4.0	54.0	28.0	9.568989525848098	53152
PositiveTail 2a	-2.0	52.0	20.0	8.57812632105838	
PositiveTail 2b	-4.0	18.0	52.0	7.889941411820739	
PositiveTail 2c	2.0	56.0	14.0	7.533536400955183	
PositiveTail 3	-40.0	24.0	-8.0	9.242286294702577	116944
PositiveTail 3a	-50.0	-58.0	24.0	9.073330401512898	
PositiveTail 3b	36.0	24.0	-2.0	9.073330401512898	
PositiveTail 3c	-48.0	-60.0	28.0	9.073330401512898	
PositiveTail 4	56.0	-48.0	16.0	8.065612000780346	52792
PositiveTail 4a	52.0	-58.0	14.0	7.533536400955183	
PositiveTail 4b	54.0	-50.0	8.0	7.354063742386551	
PositiveTail 4c	54.0	-56.0	20.0	7.354063742386551	
PositiveTail 5	20.0	-90.0	0.0	5.024932501526393	6272
PositiveTail 5a	10.0	-88.0	2.0	3.5174452691892197	
PositiveTail 5b	16.0	-82.0	-6.0	3.2902007498382444	
PositiveTail 5c	18.0	-74.0	-6.0	2.828338319718786	
PositiveTail 6	-46.0	-58.0	-20.0	4.817254774456166	5664
PositiveTail 6a	-42.0	-50.0	-14.0	4.817254774456166	
PositiveTail 6b	-38.0	-48.0	-22.0	4.1782551647878785	
PositiveTail 6c	-24.0	-52.0	-14.0	3.2902007498382444	
PositiveTail 7	-2.0	-20.0	40.0	3.7405570991982464	2328
PositiveTail 7a	-2.0	-12.0	38.0	3.060284056875869	
PositiveTail 8	30.0	-4.0	54.0	3.2902007498382444	872
PositiveTail 8a	22.0	-4.0	56.0	2.5921194729372017	
PositiveTail 9	-16.0	-94.0	2.0	3.060284056875869	688
PositiveTail 9a	-6.0	-90.0	2.0	2.5921194729372017	
PositiveTail 9b	-2.0	-84.0	-2.0	2.352438479344591	
PositiveTail 9c	-10.0	-98.0	8.0	2.1090299607889307	
PositiveTail 10	10.0	-88.0	20.0	2.828338319718786	624
PositiveTail 10a	8.0	-88.0	28.0	2.5921194729372017	
PositiveTail 11	50.0	-52.0	40.0	2.828338319718786	248
PositiveTail 12	36.0	-74.0	28.0	2.828338319718786	272
PositiveTail 13	42.0	-4.0	48.0	2.828338319718786	160
PositiveTail 14	48.0	-44.0	44.0	2.828338319718786	192
PositiveTail 15	28.0	-78.0	-28.0	2.5921194729372017	224
PositiveTail 16	-46.0	-32.0	16.0	2.352438479344591	128
PositiveTail 17	42.0	4.0	44.0	2.352438479344591	80
PositiveTail 18	46.0	-14.0	8.0	2.352438479344591	88
PositiveTail 19	-36.0	-86.0	2.0	2.352438479344591	336
PositiveTail 19a	-32.0	-82.0	-4.0	1.8626521835722198	
