Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-58.0	30.0	7.030798002672662	12048
PositiveTail 1a	-6.0	-54.0	34.0	6.798916269920153	
PositiveTail 1b	-6.0	-52.0	42.0	5.483889676611026	
PositiveTail 1c	-6.0	-44.0	38.0	4.743613606329266	
PositiveTail 2	38.0	24.0	-6.0	6.720966160782564	84400
PositiveTail 2a	32.0	24.0	0.0	6.614545926915897	
PositiveTail 2b	-40.0	24.0	-8.0	6.413360655609497	
PositiveTail 2c	-4.0	50.0	2.0	5.971102995116816	
PositiveTail 3	-48.0	-60.0	28.0	5.737110897397526	12568
PositiveTail 3a	-46.0	-64.0	12.0	5.483889676611026	
PositiveTail 3b	-50.0	-58.0	24.0	5.239114771419356	
PositiveTail 3c	-46.0	-70.0	12.0	5.002488296876645	
PositiveTail 4	58.0	-4.0	-10.0	5.483889676611026	26568
PositiveTail 4a	52.0	-64.0	14.0	5.002488296876645	
PositiveTail 4b	52.0	-68.0	4.0	5.002488296876645	
PositiveTail 4c	58.0	-42.0	18.0	5.002488296876645	
PositiveTail 5	-54.0	-24.0	2.0	3.9477560265715845	4432
PositiveTail 5a	-58.0	-24.0	-6.0	3.6674879958874773	
PositiveTail 5b	-52.0	-26.0	6.0	3.3819061425309	
PositiveTail 5c	-54.0	-24.0	-6.0	3.3819061425309	
PositiveTail 6	-42.0	-36.0	52.0	3.6674879958874773	2184
PositiveTail 6a	-46.0	-36.0	44.0	3.0889673865503635	
PositiveTail 6b	-38.0	-38.0	52.0	3.0889673865503635	
PositiveTail 6c	-46.0	-40.0	48.0	3.0889673865503635	
PositiveTail 7	-40.0	2.0	42.0	3.6674879958874773	5664
PositiveTail 7a	-36.0	-4.0	52.0	3.6674879958874773	
PositiveTail 7b	-46.0	-2.0	50.0	3.3819061425309	
PositiveTail 7c	-28.0	4.0	56.0	3.3819061425309	
PositiveTail 8	-48.0	6.0	-32.0	3.0889673865503635	1728
PositiveTail 8a	-52.0	8.0	-24.0	2.7845750352459553	
PositiveTail 8b	-46.0	6.0	-38.0	2.7845750352459553	
PositiveTail 8c	-48.0	6.0	-24.0	2.477324216864821	
PositiveTail 9	-58.0	-2.0	-12.0	2.7845750352459553	576
PositiveTail 10	-44.0	-30.0	14.0	2.7845750352459553	784
PositiveTail 10a	-40.0	-28.0	4.0	2.16241442418041	
PositiveTail 11	-46.0	-60.0	-18.0	2.7845750352459553	144
PositiveTail 12	30.0	-4.0	56.0	2.7845750352459553	384
PositiveTail 12a	22.0	-8.0	58.0	1.8422665268642962	
PositiveTail 13	24.0	-48.0	-10.0	2.477324216864821	360
PositiveTail 14	-2.0	-82.0	-2.0	2.477324216864821	336
PositiveTail 14a	8.0	-84.0	-2.0	2.16241442418041	
PositiveTail 14b	-2.0	-88.0	-2.0	1.8422665268642962	
PositiveTail 14c	8.0	-84.0	-6.0	1.8422665268642962	
PositiveTail 15	-32.0	-54.0	48.0	2.477324216864821	200
PositiveTail 16	-36.0	48.0	8.0	2.477324216864821	128
PositiveTail 17	40.0	-46.0	-18.0	2.477324216864821	264
PositiveTail 18	-38.0	38.0	14.0	2.477324216864821	192
PositiveTail 19	-56.0	-38.0	22.0	2.477324216864821	296
PositiveTail 19a	-58.0	-30.0	22.0	2.16241442418041	
PositiveTail 20	-16.0	-4.0	-16.0	2.477324216864821	400
PositiveTail 20a	-24.0	-6.0	-16.0	2.16241442418041	
PositiveTail 20b	-16.0	-4.0	-12.0	1.8422665268642962	
PositiveTail 21	48.0	-52.0	38.0	2.477324216864821	152
PositiveTail 22	-8.0	-68.0	16.0	2.16241442418041	136
PositiveTail 23	8.0	-58.0	52.0	2.16241442418041	152
