Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-56.0	32.0	10.401965739181547	14568
PositiveTail 1a	2.0	-40.0	42.0	2.8869162821479577	
PositiveTail 1b	8.0	-48.0	44.0	2.413954599468134	
PositiveTail 1c	-6.0	-62.0	14.0	2.171122720853608	
PositiveTail 2	-4.0	54.0	28.0	9.309018614206886	54776
PositiveTail 2a	2.0	56.0	14.0	7.220461493252371	
PositiveTail 2b	-4.0	18.0	52.0	7.036859237241413	
PositiveTail 2c	-10.0	48.0	42.0	6.46892876241923	
PositiveTail 3	-50.0	-60.0	26.0	8.958281882633928	96936
PositiveTail 3a	-40.0	24.0	-8.0	8.612047642100563	
PositiveTail 3b	-50.0	-60.0	20.0	8.272392601502006	
PositiveTail 3c	-42.0	20.0	-8.0	8.272392601502006	
PositiveTail 4	38.0	22.0	-4.0	8.612047642100563	37624
PositiveTail 4a	48.0	26.0	0.0	6.848892326046192	
PositiveTail 4b	44.0	12.0	34.0	5.284984026988405	
PositiveTail 4c	26.0	-2.0	-18.0	5.080258535826709	
PositiveTail 5	56.0	-48.0	16.0	8.272392601502006	68064
PositiveTail 5a	52.0	-60.0	16.0	7.7525484980255825	
PositiveTail 5b	52.0	-46.0	8.0	7.7525484980255825	
PositiveTail 5c	50.0	-58.0	20.0	7.220461493252371	
PositiveTail 6	-2.0	-20.0	40.0	3.8011921400104893	2336
PositiveTail 6a	4.0	-14.0	44.0	3.119642904404447	
PositiveTail 6b	-4.0	-14.0	36.0	2.8869162821479577	
PositiveTail 6c	2.0	-26.0	42.0	2.413954599468134	
PositiveTail 7	30.0	-4.0	54.0	3.5775934189967757	1608
PositiveTail 7a	22.0	-6.0	56.0	2.651272778352836	
PositiveTail 7b	30.0	0.0	50.0	2.413954599468134	
PositiveTail 7c	22.0	2.0	56.0	1.9255639887373739	
PositiveTail 8	-16.0	-94.0	2.0	3.3508861741968174	2016
PositiveTail 8a	-2.0	-82.0	-2.0	3.119642904404447	
PositiveTail 8b	-14.0	-90.0	2.0	2.8869162821479577	
PositiveTail 8c	-6.0	-76.0	0.0	2.651272778352836	
PositiveTail 9	-8.0	-12.0	8.0	2.8869162821479577	472
PositiveTail 10	10.0	-88.0	20.0	2.8869162821479577	1056
PositiveTail 10a	8.0	-88.0	28.0	2.651272778352836	
PositiveTail 10b	16.0	-88.0	26.0	2.171122720853608	
PositiveTail 11	34.0	-74.0	28.0	2.651272778352836	328
PositiveTail 11a	36.0	-74.0	16.0	1.6772096353806272	
PositiveTail 12	48.0	-44.0	44.0	2.651272778352836	832
PositiveTail 12a	50.0	-52.0	40.0	2.651272778352836	
PositiveTail 12b	44.0	-44.0	46.0	2.413954599468134	
PositiveTail 12c	46.0	-56.0	42.0	2.413954599468134	
PositiveTail 13	-38.0	50.0	6.0	2.413954599468134	144
PositiveTail 14	28.0	-78.0	-28.0	2.413954599468134	224
PositiveTail 15	42.0	-4.0	48.0	2.413954599468134	216
PositiveTail 16	-12.0	-58.0	8.0	1.9255639887373739	96
