Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	56.0	-48.0	16.0	6.82186655054027	54128
PositiveTail 1a	52.0	-46.0	8.0	6.82186655054027	
PositiveTail 1b	54.0	-56.0	18.0	6.660182720665467	
PositiveTail 1c	52.0	-62.0	10.0	6.514613021582647	
PositiveTail 2	36.0	24.0	-2.0	6.82186655054027	35264
PositiveTail 2a	50.0	30.0	2.0	5.84423577779235	
PositiveTail 2b	44.0	24.0	-4.0	5.653535278207697	
PositiveTail 2c	54.0	30.0	8.0	5.265396407812683	
PositiveTail 3	-46.0	-66.0	10.0	6.775411495759906	48944
PositiveTail 3a	-46.0	-56.0	20.0	6.775411495759906	
PositiveTail 3b	-48.0	-70.0	8.0	6.660182720665467	
PositiveTail 3c	-50.0	-60.0	20.0	6.372368433642294	
PositiveTail 4	-4.0	-54.0	32.0	6.775411495759906	12304
PositiveTail 4a	0.0	-52.0	42.0	5.265396407812683	
PositiveTail 4b	6.0	-60.0	40.0	3.5215670032867297	
PositiveTail 4c	2.0	-68.0	30.0	3.2843158045574095	
PositiveTail 5	-40.0	24.0	-8.0	6.372368433642294	27736
PositiveTail 5a	-46.0	32.0	-6.0	5.653535278207697	
PositiveTail 5b	-36.0	20.0	-10.0	5.46642081927287	
PositiveTail 5c	-36.0	24.0	2.0	5.265396407812683	
PositiveTail 6	0.0	50.0	20.0	6.372368433642294	40856
PositiveTail 6a	2.0	56.0	12.0	6.202180548398108	
PositiveTail 6b	4.0	54.0	20.0	6.027471997526484	
PositiveTail 6c	-2.0	52.0	14.0	5.46642081927287	
PositiveTail 7	20.0	-90.0	0.0	3.9832102072448965	2896
PositiveTail 7a	10.0	-86.0	-2.0	2.0371728599639694	
PositiveTail 7b	20.0	-100.0	2.0	2.0371728599639694	
PositiveTail 7c	32.0	-88.0	-4.0	2.0371728599639694	
PositiveTail 8	26.0	-2.0	60.0	3.7530843107395615	1960
PositiveTail 8a	30.0	2.0	54.0	3.5215670032867297	
PositiveTail 8b	22.0	-6.0	56.0	3.043064049363137	
PositiveTail 8c	30.0	-8.0	52.0	2.79827528673249	
PositiveTail 9	10.0	-88.0	20.0	3.2843158045574095	1184
PositiveTail 9a	8.0	-90.0	28.0	2.5479011542827137	
PositiveTail 9b	16.0	-88.0	24.0	2.5479011542827137	
PositiveTail 10	-2.0	-20.0	40.0	3.2843158045574095	2024
PositiveTail 10a	2.0	-14.0	44.0	2.79827528673249	
PositiveTail 10b	-8.0	-10.0	40.0	1.7762681270916643	
PositiveTail 11	42.0	-4.0	48.0	3.043064049363137	368
PositiveTail 12	34.0	-74.0	26.0	2.79827528673249	176
PositiveTail 13	50.0	-52.0	40.0	2.79827528673249	272
PositiveTail 14	-16.0	-94.0	2.0	2.79827528673249	920
PositiveTail 14a	-6.0	-90.0	2.0	2.5479011542827137	
PositiveTail 14b	-2.0	-84.0	-2.0	2.5479011542827137	
PositiveTail 14c	-8.0	-94.0	2.0	2.2930164587529847	
PositiveTail 15	-24.0	-52.0	-14.0	2.5479011542827137	376
PositiveTail 16	48.0	-44.0	44.0	2.5479011542827137	136
PositiveTail 17	-14.0	36.0	48.0	2.2930164587529847	80
PositiveTail 18	50.0	-40.0	48.0	2.2930164587529847	80
PositiveTail 19	-40.0	48.0	2.0	2.2930164587529847	304
PositiveTail 20	-46.0	-34.0	14.0	2.2930164587529847	224
PositiveTail 20a	-40.0	-30.0	10.0	2.2930164587529847	
PositiveTail 21	-58.0	-38.0	30.0	2.2930164587529847	88
PositiveTail 22	26.0	-60.0	54.0	2.2930164587529847	208
PositiveTail 23	-10.0	-76.0	-4.0	2.0371728599639694	96
PositiveTail 24	14.0	-24.0	-2.0	2.0371728599639694	128
PositiveTail 25	54.0	-42.0	42.0	2.0371728599639694	128
