Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-2.0	-54.0	32.0	10.32093989381191	14664
PositiveTail 1a	2.0	-40.0	42.0	2.9117600164186017	
PositiveTail 1b	-6.0	-62.0	14.0	2.6811979385178644	
PositiveTail 1c	-10.0	-54.0	10.0	2.209017722228918	
PositiveTail 2	38.0	22.0	-4.0	9.676724215980617	38800
PositiveTail 2a	48.0	26.0	0.0	8.048800100124836	
PositiveTail 2b	32.0	18.0	-2.0	7.8760175806717845	
PositiveTail 2c	54.0	26.0	6.0	6.050416866185364	
PositiveTail 3	-4.0	54.0	28.0	9.526357216417276	56288
PositiveTail 3a	-2.0	52.0	20.0	8.721029061190922	
PositiveTail 3b	-4.0	18.0	52.0	7.8760175806717845	
PositiveTail 3c	2.0	56.0	14.0	7.526561248711668	
PositiveTail 4	-40.0	24.0	-8.0	9.209065867234923	98880
PositiveTail 4a	-50.0	-60.0	26.0	8.890473663318526	
PositiveTail 4b	-42.0	20.0	-8.0	8.890473663318526	
PositiveTail 4c	-48.0	-60.0	28.0	8.890473663318526	
PositiveTail 5	56.0	-48.0	16.0	8.220094806242033	66952
PositiveTail 5a	54.0	-56.0	20.0	7.526561248711668	
PositiveTail 5b	52.0	-46.0	8.0	7.526561248711668	
PositiveTail 5c	54.0	-54.0	8.0	6.9875044377768285	
PositiveTail 6	-2.0	-20.0	40.0	4.023313191244779	2440
PositiveTail 6a	4.0	-14.0	36.0	2.9117600164186017	
PositiveTail 6b	2.0	-26.0	42.0	2.209017722228918	
PositiveTail 7	28.0	0.0	56.0	3.365374200498155	1456
PositiveTail 7a	22.0	-6.0	56.0	2.4462086088334036	
PositiveTail 7b	30.0	-8.0	52.0	2.4462086088334036	
PositiveTail 7c	30.0	0.0	50.0	2.4462086088334036	
PositiveTail 8	-16.0	-94.0	2.0	3.14167286039892	1320
PositiveTail 8a	-2.0	-82.0	-2.0	2.9117600164186017	
PositiveTail 8b	-14.0	-90.0	2.0	2.6811979385178644	
PositiveTail 8c	-6.0	-76.0	0.0	2.6811979385178644	
PositiveTail 9	-46.0	-32.0	16.0	2.6811979385178644	408
PositiveTail 9a	-40.0	-30.0	10.0	2.4462086088334036	
PositiveTail 10	-38.0	50.0	6.0	2.6811979385178644	288
PositiveTail 11	10.0	-88.0	20.0	2.6811979385178644	744
PositiveTail 11a	8.0	-88.0	28.0	2.4462086088334036	
PositiveTail 11b	16.0	-88.0	26.0	1.9692280197199745	
PositiveTail 12	34.0	-74.0	28.0	2.6811979385178644	240
PositiveTail 13	42.0	-4.0	48.0	2.6811979385178644	352
PositiveTail 13a	42.0	4.0	44.0	2.209017722228918	
PositiveTail 14	28.0	-78.0	-28.0	2.4462086088334036	224
