Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-58.0	-38.0	4.0	2.1753210401631797	184
PositiveTail 2	-52.0	-56.0	26.0	2.1753210401631797	168
PositiveTail 3	-42.0	14.0	-4.0	2.1753210401631797	960
PositiveTail 3a	-40.0	14.0	4.0	2.1753210401631797	
PositiveTail 3b	-42.0	24.0	-4.0	2.1753210401631797	
PositiveTail 3c	-40.0	18.0	4.0	2.1753210401631797	
PositiveTail 4	-20.0	-4.0	-18.0	2.1753210401631797	512
PositiveTail 5	20.0	-84.0	2.0	2.1753210401631797	536
PositiveTail 5a	16.0	-92.0	0.0	1.8855008321193716	
PositiveTail 5b	22.0	-88.0	4.0	1.8855008321193716	
PositiveTail 6	26.0	-92.0	12.0	2.1753210401631797	96
PositiveTail 7	36.0	-48.0	-24.0	2.1753210401631797	912
PositiveTail 7a	38.0	-44.0	-16.0	1.8855008321193716	
PositiveTail 7b	42.0	-48.0	-26.0	1.8855008321193716	
PositiveTail 8	46.0	16.0	-28.0	2.1753210401631797	112
PositiveTail 9	56.0	-12.0	-2.0	2.1753210401631797	592
PositiveTail 9a	56.0	-10.0	-12.0	1.8855008321193716	
