Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-58.0	30.0	10.352446557650795	13664
PositiveTail 1a	0.0	-52.0	36.0	9.662492236045122	
PositiveTail 1b	2.0	-40.0	42.0	2.80923710376674	
PositiveTail 1c	8.0	-48.0	44.0	2.566740078167218	
PositiveTail 2	38.0	22.0	-4.0	9.173489428065167	35144
PositiveTail 2a	48.0	26.0	0.0	7.229781826335276	
PositiveTail 2b	44.0	12.0	34.0	5.477406742084196	
PositiveTail 2c	-20.0	-6.0	-18.0	5.270902579468013	
PositiveTail 3	-4.0	54.0	28.0	9.173489428065167	50344
PositiveTail 3a	-2.0	54.0	20.0	7.942687163551307	
PositiveTail 3b	-4.0	18.0	52.0	7.591076577189899	
PositiveTail 3c	2.0	56.0	14.0	7.045509696197959	
PositiveTail 4	-50.0	-58.0	24.0	8.645039248915381	78376
PositiveTail 4a	-40.0	24.0	-8.0	8.645039248915381	
PositiveTail 4b	-50.0	-60.0	20.0	8.290485642473504	
PositiveTail 4c	-48.0	-66.0	10.0	7.942687163551307	
PositiveTail 5	56.0	-48.0	16.0	8.465076615245613	56632
PositiveTail 5a	54.0	-50.0	8.0	7.942687163551307	
PositiveTail 5b	54.0	-56.0	18.0	7.768957196540407	
PositiveTail 5c	54.0	-54.0	8.0	7.410692261811362	
PositiveTail 6	-46.0	-58.0	-20.0	5.061901143226242	4648
PositiveTail 6a	-42.0	-50.0	-20.0	5.061901143226242	
PositiveTail 6b	-48.0	-62.0	-8.0	2.0733222725102816	
PositiveTail 6c	-38.0	-68.0	-18.0	1.823564010974711	
PositiveTail 7	20.0	-90.0	0.0	4.419153182871954	4912
PositiveTail 7a	28.0	-88.0	6.0	2.80923710376674	
PositiveTail 7b	8.0	-90.0	4.0	2.80923710376674	
PositiveTail 7c	16.0	-82.0	-6.0	2.566740078167218	
PositiveTail 8	28.0	0.0	56.0	3.7508570473928655	1648
PositiveTail 8a	22.0	-8.0	58.0	2.566740078167218	
PositiveTail 8b	22.0	2.0	56.0	2.322207586046924	
PositiveTail 9	-2.0	-22.0	38.0	3.2862384821285473	2040
PositiveTail 9a	-2.0	-16.0	44.0	3.2862384821285473	
PositiveTail 9b	-8.0	-20.0	40.0	2.80923710376674	
PositiveTail 9c	-4.0	-14.0	36.0	2.80923710376674	
PositiveTail 10	48.0	-44.0	44.0	3.2862384821285473	1280
PositiveTail 10a	50.0	-52.0	40.0	2.80923710376674	
PositiveTail 10b	54.0	-42.0	42.0	2.566740078167218	
PositiveTail 10c	44.0	-52.0	42.0	2.322207586046924	
PositiveTail 11	10.0	-88.0	20.0	3.048988636554241	1016
PositiveTail 11a	8.0	-88.0	28.0	2.566740078167218	
PositiveTail 11b	16.0	-88.0	26.0	2.322207586046924	
PositiveTail 12	-16.0	-94.0	2.0	2.80923710376674	736
PositiveTail 12a	-2.0	-82.0	-2.0	2.80923710376674	
PositiveTail 12b	-8.0	-94.0	2.0	2.566740078167218	
PositiveTail 12c	-6.0	-76.0	0.0	2.322207586046924	
PositiveTail 13	-54.0	-30.0	28.0	2.80923710376674	216
PositiveTail 14	-10.0	-12.0	4.0	2.80923710376674	352
PositiveTail 15	-36.0	-78.0	-20.0	2.322207586046924	216
PositiveTail 15a	-34.0	-78.0	-12.0	2.322207586046924	
PositiveTail 15b	-32.0	-78.0	-20.0	2.0733222725102816	
PositiveTail 16	-38.0	50.0	8.0	2.322207586046924	96
PositiveTail 17	-48.0	-34.0	16.0	2.322207586046924	120
PositiveTail 18	28.0	-78.0	-28.0	2.322207586046924	120
PositiveTail 19	46.0	-12.0	8.0	2.322207586046924	96
PositiveTail 20	-24.0	-52.0	-14.0	2.0733222725102816	96
