Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-2.0	44.0	-2.0	5.753086785158807	33096
PositiveTail 1a	-4.0	54.0	2.0	5.676115405873437	
PositiveTail 1b	-6.0	18.0	54.0	4.658156246360993	
PositiveTail 1c	2.0	52.0	6.0	4.658156246360993	
PositiveTail 2	-6.0	-54.0	32.0	5.676115405873437	6200
PositiveTail 2a	-10.0	-58.0	22.0	4.384401009806849	
PositiveTail 2b	-2.0	-52.0	40.0	3.496600521922479	
PositiveTail 2c	-10.0	-50.0	20.0	3.165081399752317	
PositiveTail 3	38.0	20.0	-6.0	5.414451335761436	7976
PositiveTail 3a	34.0	20.0	2.0	4.384401009806849	
PositiveTail 3b	38.0	28.0	0.0	4.384401009806849	
PositiveTail 3c	30.0	24.0	0.0	4.384401009806849	
PositiveTail 4	-42.0	22.0	-8.0	4.933501313886706	11336
PositiveTail 4a	-46.0	28.0	-4.0	4.658156246360993	
PositiveTail 4b	-38.0	20.0	-2.0	4.384401009806849	
PositiveTail 4c	-50.0	26.0	-2.0	4.384401009806849	
PositiveTail 5	54.0	-20.0	-4.0	4.384401009806849	6536
PositiveTail 5a	50.0	-28.0	-4.0	4.1024921206261356	
PositiveTail 5b	52.0	-10.0	-4.0	3.496600521922479	
PositiveTail 5c	56.0	-28.0	-8.0	3.496600521922479	
PositiveTail 6	-50.0	-62.0	28.0	4.1024921206261356	5480
PositiveTail 6a	-46.0	-30.0	44.0	3.496600521922479	
PositiveTail 6b	-46.0	-62.0	32.0	3.496600521922479	
PositiveTail 6c	-48.0	-34.0	44.0	3.496600521922479	
PositiveTail 7	-48.0	4.0	48.0	4.1024921206261356	2800
PositiveTail 7a	-42.0	4.0	54.0	3.496600521922479	
PositiveTail 7b	-44.0	4.0	40.0	3.165081399752317	
PositiveTail 7c	-36.0	4.0	56.0	2.427226472504383	
PositiveTail 8	-2.0	14.0	-6.0	4.1024921206261356	4632
PositiveTail 8a	6.0	6.0	-4.0	3.496600521922479	
PositiveTail 8b	-6.0	12.0	-6.0	3.496600521922479	
PositiveTail 8c	8.0	12.0	-10.0	3.496600521922479	
PositiveTail 9	-58.0	-4.0	-12.0	3.8046245559263596	6272
PositiveTail 9a	-58.0	-38.0	4.0	3.496600521922479	
PositiveTail 9b	-56.0	-14.0	-8.0	3.496600521922479	
PositiveTail 9c	-58.0	-38.0	0.0	3.496600521922479	
PositiveTail 10	-16.0	10.0	10.0	3.165081399752317	560
PositiveTail 10a	-24.0	8.0	10.0	2.025104731757661	
PositiveTail 11	48.0	32.0	10.0	2.802600634786612	176
PositiveTail 12	40.0	6.0	0.0	2.802600634786612	96
PositiveTail 13	-56.0	-46.0	20.0	2.802600634786612	160
PositiveTail 14	48.0	-56.0	42.0	2.802600634786612	88
PositiveTail 15	-12.0	14.0	4.0	2.427226472504383	80
PositiveTail 16	-36.0	-66.0	-20.0	2.427226472504383	96
PositiveTail 17	-52.0	2.0	-24.0	2.427226472504383	232
PositiveTail 17a	-46.0	6.0	-28.0	2.025104731757661	
PositiveTail 18	46.0	12.0	26.0	2.427226472504383	136
PositiveTail 19	54.0	-46.0	20.0	2.427226472504383	128
PositiveTail 20	-16.0	-48.0	-20.0	2.025104731757661	88
