Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	56.0	-48.0	16.0	6.796707637295414	44088
PositiveTail 1a	58.0	-40.0	20.0	6.29431414481695	
PositiveTail 1b	46.0	-62.0	4.0	6.116583745911819	
PositiveTail 1c	52.0	-46.0	8.0	6.116583745911819	
PositiveTail 2	38.0	22.0	-4.0	6.796707637295414	23616
PositiveTail 2a	50.0	28.0	2.0	4.983501114281854	
PositiveTail 2b	48.0	22.0	-6.0	4.555404974832239	
PositiveTail 2c	48.0	16.0	26.0	4.555404974832239	
PositiveTail 3	-38.0	22.0	-2.0	5.740088208470274	16400
PositiveTail 3a	-40.0	22.0	-10.0	5.390439319782997	
PositiveTail 3b	-34.0	20.0	4.0	4.771047830188793	
PositiveTail 3c	-42.0	24.0	-14.0	4.771047830188793	
PositiveTail 4	-46.0	-66.0	8.0	5.576968140055817	27384
PositiveTail 4a	-54.0	-50.0	18.0	5.186476907330062	
PositiveTail 4b	-56.0	-46.0	8.0	4.983501114281854	
PositiveTail 4c	-42.0	-38.0	52.0	4.983501114281854	
PositiveTail 5	2.0	58.0	10.0	5.186476907330062	31056
PositiveTail 5a	-6.0	54.0	0.0	4.983501114281854	
PositiveTail 5b	-4.0	46.0	-12.0	4.983501114281854	
PositiveTail 5c	-4.0	52.0	0.0	4.983501114281854	
PositiveTail 6	0.0	-56.0	26.0	5.186476907330062	10408
PositiveTail 6a	0.0	-54.0	34.0	3.869872996332227	
PositiveTail 6b	-4.0	-44.0	38.0	3.869872996332227	
PositiveTail 6c	-4.0	-54.0	36.0	3.869872996332227	
PositiveTail 7	-46.0	-58.0	-20.0	4.983501114281854	5088
PositiveTail 7a	-42.0	-50.0	-14.0	4.983501114281854	
PositiveTail 7b	-42.0	-56.0	-20.0	4.555404974832239	
PositiveTail 7c	-38.0	-48.0	-22.0	4.102852995275523	
PositiveTail 8	-20.0	-6.0	-18.0	4.555404974832239	2064
PositiveTail 8a	-16.0	0.0	-14.0	1.7992520139936556	
PositiveTail 9	-34.0	-6.0	52.0	4.327775482061487	5936
PositiveTail 9a	-28.0	-6.0	58.0	4.102852995275523	
PositiveTail 9b	-22.0	0.0	56.0	3.634224105264702	
PositiveTail 9c	-54.0	6.0	28.0	3.3885152838478128	
PositiveTail 10	-56.0	-6.0	-10.0	3.869872996332227	4856
PositiveTail 10a	-58.0	-24.0	2.0	3.634224105264702	
PositiveTail 10b	-58.0	-10.0	-10.0	3.3885152838478128	
PositiveTail 10c	-58.0	-20.0	4.0	3.3885152838478128	
PositiveTail 11	26.0	-2.0	60.0	3.634224105264702	2040
PositiveTail 11a	30.0	2.0	54.0	3.634224105264702	
PositiveTail 11b	22.0	-4.0	56.0	3.3885152838478128	
PositiveTail 11c	30.0	0.0	50.0	2.874684068118259	
PositiveTail 12	24.0	-2.0	-18.0	3.634224105264702	2336
PositiveTail 13	22.0	-86.0	-4.0	3.133931654291919	1240
PositiveTail 13a	22.0	-94.0	0.0	2.6103842684178815	
PositiveTail 13b	26.0	-88.0	-6.0	2.6103842684178815	
PositiveTail 14	36.0	-74.0	28.0	2.874684068118259	80
PositiveTail 15	22.0	-48.0	-6.0	2.874684068118259	600
PositiveTail 15a	16.0	-50.0	-12.0	2.069927414422175	
PositiveTail 15b	20.0	-54.0	-2.0	2.069927414422175	
PositiveTail 15c	26.0	-48.0	-4.0	2.069927414422175	
PositiveTail 16	50.0	-52.0	40.0	2.874684068118259	360
PositiveTail 17	10.0	-88.0	20.0	2.874684068118259	1312
PositiveTail 17a	12.0	-86.0	30.0	2.874684068118259	
PositiveTail 17b	6.0	-86.0	20.0	2.6103842684178815	
PositiveTail 17c	8.0	-90.0	28.0	2.6103842684178815	
PositiveTail 18	42.0	-4.0	48.0	2.874684068118259	240
PositiveTail 19	-32.0	-52.0	50.0	2.874684068118259	296
PositiveTail 20	-2.0	-16.0	44.0	2.6103842684178815	472
PositiveTail 20a	-8.0	-20.0	40.0	1.7992520139936556	
PositiveTail 20b	-2.0	-12.0	38.0	1.7992520139936556	
PositiveTail 21	26.0	-60.0	54.0	2.6103842684178815	736
PositiveTail 21a	18.0	-60.0	58.0	2.069927414422175	
PositiveTail 21b	26.0	-60.0	60.0	2.069927414422175	
PositiveTail 21c	26.0	-54.0	48.0	2.069927414422175	
PositiveTail 22	-50.0	10.0	-28.0	2.6103842684178815	896
PositiveTail 22a	-48.0	4.0	-36.0	2.341821074482513	
PositiveTail 22b	-48.0	8.0	-24.0	2.069927414422175	
PositiveTail 22c	-48.0	10.0	-36.0	2.069927414422175	
PositiveTail 23	-4.0	-90.0	0.0	2.6103842684178815	464
PositiveTail 24	40.0	-30.0	58.0	2.341821074482513	104
PositiveTail 25	-10.0	-76.0	-4.0	2.069927414422175	88
PositiveTail 26	14.0	-24.0	2.0	2.069927414422175	88
