Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	36.0	20.0	-4.0	5.855287630226181	10936
PositiveTail 1a	28.0	20.0	-6.0	4.431733013862802	
PositiveTail 1b	14.0	12.0	-6.0	3.384860611661387	
PositiveTail 1c	2.0	14.0	-6.0	3.384860611661387	
PositiveTail 2	-6.0	50.0	-2.0	5.603982143869691	13000
PositiveTail 2a	-6.0	42.0	-8.0	5.339357476770712	
PositiveTail 2b	-8.0	52.0	4.0	4.739718557530551	
PositiveTail 2c	-6.0	40.0	0.0	4.739718557530551	
PositiveTail 3	-40.0	24.0	-8.0	5.339357476770712	8176
PositiveTail 3a	-38.0	24.0	-16.0	4.431733013862802	
PositiveTail 3b	-46.0	24.0	-12.0	4.431733013862802	
PositiveTail 3c	-42.0	24.0	-4.0	4.431733013862802	
PositiveTail 4	-6.0	8.0	50.0	5.043379166343493	9640
PositiveTail 4a	-4.0	16.0	52.0	4.739718557530551	
PositiveTail 4b	-6.0	4.0	50.0	4.431733013862802	
PositiveTail 4c	-6.0	14.0	56.0	4.431733013862802	
PositiveTail 5	-2.0	-50.0	34.0	4.093074192347262	6680
PositiveTail 5a	-8.0	-58.0	28.0	3.7508907875269606	
PositiveTail 5b	-6.0	-46.0	36.0	3.7508907875269606	
PositiveTail 5c	-6.0	-56.0	34.0	3.7508907875269606	
PositiveTail 6	-34.0	48.0	8.0	3.7508907875269606	1072
PositiveTail 6a	-28.0	50.0	14.0	2.662314790182486	
PositiveTail 7	-46.0	-64.0	12.0	3.384860611661387	1664
PositiveTail 7a	-46.0	-70.0	20.0	3.0267432802173055	
PositiveTail 7b	-48.0	-64.0	4.0	2.662314790182486	
PositiveTail 7c	-46.0	-62.0	16.0	2.662314790182486	
PositiveTail 8	-48.0	-60.0	28.0	3.384860611661387	2120
PositiveTail 8a	-48.0	-56.0	18.0	3.0267432802173055	
PositiveTail 8b	-46.0	-52.0	26.0	3.0267432802173055	
PositiveTail 8c	-52.0	-60.0	20.0	2.2982939271167253	
PositiveTail 9	26.0	-4.0	60.0	3.384860611661387	920
PositiveTail 9a	26.0	-4.0	50.0	2.662314790182486	
PositiveTail 9b	22.0	-8.0	58.0	2.2982939271167253	
PositiveTail 9c	22.0	-4.0	50.0	2.2982939271167253	
PositiveTail 10	-30.0	-46.0	-4.0	3.0267432802173055	392
PositiveTail 11	50.0	-42.0	44.0	3.0267432802173055	1104
PositiveTail 11a	48.0	-52.0	40.0	2.662314790182486	
PositiveTail 11b	46.0	-44.0	44.0	2.662314790182486	
PositiveTail 11c	54.0	-42.0	50.0	2.2982939271167253	
PositiveTail 12	-40.0	2.0	42.0	3.0267432802173055	344
PositiveTail 12a	-42.0	6.0	32.0	2.2982939271167253	
PositiveTail 12b	-36.0	2.0	46.0	1.9180891821556045	
PositiveTail 13	-48.0	-62.0	-8.0	2.662314790182486	112
PositiveTail 14	-32.0	-54.0	48.0	2.662314790182486	728
PositiveTail 14a	-22.0	-62.0	48.0	2.2982939271167253	
PositiveTail 14b	-36.0	-54.0	46.0	1.9180891821556045	
PositiveTail 14c	-28.0	-62.0	54.0	1.9180891821556045	
PositiveTail 15	32.0	-50.0	-16.0	2.2982939271167253	80
PositiveTail 16	-38.0	-10.0	58.0	2.2982939271167253	168
PositiveTail 17	-36.0	-38.0	46.0	2.2982939271167253	216
PositiveTail 18	-58.0	-30.0	-6.0	2.2982939271167253	304
PositiveTail 18a	-52.0	-34.0	0.0	1.9180891821556045	
PositiveTail 19	-28.0	-52.0	-12.0	1.9180891821556045	152
