Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	0.0	-58.0	30.0	10.361014776389212	13872
PositiveTail 1a	0.0	-52.0	36.0	9.690678304644171	
PositiveTail 1b	-6.0	-62.0	14.0	2.1998372142275135	
PositiveTail 1c	0.0	-40.0	42.0	2.1998372142275135	
PositiveTail 2	-4.0	54.0	28.0	9.690678304644171	55320
PositiveTail 2a	-2.0	52.0	20.0	8.293886552320759	
PositiveTail 2b	-4.0	16.0	52.0	7.382932945442462	
PositiveTail 2c	2.0	56.0	14.0	7.382932945442462	
PositiveTail 3	38.0	22.0	-4.0	8.999327818799262	28128
PositiveTail 3a	48.0	26.0	0.0	7.382932945442462	
PositiveTail 3b	32.0	18.0	0.0	7.195621334280014	
PositiveTail 3c	44.0	12.0	34.0	6.033343802680134	
PositiveTail 4	-40.0	24.0	-8.0	8.473395414944344	98456
PositiveTail 4a	-50.0	-60.0	26.0	8.473395414944344	
PositiveTail 4b	-42.0	24.0	-4.0	8.293886552320759	
PositiveTail 4c	-50.0	-60.0	20.0	8.111248933576476	
PositiveTail 5	58.0	-50.0	16.0	8.111248933576476	58216
PositiveTail 5a	52.0	-58.0	14.0	7.753329600901069	
PositiveTail 5b	54.0	-50.0	8.0	7.382932945442462	
PositiveTail 5c	50.0	-58.0	20.0	7.195621334280014	
PositiveTail 6	20.0	-90.0	0.0	4.778232950854929	6088
PositiveTail 6a	10.0	-88.0	2.0	2.945669324963494	
PositiveTail 6b	-2.0	-82.0	-2.0	2.945669324963494	
PositiveTail 6c	10.0	-86.0	-2.0	2.7005672940363468	
PositiveTail 7	28.0	0.0	56.0	3.658342524135476	1576
PositiveTail 7a	22.0	-8.0	58.0	2.1998372142275135	
PositiveTail 8	-2.0	-22.0	38.0	3.1852699361291625	2304
PositiveTail 8a	-2.0	-16.0	44.0	3.1852699361291625	
PositiveTail 8b	-4.0	-14.0	36.0	2.945669324963494	
PositiveTail 8c	2.0	-18.0	46.0	2.945669324963494	
PositiveTail 9	48.0	-44.0	44.0	2.7005672940363468	592
PositiveTail 9a	56.0	-48.0	40.0	1.6837912479221626	
PositiveTail 10	10.0	-88.0	20.0	2.7005672940363468	960
PositiveTail 10a	8.0	-90.0	28.0	2.1998372142275135	
PositiveTail 10b	16.0	-88.0	26.0	2.1998372142275135	
PositiveTail 11	-8.0	-12.0	8.0	2.7005672940363468	496
PositiveTail 11a	-6.0	-4.0	4.0	1.6837912479221626	
PositiveTail 12	-28.0	-54.0	-16.0	2.450552604685961	336
PositiveTail 13	34.0	-74.0	28.0	2.450552604685961	168
PositiveTail 14	50.0	-52.0	40.0	2.450552604685961	136
PositiveTail 15	14.0	-24.0	-2.0	2.1998372142275135	176
PositiveTail 16	-40.0	-30.0	10.0	2.1998372142275135	80
PositiveTail 17	26.0	-74.0	-28.0	2.1998372142275135	176
PositiveTail 18	-10.0	-94.0	14.0	1.942140003660533	88
PositiveTail 19	-36.0	-20.0	64.0	1.942140003660533	80
