Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-48.0	24.0	-4.0	6.368443363781514	13952
PositiveTail 1a	-46.0	20.0	-12.0	5.140166226701535	
PositiveTail 1b	-50.0	28.0	10.0	5.140166226701535	
PositiveTail 1c	-50.0	22.0	4.0	4.4810053174698075	
PositiveTail 2	-6.0	-54.0	32.0	6.368443363781514	7944
PositiveTail 2a	-10.0	-52.0	24.0	4.823557358253958	
PositiveTail 2b	-6.0	-50.0	16.0	3.720305589683886	
PositiveTail 2c	-10.0	-58.0	10.0	3.3226671237089214	
PositiveTail 3	-2.0	44.0	-2.0	6.113297472670105	31640
PositiveTail 3a	-6.0	18.0	56.0	5.773093426452645	
PositiveTail 3b	0.0	54.0	24.0	5.4651133761290325	
PositiveTail 3c	-10.0	18.0	56.0	5.4651133761290325	
PositiveTail 4	52.0	-20.0	-4.0	5.4651133761290325	9120
PositiveTail 4a	54.0	-30.0	-2.0	4.823557358253958	
PositiveTail 4b	54.0	-14.0	-6.0	3.720305589683886	
PositiveTail 4c	56.0	-22.0	-10.0	3.720305589683886	
PositiveTail 5	-48.0	4.0	48.0	5.140166226701535	3792
PositiveTail 5a	-42.0	4.0	54.0	4.4810053174698075	
PositiveTail 6	-48.0	-60.0	28.0	4.823557358253958	6424
PositiveTail 6a	-50.0	-56.0	18.0	4.118525895769405	
PositiveTail 6b	-46.0	-64.0	38.0	3.720305589683886	
PositiveTail 6c	-46.0	-64.0	22.0	3.3226671237089214	
PositiveTail 7	-56.0	-26.0	8.0	4.4810053174698075	9168
PositiveTail 7a	-58.0	-38.0	4.0	3.720305589683886	
PositiveTail 7b	-56.0	-4.0	-16.0	3.720305589683886	
PositiveTail 7c	-60.0	-38.0	0.0	3.720305589683886	
PositiveTail 8	10.0	6.0	6.0	3.720305589683886	2112
PositiveTail 8a	6.0	6.0	-2.0	3.3226671237089214	
PositiveTail 8b	14.0	12.0	6.0	2.9029213245009537	
PositiveTail 8c	10.0	10.0	-8.0	2.9029213245009537	
PositiveTail 9	-48.0	-34.0	44.0	3.720305589683886	1176
PositiveTail 9a	-56.0	-34.0	46.0	2.461561625966943	
PositiveTail 9b	-46.0	-40.0	48.0	2.461561625966943	
PositiveTail 9c	-44.0	-30.0	50.0	2.461561625966943	
PositiveTail 10	46.0	28.0	-6.0	3.3226671237089214	2848
PositiveTail 10a	34.0	22.0	-12.0	3.3226671237089214	
PositiveTail 10b	48.0	26.0	-2.0	3.3226671237089214	
PositiveTail 10c	46.0	32.0	10.0	2.9029213245009537	
PositiveTail 11	46.0	-58.0	-10.0	2.9029213245009537	480
PositiveTail 11a	54.0	-56.0	-10.0	1.9911460348186039	
PositiveTail 12	-6.0	12.0	-8.0	2.9029213245009537	824
PositiveTail 12a	-2.0	16.0	-2.0	2.461561625966943	
PositiveTail 12b	-12.0	14.0	-8.0	1.9911460348186039	
PositiveTail 12c	-10.0	20.0	-2.0	1.9911460348186039	
PositiveTail 13	14.0	-84.0	0.0	2.461561625966943	168
PositiveTail 14	24.0	-78.0	-18.0	2.461561625966943	80
PositiveTail 15	30.0	-78.0	-24.0	2.461561625966943	248
PositiveTail 16	-32.0	-84.0	16.0	2.461561625966943	80
PositiveTail 17	62.0	-12.0	-14.0	2.461561625966943	240
PositiveTail 18	-40.0	-68.0	-14.0	1.9911460348186039	192
