Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	56.0	-48.0	16.0	6.416044182804427	37472
PositiveTail 1a	58.0	-40.0	20.0	6.114475343382655	
PositiveTail 1b	52.0	-46.0	8.0	5.738893660955224	
PositiveTail 1c	46.0	-68.0	4.0	5.535937544013266	
PositiveTail 2	38.0	24.0	-6.0	6.416044182804427	13848
PositiveTail 2a	48.0	26.0	0.0	4.778522005679073	
PositiveTail 2b	46.0	12.0	26.0	4.559988072929981	
PositiveTail 2c	46.0	28.0	-4.0	4.559988072929981	
PositiveTail 3	-54.0	-46.0	8.0	5.535937544013266	29008
PositiveTail 3a	-46.0	-58.0	-20.0	5.352615253831919	
PositiveTail 3b	-48.0	-68.0	6.0	5.17136810990149	
PositiveTail 3c	-52.0	-48.0	16.0	5.17136810990149	
PositiveTail 4	-40.0	24.0	-8.0	5.352615253831919	15088
PositiveTail 4a	-44.0	32.0	-4.0	5.17136810990149	
PositiveTail 4b	-34.0	24.0	-2.0	4.990041393441234	
PositiveTail 4c	-44.0	32.0	-8.0	4.990041393441234	
PositiveTail 5	-4.0	44.0	-12.0	4.990041393441234	17648
PositiveTail 5a	2.0	54.0	14.0	4.778522005679073	
PositiveTail 5b	-2.0	58.0	0.0	4.559988072929981	
PositiveTail 5c	0.0	58.0	14.0	4.559988072929981	
PositiveTail 6	0.0	-56.0	26.0	4.778522005679073	9272
PositiveTail 6a	-6.0	-42.0	38.0	4.091989604673355	
PositiveTail 6b	-8.0	-58.0	28.0	3.8528232876261255	
PositiveTail 6c	0.0	-40.0	42.0	3.8528232876261255	
PositiveTail 7	-2.0	6.0	46.0	4.334561523432058	6888
PositiveTail 7a	-2.0	4.0	54.0	4.091989604673355	
PositiveTail 7b	-4.0	12.0	52.0	4.091989604673355	
PositiveTail 7c	6.0	20.0	42.0	3.602472469840619	
PositiveTail 8	-34.0	-6.0	52.0	4.334561523432058	4392
PositiveTail 8a	-24.0	-4.0	58.0	3.602472469840619	
PositiveTail 8b	-44.0	4.0	30.0	3.342694390864999	
PositiveTail 8c	-30.0	-4.0	54.0	3.342694390864999	
PositiveTail 9	-20.0	-6.0	-18.0	4.091989604673355	1184
PositiveTail 9a	-24.0	2.0	-14.0	2.2357959771787703	
PositiveTail 10	24.0	-2.0	-18.0	3.602472469840619	1736
PositiveTail 10a	24.0	-10.0	-12.0	2.5206204173759454	
PositiveTail 11	30.0	-4.0	54.0	3.602472469840619	1592
PositiveTail 11a	22.0	-8.0	58.0	3.0733138275072998	
PositiveTail 11b	30.0	2.0	54.0	3.0733138275072998	
PositiveTail 11c	22.0	-8.0	52.0	2.5206204173759454	
PositiveTail 12	2.0	36.0	44.0	3.342694390864999	856
PositiveTail 13	-38.0	-40.0	48.0	3.342694390864999	936
PositiveTail 13a	-46.0	-38.0	46.0	2.7990136115524	
PositiveTail 13b	-38.0	-42.0	52.0	2.2357959771787703	
PositiveTail 14	22.0	-86.0	-4.0	3.342694390864999	1432
PositiveTail 14a	26.0	-90.0	4.0	2.7990136115524	
PositiveTail 15	-50.0	10.0	-28.0	3.0733138275072998	1464
PositiveTail 15a	-48.0	4.0	-36.0	2.7990136115524	
PositiveTail 15b	-48.0	8.0	-24.0	2.5206204173759454	
PositiveTail 15c	-44.0	4.0	-36.0	2.5206204173759454	
PositiveTail 16	-12.0	6.0	-10.0	3.0733138275072998	1200
PositiveTail 16a	-6.0	12.0	-6.0	2.7990136115524	
PositiveTail 16b	-16.0	2.0	-12.0	2.5206204173759454	
PositiveTail 16c	-12.0	8.0	-4.0	2.5206204173759454	
PositiveTail 17	42.0	-4.0	48.0	3.0733138275072998	240
PositiveTail 18	10.0	-86.0	24.0	2.7990136115524	704
PositiveTail 19	56.0	-44.0	40.0	2.5206204173759454	144
PositiveTail 20	16.0	12.0	-10.0	2.5206204173759454	152
PositiveTail 21	-26.0	6.0	-20.0	2.5206204173759454	208
PositiveTail 22	18.0	14.0	-4.0	2.5206204173759454	88
PositiveTail 23	-6.0	-14.0	34.0	2.2357959771787703	88
PositiveTail 24	-44.0	-6.0	52.0	2.2357959771787703	88
