Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	32.0	22.0	0.0	7.21043154071679	55880
PositiveTail 1a	-38.0	18.0	-4.0	7.130627343714165	
PositiveTail 1b	40.0	22.0	0.0	7.130627343714165	
PositiveTail 1c	38.0	20.0	-8.0	6.934709355431642	
PositiveTail 2	-2.0	52.0	28.0	6.5334923047558195	42240
PositiveTail 2a	-4.0	8.0	52.0	6.310857032747292	
PositiveTail 2b	-4.0	48.0	28.0	6.310857032747292	
PositiveTail 2c	2.0	18.0	46.0	5.839214298599408	
PositiveTail 3	-2.0	-54.0	34.0	6.310857032747292	10176
PositiveTail 3a	2.0	-54.0	42.0	4.625810491828641	
PositiveTail 3b	4.0	-62.0	42.0	4.116979022300629	
PositiveTail 3c	-4.0	-56.0	22.0	4.116979022300629	
PositiveTail 4	54.0	-48.0	16.0	5.608555003221869	17784
PositiveTail 4a	50.0	-54.0	20.0	5.119679906210875	
PositiveTail 4b	60.0	-44.0	24.0	4.3772140496899965	
PositiveTail 4c	54.0	-54.0	16.0	4.3772140496899965	
PositiveTail 5	-46.0	-64.0	12.0	5.365821078748384	11192
PositiveTail 5a	-48.0	-58.0	22.0	4.873761444593649	
PositiveTail 5b	-46.0	-66.0	18.0	4.116979022300629	
PositiveTail 5c	-48.0	-56.0	40.0	3.849146181213732	
PositiveTail 6	-60.0	-28.0	2.0	3.849146181213732	4048
PositiveTail 6a	-58.0	-24.0	-6.0	3.5799390016866166	
PositiveTail 6b	-56.0	-22.0	2.0	3.306057746786797	
PositiveTail 6c	-58.0	-34.0	-2.0	3.306057746786797	
PositiveTail 7	-32.0	50.0	6.0	3.5799390016866166	2560
PositiveTail 7a	-24.0	52.0	6.0	2.7536473829388024	
PositiveTail 7b	-40.0	48.0	4.0	2.7536473829388024	
PositiveTail 7c	-38.0	38.0	14.0	2.7536473829388024	
PositiveTail 8	-46.0	-36.0	44.0	3.5799390016866166	1448
PositiveTail 8a	-54.0	-36.0	40.0	2.7536473829388024	
PositiveTail 8b	-46.0	-40.0	48.0	2.7536473829388024	
PositiveTail 8c	-42.0	-30.0	48.0	2.4670615514875256	
PositiveTail 9	58.0	-4.0	-10.0	3.306057746786797	1112
PositiveTail 9a	58.0	-8.0	-18.0	2.7536473829388024	
PositiveTail 9b	58.0	0.0	-12.0	2.4670615514875256	
PositiveTail 10	52.0	-40.0	46.0	3.0320686133182493	872
PositiveTail 11	46.0	12.0	26.0	3.0320686133182493	1136
PositiveTail 11a	44.0	12.0	34.0	2.4670615514875256	
PositiveTail 11b	38.0	8.0	28.0	2.1723483755708797	
PositiveTail 11c	44.0	8.0	38.0	2.1723483755708797	
PositiveTail 12	24.0	-74.0	-16.0	3.0320686133182493	408
PositiveTail 12a	22.0	-82.0	-10.0	2.4670615514875256	
PositiveTail 12b	30.0	-74.0	-14.0	1.87067038906443	
PositiveTail 13	-48.0	-56.0	-10.0	2.7536473829388024	544
PositiveTail 13a	-46.0	-58.0	-20.0	1.87067038906443	
PositiveTail 13b	-42.0	-50.0	-12.0	1.87067038906443	
PositiveTail 14	-24.0	-54.0	-14.0	2.7536473829388024	456
PositiveTail 14a	-32.0	-54.0	-12.0	1.87067038906443	
PositiveTail 15	-30.0	-62.0	48.0	2.7536473829388024	624
PositiveTail 15a	-24.0	-70.0	48.0	2.4670615514875256	
PositiveTail 15b	-22.0	-62.0	48.0	2.4670615514875256	
PositiveTail 16	48.0	-52.0	40.0	2.4670615514875256	88
PositiveTail 17	22.0	-54.0	-16.0	2.4670615514875256	88
PositiveTail 18	24.0	-48.0	-10.0	2.4670615514875256	112
PositiveTail 19	-54.0	-2.0	-14.0	2.4670615514875256	232
PositiveTail 20	-16.0	-66.0	50.0	2.4670615514875256	104
PositiveTail 21	16.0	-78.0	-6.0	2.4670615514875256	184
PositiveTail 22	-54.0	-46.0	8.0	2.1723483755708797	104
PositiveTail 23	-50.0	6.0	-28.0	1.87067038906443	80
