Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	54.0	-46.0	6.0	11.885962371657392	84416
PositiveTail 1a	52.0	-54.0	6.0	10.505382610248672	
PositiveTail 1b	46.0	-72.0	0.0	10.376390274009829	
PositiveTail 1c	50.0	-66.0	4.0	10.267086012835472	
PositiveTail 2	-4.0	-54.0	32.0	10.738990011076021	16152
PositiveTail 2a	8.0	-58.0	46.0	3.665365835518793	
PositiveTail 2b	2.0	-40.0	42.0	2.941360567408976	
PositiveTail 2c	4.0	-66.0	46.0	2.941360567408976	
PositiveTail 3	-4.0	52.0	28.0	10.267086012835472	60448
PositiveTail 3a	0.0	56.0	22.0	8.830136456357014	
PositiveTail 3b	2.0	20.0	42.0	8.830136456357014	
PositiveTail 3c	-4.0	18.0	52.0	7.839069208742946	
PositiveTail 4	36.0	24.0	-2.0	10.023624523476744	36416
PositiveTail 4a	48.0	26.0	0.0	9.242420837574064	
PositiveTail 4b	46.0	12.0	26.0	8.268716602343806	
PositiveTail 4c	46.0	22.0	4.0	8.268716602343806	
PositiveTail 5	-48.0	-70.0	6.0	9.770009882087885	149208
PositiveTail 5a	-24.0	-8.0	-18.0	9.508373714765	
PositiveTail 5b	-50.0	-58.0	24.0	9.374324261837776	
PositiveTail 5c	-46.0	-74.0	6.0	9.106081780447665	
PositiveTail 6	24.0	-6.0	-14.0	8.12605518532935	6288
PositiveTail 6a	30.0	-4.0	-30.0	2.1989699437632293	
PositiveTail 7	4.0	-18.0	42.0	4.5389647448255115	2528
PositiveTail 7a	-4.0	-22.0	36.0	3.8416401906579094	
PositiveTail 7b	-6.0	-18.0	44.0	3.3049902166817415	
PositiveTail 7c	-4.0	-14.0	36.0	3.1233424892749833	
PositiveTail 8	-30.0	-18.0	60.0	4.367151683368127	1584
PositiveTail 8a	-26.0	-10.0	64.0	4.018129814806283	
PositiveTail 8b	-28.0	-22.0	60.0	3.8416401906579094	
PositiveTail 8c	-24.0	-12.0	68.0	3.665365835518793	
PositiveTail 9	32.0	-52.0	60.0	4.367151683368127	1376
PositiveTail 9a	34.0	-46.0	66.0	3.3049902166817415	
PositiveTail 10	-28.0	-54.0	64.0	4.018129814806283	1176
PositiveTail 10a	-36.0	-50.0	64.0	3.1233424892749833	
PositiveTail 11	36.0	-52.0	52.0	3.8416401906579094	3672
PositiveTail 11a	46.0	-44.0	48.0	3.8416401906579094	
PositiveTail 11b	28.0	-54.0	50.0	3.665365835518793	
PositiveTail 11c	52.0	-40.0	46.0	3.665365835518793	
PositiveTail 12	8.0	-88.0	18.0	3.3049902166817415	312
PositiveTail 13	26.0	-6.0	64.0	2.941360567408976	176
