Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-8.0	-56.0	30.0	7.383564582407593	11728
PositiveTail 1a	0.0	-56.0	42.0	4.886319894098006	
PositiveTail 1b	-6.0	-54.0	18.0	4.596128036620416	
PositiveTail 1c	8.0	-56.0	24.0	2.4116312174285577	
PositiveTail 2	0.0	54.0	24.0	6.472842275094086	39056
PositiveTail 2a	-4.0	52.0	4.0	6.472842275094086	
PositiveTail 2b	-2.0	54.0	28.0	6.213486577569164	
PositiveTail 2c	-6.0	46.0	2.0	6.213486577569164	
PositiveTail 3	-50.0	-62.0	28.0	5.937910104902849	7944
PositiveTail 3a	-50.0	-56.0	22.0	4.886319894098006	
PositiveTail 3b	-50.0	-52.0	30.0	3.385183100448362	
PositiveTail 3c	-46.0	-58.0	38.0	3.0685531318905492	
PositiveTail 4	-42.0	24.0	-8.0	5.417778714163781	14568
PositiveTail 4a	-50.0	24.0	-4.0	4.596128036620416	
PositiveTail 4b	-46.0	20.0	-12.0	4.303080048806876	
PositiveTail 4c	-50.0	10.0	24.0	4.303080048806876	
PositiveTail 5	-42.0	0.0	48.0	5.162109838582364	4616
PositiveTail 5a	-44.0	8.0	50.0	3.696879239019773	
PositiveTail 5b	-36.0	-10.0	52.0	2.751023848684736	
PositiveTail 5c	-34.0	-4.0	42.0	2.062025706989603	
PositiveTail 6	54.0	-32.0	2.0	4.886319894098006	9952
PositiveTail 6a	48.0	-28.0	-4.0	4.596128036620416	
PositiveTail 6b	54.0	-20.0	-4.0	4.596128036620416	
PositiveTail 6c	50.0	-30.0	-2.0	4.596128036620416	
PositiveTail 7	50.0	-64.0	-2.0	4.303080048806876	11032
PositiveTail 7a	22.0	-80.0	-10.0	4.000271798102441	
PositiveTail 7b	50.0	-64.0	-6.0	4.000271798102441	
PositiveTail 7c	22.0	-82.0	-4.0	3.696879239019773	
PositiveTail 8	34.0	24.0	-6.0	4.000271798102441	7888
PositiveTail 8a	30.0	22.0	2.0	3.696879239019773	
PositiveTail 8b	52.0	26.0	8.0	3.385183100448362	
PositiveTail 8c	44.0	24.0	-4.0	3.385183100448362	
PositiveTail 9	-48.0	-34.0	44.0	4.000271798102441	1784
PositiveTail 10	8.0	8.0	4.0	3.696879239019773	7680
PositiveTail 10a	8.0	12.0	-10.0	3.0685531318905492	
PositiveTail 10b	-6.0	10.0	0.0	3.0685531318905492	
PositiveTail 10c	14.0	12.0	6.0	3.0685531318905492	
PositiveTail 11	-56.0	-32.0	-2.0	3.696879239019773	8024
PositiveTail 11a	-56.0	-26.0	4.0	3.696879239019773	
PositiveTail 11b	-56.0	-38.0	0.0	3.385183100448362	
PositiveTail 11c	-56.0	-26.0	-4.0	3.385183100448362	
PositiveTail 12	-50.0	4.0	-32.0	3.0685531318905492	616
PositiveTail 13	42.0	4.0	38.0	3.0685531318905492	840
PositiveTail 13a	44.0	6.0	30.0	2.4116312174285577	
PositiveTail 13b	44.0	8.0	38.0	2.4116312174285577	
PositiveTail 13c	44.0	10.0	26.0	2.062025706989603	
PositiveTail 14	-42.0	-78.0	-2.0	3.0685531318905492	3056
PositiveTail 14a	-36.0	-76.0	-10.0	3.0685531318905492	
PositiveTail 14b	-42.0	-82.0	-6.0	2.751023848684736	
PositiveTail 14c	-34.0	-76.0	-14.0	2.751023848684736	
PositiveTail 15	20.0	-6.0	50.0	2.4116312174285577	536
PositiveTail 15a	26.0	-2.0	54.0	2.062025706989603	
PositiveTail 15b	22.0	-12.0	52.0	1.7100824765699192	
PositiveTail 16	46.0	-6.0	50.0	2.4116312174285577	536
PositiveTail 16a	44.0	2.0	48.0	2.062025706989603	
PositiveTail 16b	48.0	-6.0	54.0	2.062025706989603	
PositiveTail 16c	50.0	-6.0	46.0	2.062025706989603	
PositiveTail 17	46.0	-38.0	48.0	2.4116312174285577	328
PositiveTail 18	26.0	-48.0	-12.0	2.4116312174285577	88
PositiveTail 19	-58.0	-40.0	26.0	2.062025706989603	168
PositiveTail 20	-56.0	-4.0	-16.0	2.062025706989603	88
PositiveTail 21	-22.0	52.0	12.0	2.062025706989603	112
PositiveTail 22	-4.0	-74.0	8.0	2.062025706989603	184
PositiveTail 22a	-4.0	-78.0	0.0	1.7100824765699192	
PositiveTail 23	-8.0	-90.0	8.0	2.062025706989603	104
PositiveTail 24	46.0	16.0	-28.0	2.062025706989603	112
PositiveTail 25	-50.0	-74.0	2.0	2.062025706989603	152
PositiveTail 26	-6.0	34.0	34.0	1.7100824765699192	80
PositiveTail 27	-10.0	-12.0	6.0	1.7100824765699192	96
PositiveTail 28	62.0	-8.0	-18.0	1.7100824765699192	152
