Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	54.0	-46.0	10.0	9.965446243278308	113944
PositiveTail 1a	48.0	-66.0	-2.0	9.766774078063463	
PositiveTail 1b	52.0	-40.0	4.0	9.453771034476604	
PositiveTail 1c	42.0	-54.0	-16.0	9.31477616782547	
PositiveTail 2	-24.0	-8.0	-18.0	9.171915251259751	135496
PositiveTail 2a	-48.0	-70.0	6.0	8.738138170020108	
PositiveTail 2b	-38.0	18.0	-2.0	8.273368943581076	
PositiveTail 2c	-54.0	-46.0	8.0	8.273368943581076	
PositiveTail 3	-4.0	-54.0	28.0	8.11795936817286	15264
PositiveTail 3a	4.0	-62.0	42.0	4.961440566464849	
PositiveTail 3b	-2.0	-54.0	42.0	4.589539280770823	
PositiveTail 3c	0.0	-66.0	46.0	3.224191053263324	
PositiveTail 4	-2.0	52.0	28.0	7.180275544555576	52376
PositiveTail 4a	2.0	20.0	42.0	7.022616946520579	
PositiveTail 4b	-4.0	50.0	32.0	6.695907872399663	
PositiveTail 4c	-4.0	12.0	52.0	6.530312274302888	
PositiveTail 5	-38.0	-40.0	48.0	3.8213398659159994	4912
PositiveTail 5a	-34.0	-48.0	48.0	3.022633487823735	
PositiveTail 5b	-42.0	-34.0	44.0	3.022633487823735	
PositiveTail 5c	-50.0	-32.0	40.0	2.818212994861331	
PositiveTail 6	28.0	-54.0	48.0	3.8213398659159994	1976
PositiveTail 6a	36.0	-56.0	44.0	3.022633487823735	
PositiveTail 6b	36.0	-52.0	52.0	2.6121525928790517	
PositiveTail 6c	32.0	-44.0	52.0	1.9853926141413387	
PositiveTail 7	2.0	-16.0	44.0	3.624266918001333	1984
PositiveTail 7a	-4.0	-22.0	36.0	3.022633487823735	
PositiveTail 7b	-4.0	-12.0	46.0	2.6121525928790517	
PositiveTail 7c	2.0	-6.0	40.0	2.1959045081631183	
PositiveTail 8	8.0	-90.0	20.0	3.224191053263324	512
PositiveTail 8a	18.0	-92.0	22.0	2.4040080577308816	
PositiveTail 8b	6.0	-84.0	20.0	1.7739347149459155	
PositiveTail 9	-8.0	-94.0	2.0	3.022633487823735	880
PositiveTail 9a	-16.0	-96.0	6.0	2.818212994861331	
PositiveTail 9b	-8.0	-98.0	0.0	2.1959045081631183	
PositiveTail 9c	-18.0	-90.0	4.0	1.7739347149459155	
PositiveTail 10	50.0	-40.0	48.0	3.022633487823735	816
PositiveTail 11	-54.0	-32.0	36.0	2.6121525928790517	192
PositiveTail 11a	-54.0	-40.0	40.0	1.7739347149459155	
PositiveTail 12	-18.0	56.0	12.0	2.4040080577308816	80
PositiveTail 13	-30.0	-44.0	-8.0	2.1959045081631183	80
