Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	52.0	-50.0	6.0	11.481672458227564	86096
PositiveTail 1a	54.0	-48.0	16.0	10.433703197494395	
PositiveTail 1b	46.0	-72.0	0.0	10.312134740830308	
PositiveTail 1c	52.0	-54.0	6.0	10.195737031959512	
PositiveTail 2	-4.0	-54.0	32.0	11.24172659010861	21040
PositiveTail 2a	2.0	-18.0	40.0	4.5791877737073	
PositiveTail 2b	-2.0	-40.0	40.0	4.411974634793098	
PositiveTail 2c	-2.0	-20.0	40.0	4.072938728929912	
PositiveTail 3	38.0	24.0	-6.0	10.312134740830308	203832
PositiveTail 3a	-50.0	-58.0	24.0	9.698303005474843	
PositiveTail 3b	-48.0	-70.0	6.0	9.566049657832835	
PositiveTail 3c	48.0	26.0	0.0	9.566049657832835	
PositiveTail 4	-4.0	52.0	28.0	10.195737031959512	64784
PositiveTail 4a	2.0	20.0	42.0	9.04028267783007	
PositiveTail 4b	0.0	56.0	22.0	8.904936914383443	
PositiveTail 4c	2.0	18.0	46.0	8.772117069678021	
PositiveTail 5	-30.0	-16.0	62.0	4.5791877737073	1704
PositiveTail 5a	-24.0	-10.0	62.0	4.072938728929912	
PositiveTail 5b	-28.0	-22.0	60.0	3.728059747952135	
PositiveTail 5c	-24.0	-12.0	68.0	3.728059747952135	
PositiveTail 6	32.0	-50.0	60.0	4.072938728929912	1224
PositiveTail 7	-28.0	-54.0	64.0	3.728059747952135	1056
PositiveTail 7a	-36.0	-50.0	64.0	2.8457077019260315	
PositiveTail 8	38.0	-52.0	46.0	3.728059747952135	3936
PositiveTail 8a	46.0	-44.0	48.0	3.728059747952135	
PositiveTail 8b	28.0	-54.0	50.0	3.553722730898409	
PositiveTail 8c	34.0	-52.0	44.0	3.553722730898409	
PositiveTail 9	8.0	-88.0	18.0	3.024263490224624	264
PositiveTail 10	26.0	-6.0	64.0	2.8457077019260315	136
PositiveTail 11	26.0	-74.0	-26.0	2.118036968676444	112
