Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	36.0	24.0	-2.0	6.895708170827385	17080
PositiveTail 1a	28.0	18.0	-6.0	5.12018618465805	
PositiveTail 1b	18.0	14.0	-4.0	4.180907261072187	
PositiveTail 1c	16.0	14.0	6.0	3.515307778243063	
PositiveTail 2	-40.0	20.0	-10.0	5.985253252494822	11552
PositiveTail 2a	-32.0	24.0	-2.0	4.500441522342824	
PositiveTail 2b	-42.0	14.0	-2.0	4.500441522342824	
PositiveTail 2c	-42.0	24.0	-14.0	4.500441522342824	
PositiveTail 3	-2.0	-52.0	36.0	4.500441522342824	4864
PositiveTail 3a	-10.0	-46.0	34.0	2.85356962401778	
PositiveTail 3b	-2.0	-64.0	36.0	2.5321844129639137	
PositiveTail 3c	-10.0	-46.0	28.0	2.5321844129639137	
PositiveTail 4	-6.0	8.0	50.0	4.500441522342824	7080
PositiveTail 4a	2.0	18.0	46.0	3.1768405201900367	
PositiveTail 4b	10.0	26.0	42.0	3.1768405201900367	
PositiveTail 4c	6.0	16.0	50.0	2.85356962401778	
PositiveTail 5	-46.0	-64.0	12.0	4.180907261072187	1840
PositiveTail 5a	-50.0	-66.0	2.0	3.1768405201900367	
PositiveTail 5b	-52.0	-66.0	10.0	2.85356962401778	
PositiveTail 5c	-46.0	-66.0	-2.0	2.85356962401778	
PositiveTail 6	-12.0	52.0	0.0	4.180907261072187	15720
PositiveTail 6a	-4.0	52.0	30.0	3.8478748962940212	
PositiveTail 6b	-32.0	50.0	6.0	3.8478748962940212	
PositiveTail 6c	2.0	54.0	28.0	3.8478748962940212	
PositiveTail 7	-46.0	-58.0	26.0	3.515307778243063	2968
PositiveTail 7a	-46.0	-50.0	22.0	3.1768405201900367	
PositiveTail 7b	-42.0	-58.0	30.0	2.85356962401778	
PositiveTail 7c	-50.0	-58.0	40.0	2.5321844129639137	
PositiveTail 8	-40.0	0.0	38.0	3.515307778243063	2400
PositiveTail 8a	-42.0	6.0	32.0	3.1768405201900367	
PositiveTail 8b	-40.0	2.0	42.0	3.1768405201900367	
PositiveTail 8c	-42.0	2.0	34.0	2.85356962401778	
PositiveTail 9	54.0	-48.0	18.0	3.1768405201900367	2424
PositiveTail 9a	46.0	-56.0	22.0	2.85356962401778	
PositiveTail 9b	58.0	-40.0	22.0	2.5321844129639137	
PositiveTail 9c	46.0	-54.0	32.0	2.194987878796511	
PositiveTail 10	-56.0	-34.0	-4.0	2.85356962401778	840
PositiveTail 10a	-58.0	-26.0	-6.0	2.5321844129639137	
PositiveTail 10b	-52.0	-34.0	0.0	2.5321844129639137	
PositiveTail 11	48.0	16.0	22.0	2.5321844129639137	184
PositiveTail 12	50.0	-42.0	44.0	2.5321844129639137	864
PositiveTail 12a	46.0	-50.0	40.0	2.194987878796511	
PositiveTail 12b	46.0	-42.0	46.0	2.194987878796511	
PositiveTail 12c	48.0	-52.0	40.0	2.194987878796511	
PositiveTail 13	-52.0	18.0	20.0	2.5321844129639137	272
PositiveTail 14	-22.0	0.0	-20.0	2.5321844129639137	288
PositiveTail 14a	-24.0	-8.0	-18.0	2.194987878796511	
PositiveTail 14b	-18.0	0.0	-16.0	1.8560963961087462	
PositiveTail 15	38.0	-56.0	40.0	2.5321844129639137	104
PositiveTail 16	-36.0	-74.0	-12.0	2.5321844129639137	216
PositiveTail 16a	-44.0	-74.0	-10.0	2.194987878796511	
PositiveTail 17	-8.0	-12.0	2.0	2.5321844129639137	296
PositiveTail 17a	-8.0	-6.0	8.0	2.194987878796511	
PositiveTail 18	28.0	-54.0	44.0	2.5321844129639137	656
PositiveTail 18a	30.0	-60.0	50.0	2.5321844129639137	
PositiveTail 18b	30.0	-52.0	44.0	2.5321844129639137	
PositiveTail 19	10.0	38.0	42.0	2.5321844129639137	384
PositiveTail 19a	10.0	48.0	40.0	2.194987878796511	
PositiveTail 19b	14.0	38.0	46.0	2.194987878796511	
PositiveTail 19c	6.0	40.0	38.0	1.8560963961087462	
PositiveTail 20	-28.0	-62.0	48.0	2.194987878796511	144
PositiveTail 21	42.0	-70.0	0.0	2.194987878796511	616
PositiveTail 21a	46.0	-64.0	-4.0	2.194987878796511	
PositiveTail 21b	46.0	-74.0	2.0	1.8560963961087462	
PositiveTail 22	22.0	-42.0	-12.0	2.194987878796511	152
PositiveTail 23	2.0	-10.0	0.0	2.194987878796511	120
PositiveTail 24	-6.0	32.0	32.0	2.194987878796511	112
PositiveTail 25	-38.0	-42.0	40.0	2.194987878796511	120
PositiveTail 26	56.0	-12.0	-16.0	2.194987878796511	208
PositiveTail 27	-30.0	4.0	58.0	2.194987878796511	160
PositiveTail 28	-30.0	-46.0	-8.0	2.194987878796511	96
PositiveTail 29	-34.0	-28.0	-22.0	2.194987878796511	200
PositiveTail 30	58.0	-32.0	20.0	2.194987878796511	80
PositiveTail 31	-24.0	-56.0	-12.0	1.8560963961087462	112
