Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-6.0	46.0	2.0	5.737342877626213	26600
PositiveTail 1a	0.0	54.0	24.0	5.609263428524034	
PositiveTail 1b	-2.0	44.0	-2.0	5.385582553827637	
PositiveTail 1c	-4.0	54.0	26.0	5.385582553827637	
PositiveTail 2	-6.0	-56.0	32.0	5.609263428524034	8984
PositiveTail 2a	-4.0	-56.0	22.0	4.150631721541253	
PositiveTail 2b	-12.0	-52.0	24.0	4.150631721541253	
PositiveTail 2c	-6.0	-56.0	16.0	4.150631721541253	
PositiveTail 3	-50.0	24.0	-4.0	5.385582553827637	9912
PositiveTail 3a	-50.0	28.0	6.0	5.266536401244251	
PositiveTail 3b	-42.0	20.0	-8.0	5.266536401244251	
PositiveTail 3c	-54.0	28.0	4.0	5.266536401244251	
PositiveTail 4	-4.0	18.0	52.0	5.266536401244251	6672
PositiveTail 4a	-12.0	22.0	52.0	3.8043061745641085	
PositiveTail 4b	-2.0	20.0	42.0	3.0899669297406045	
PositiveTail 4c	-4.0	28.0	48.0	3.0899669297406045	
PositiveTail 5	-50.0	-62.0	28.0	5.045319796924685	7400
PositiveTail 5a	-50.0	-56.0	22.0	4.480390094184346	
PositiveTail 5b	-46.0	-64.0	22.0	3.4588756032422787	
PositiveTail 5c	-44.0	-58.0	40.0	3.0899669297406045	
PositiveTail 6	52.0	-18.0	-6.0	4.790039855600739	9008
PositiveTail 6a	48.0	-26.0	-2.0	4.150631721541253	
PositiveTail 6b	56.0	-28.0	0.0	3.8043061745641085	
PositiveTail 6c	52.0	-12.0	-4.0	3.8043061745641085	
PositiveTail 7	-54.0	-26.0	4.0	4.480390094184346	8528
PositiveTail 7a	-50.0	4.0	-32.0	4.150631721541253	
PositiveTail 7b	-56.0	-26.0	8.0	4.150631721541253	
PositiveTail 7c	-46.0	4.0	-34.0	3.8043061745641085	
PositiveTail 8	-50.0	-34.0	46.0	4.150631721541253	1976
PositiveTail 8a	-50.0	-36.0	38.0	3.0899669297406045	
PositiveTail 8b	-42.0	-30.0	48.0	2.707602878936898	
PositiveTail 8c	-52.0	-40.0	48.0	2.3051518323060862	
PositiveTail 9	8.0	6.0	0.0	4.150631721541253	3784
PositiveTail 9a	14.0	12.0	6.0	3.8043061745641085	
PositiveTail 9b	8.0	12.0	0.0	3.4588756032422787	
PositiveTail 9c	14.0	6.0	12.0	3.0899669297406045	
PositiveTail 10	-42.0	2.0	48.0	3.8043061745641085	2776
PositiveTail 10a	-50.0	6.0	48.0	3.4588756032422787	
PositiveTail 10b	-46.0	2.0	54.0	3.4588756032422787	
PositiveTail 11	24.0	-76.0	-16.0	3.4588756032422787	2784
PositiveTail 11a	20.0	-74.0	-8.0	2.707602878936898	
PositiveTail 11b	24.0	-82.0	-12.0	2.707602878936898	
PositiveTail 11c	20.0	-82.0	-2.0	2.707602878936898	
PositiveTail 12	46.0	-58.0	-6.0	3.4588756032422787	1888
PositiveTail 12a	50.0	-50.0	-8.0	3.4588756032422787	
PositiveTail 12b	50.0	-62.0	-8.0	3.0899669297406045	
PositiveTail 12c	46.0	-58.0	-14.0	2.3051518323060862	
PositiveTail 13	-16.0	10.0	10.0	3.4588756032422787	2968
PositiveTail 13a	-28.0	14.0	4.0	3.0899669297406045	
PositiveTail 13b	-10.0	2.0	8.0	3.0899669297406045	
PositiveTail 13c	-26.0	14.0	8.0	3.0899669297406045	
PositiveTail 14	54.0	26.0	6.0	3.0899669297406045	2440
PositiveTail 14a	48.0	26.0	-2.0	3.0899669297406045	
PositiveTail 14b	28.0	20.0	2.0	2.707602878936898	
PositiveTail 14c	54.0	30.0	8.0	2.707602878936898	
PositiveTail 15	46.0	16.0	-28.0	3.0899669297406045	784
PositiveTail 16	38.0	12.0	-20.0	2.707602878936898	152
PositiveTail 17	14.0	-90.0	2.0	2.3051518323060862	112
PositiveTail 18	30.0	24.0	-12.0	2.3051518323060862	152
PositiveTail 19	38.0	24.0	10.0	2.3051518323060862	192
PositiveTail 19a	42.0	30.0	6.0	2.3051518323060862	
PositiveTail 20	-14.0	30.0	26.0	2.3051518323060862	376
PositiveTail 20a	-6.0	34.0	28.0	2.3051518323060862	
PositiveTail 20b	-14.0	26.0	26.0	1.8876776438921412	
PositiveTail 20c	-4.0	32.0	22.0	1.8876776438921412	
PositiveTail 21	-6.0	-90.0	8.0	2.3051518323060862	328
PositiveTail 22	8.0	36.0	42.0	1.8876776438921412	136
