Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	54.0	-48.0	14.0	9.00483009336357	103016
PositiveTail 1a	52.0	-42.0	6.0	8.709250477611098	
PositiveTail 1b	42.0	-54.0	-16.0	8.709250477611098	
PositiveTail 1c	46.0	-64.0	-2.0	8.473587225354427	
PositiveTail 2	-24.0	-8.0	-18.0	8.709250477611098	50544
PositiveTail 2a	-38.0	18.0	-4.0	6.8243402656736	
PositiveTail 2b	-36.0	24.0	2.0	6.8243402656736	
PositiveTail 2c	-48.0	24.0	2.0	6.09475801104431	
PositiveTail 3	22.0	-4.0	-14.0	7.847963638589103	6728
PositiveTail 3a	34.0	0.0	-26.0	2.1216582511629816	
PositiveTail 4	-54.0	-46.0	8.0	7.517961303239707	49832
PositiveTail 4a	-46.0	-58.0	-20.0	7.3462847918272445	
PositiveTail 4b	-52.0	-54.0	8.0	7.3462847918272445	
PositiveTail 4c	-48.0	-64.0	6.0	7.174714509196889	
PositiveTail 5	-6.0	-50.0	32.0	5.716898517385902	9320
PositiveTail 5a	2.0	-54.0	30.0	4.735484552490279	
PositiveTail 5b	-2.0	-58.0	20.0	4.5309852301714795	
PositiveTail 5c	-2.0	-40.0	42.0	3.6914093620270654	
PositiveTail 6	-2.0	54.0	28.0	5.525452937452905	31832
PositiveTail 6a	-4.0	8.0	48.0	5.330010256272272	
PositiveTail 6b	2.0	20.0	42.0	5.133560304949991	
PositiveTail 6c	0.0	6.0	48.0	5.133560304949991	
PositiveTail 7	-38.0	-40.0	48.0	3.905043986149015	3160
PositiveTail 7a	-42.0	-34.0	44.0	3.2552147459811054	
PositiveTail 7b	-40.0	-48.0	50.0	3.2552147459811054	
PositiveTail 7c	-46.0	-36.0	44.0	3.0342008110316145	
PositiveTail 8	28.0	-56.0	46.0	3.2552147459811054	1688
PositiveTail 8a	36.0	-56.0	44.0	3.2552147459811054	
PositiveTail 8b	30.0	-62.0	48.0	2.3544674855337258	
PositiveTail 8c	32.0	-46.0	48.0	2.1216582511629816	
PositiveTail 9	-36.0	-26.0	-18.0	2.810192353632793	976
PositiveTail 9a	-30.0	-30.0	-14.0	2.810192353632793	
PositiveTail 9b	-32.0	-28.0	-22.0	2.3544674855337258	
PositiveTail 9c	-28.0	-34.0	-14.0	2.3544674855337258	
PositiveTail 10	0.0	-66.0	46.0	2.58403249438286	144
PositiveTail 11	2.0	-18.0	44.0	2.58403249438286	232
PositiveTail 12	54.0	-42.0	50.0	2.58403249438286	352
PositiveTail 12a	46.0	-38.0	46.0	2.3544674855337258	
PositiveTail 12b	54.0	-42.0	46.0	2.3544674855337258	
PositiveTail 12c	46.0	-44.0	48.0	1.8864898985836838	
PositiveTail 13	-50.0	10.0	-28.0	2.3544674855337258	192
PositiveTail 13a	-44.0	14.0	-32.0	1.8864898985836838	
PositiveTail 14	-40.0	-18.0	56.0	2.3544674855337258	88
PositiveTail 15	8.0	-58.0	46.0	2.3544674855337258	80
PositiveTail 16	4.0	-58.0	52.0	2.1216582511629816	96
