Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	-54.0	32.0	11.100172063814194	22680
PositiveTail 1a	2.0	-18.0	40.0	4.740884665605206	
PositiveTail 1b	-6.0	-40.0	38.0	4.4038630111253285	
PositiveTail 1c	-2.0	-20.0	40.0	4.232169328894956	
PositiveTail 2	52.0	-50.0	6.0	11.100172063814194	86176
PositiveTail 2a	54.0	-48.0	14.0	10.47289527439279	
PositiveTail 2b	52.0	-54.0	6.0	9.980755443277316	
PositiveTail 2c	46.0	-72.0	0.0	9.847818046975673	
PositiveTail 3	38.0	24.0	-6.0	10.22679317795362	203792
PositiveTail 3a	-48.0	-70.0	6.0	9.59445215838924	
PositiveTail 3b	48.0	26.0	0.0	9.59445215838924	
PositiveTail 3c	-24.0	-8.0	-18.0	9.459802589827607	
PositiveTail 4	-4.0	52.0	28.0	9.980755443277316	65184
PositiveTail 4a	-4.0	18.0	52.0	8.669561785467295	
PositiveTail 4b	2.0	20.0	42.0	8.532014319443162	
PositiveTail 4c	-4.0	12.0	52.0	8.25487708118036	
PositiveTail 5	-32.0	-18.0	62.0	4.4038630111253285	1544
PositiveTail 5a	-26.0	-12.0	66.0	3.533631677647919	
PositiveTail 5b	-18.0	-12.0	64.0	2.634207631547488	
PositiveTail 5c	-22.0	-20.0	66.0	1.7023541433133922	
PositiveTail 6	32.0	-50.0	60.0	4.059368610426088	1224
PositiveTail 7	-28.0	-54.0	64.0	3.885972870286038	1040
PositiveTail 7a	-36.0	-50.0	64.0	2.8172943544961364	
PositiveTail 8	46.0	-42.0	48.0	3.885972870286038	3848
PositiveTail 8a	38.0	-52.0	44.0	3.533631677647919	
PositiveTail 8b	28.0	-54.0	48.0	3.177080467377498	
PositiveTail 8c	36.0	-52.0	52.0	2.998246852101826	
PositiveTail 9	26.0	-6.0	64.0	2.451152369847286	88
PositiveTail 10	38.0	-76.0	26.0	2.451152369847286	248
PositiveTail 11	-28.0	-80.0	-30.0	2.2661179988256928	104
PositiveTail 12	26.0	-74.0	-26.0	2.0792013550584647	112
PositiveTail 13	-14.0	-66.0	52.0	1.8912380192878557	88
PositiveTail 14	26.0	-34.0	-8.0	1.8912380192878557	80
