id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16
14980212-14980212_analysis_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_3	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
15488424-15488424_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
17046722-17046722_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17964185-17964185_analysis_0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_9	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0
18486491-18486491_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_4	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
20923708-20923708_analysis_0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
20923708-20923708_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21664277-21664277_analysis_0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21703352-21703352_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
