Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	52.0	0.0	4.809594726674345	14096
PositiveTail 1a	-6.0	42.0	-8.0	4.651340663768263	
PositiveTail 1b	-8.0	48.0	2.0	4.651340663768263	
PositiveTail 1c	-6.0	46.0	-8.0	4.468563762651745	
PositiveTail 2	38.0	22.0	-4.0	4.809594726674345	9880
PositiveTail 2a	28.0	20.0	-8.0	4.468563762651745	
PositiveTail 2b	40.0	24.0	2.0	4.203643167540012	
PositiveTail 2c	34.0	20.0	-10.0	4.203643167540012	
PositiveTail 3	-40.0	22.0	-10.0	4.651340663768263	6104
PositiveTail 3a	-38.0	22.0	-2.0	3.5418285151316886	
PositiveTail 3b	-34.0	22.0	-10.0	3.5418285151316886	
PositiveTail 3c	-42.0	30.0	-8.0	3.5418285151316886	
PositiveTail 4	-46.0	-64.0	12.0	4.203643167540012	4792
PositiveTail 4a	-52.0	-58.0	20.0	3.2054523733764997	
PositiveTail 4b	-44.0	-70.0	20.0	2.856348584009784	
PositiveTail 4c	-48.0	-56.0	18.0	2.856348584009784	
PositiveTail 5	-4.0	50.0	32.0	4.203643167540012	4704
PositiveTail 5a	-6.0	42.0	34.0	3.8693206058670286	
PositiveTail 5b	2.0	52.0	32.0	3.5418285151316886	
PositiveTail 5c	0.0	44.0	30.0	3.2054523733764997	
PositiveTail 6	4.0	18.0	50.0	3.8693206058670286	8600
PositiveTail 6a	-2.0	10.0	48.0	3.5418285151316886	
PositiveTail 6b	8.0	26.0	44.0	3.5418285151316886	
PositiveTail 6c	-2.0	6.0	52.0	3.5418285151316886	
PositiveTail 7	2.0	-54.0	42.0	3.5418285151316886	5944
PositiveTail 7a	0.0	-56.0	32.0	3.5418285151316886	
PositiveTail 7b	-6.0	-58.0	26.0	3.2054523733764997	
PositiveTail 7c	-6.0	-56.0	34.0	3.2054523733764997	
PositiveTail 8	54.0	-52.0	22.0	3.2054523733764997	2248
PositiveTail 8a	46.0	-46.0	18.0	2.856348584009784	
PositiveTail 8b	56.0	-56.0	18.0	2.856348584009784	
PositiveTail 8c	46.0	-54.0	18.0	2.4849994771926758	
PositiveTail 9	-12.0	-74.0	50.0	2.856348584009784	1128
PositiveTail 9a	-20.0	-72.0	50.0	2.4849994771926758	
PositiveTail 9b	-16.0	-78.0	46.0	2.094118863034517	
PositiveTail 9c	-24.0	-68.0	50.0	1.6928850978943863	
PositiveTail 10	-12.0	8.0	-2.0	2.4849994771926758	696
PositiveTail 10a	-12.0	14.0	-8.0	2.094118863034517	
PositiveTail 10b	-10.0	10.0	2.0	2.094118863034517	
PositiveTail 10c	-18.0	10.0	-6.0	1.6928850978943863	
PositiveTail 11	42.0	-70.0	0.0	2.4849994771926758	624
PositiveTail 11a	46.0	-64.0	-4.0	2.094118863034517	
PositiveTail 11b	48.0	-74.0	8.0	2.094118863034517	
PositiveTail 11c	38.0	-70.0	0.0	1.6928850978943863	
PositiveTail 12	-50.0	8.0	26.0	2.094118863034517	456
PositiveTail 12a	-52.0	18.0	26.0	1.6928850978943863	
PositiveTail 12b	-50.0	10.0	30.0	1.6928850978943863	
PositiveTail 12c	-50.0	16.0	20.0	1.6928850978943863	
PositiveTail 13	-36.0	-44.0	-6.0	2.094118863034517	184
PositiveTail 13a	-26.0	-46.0	-4.0	2.094118863034517	
PositiveTail 14	-28.0	-2.0	58.0	2.094118863034517	232
PositiveTail 15	30.0	-60.0	50.0	2.094118863034517	104
PositiveTail 16	58.0	-32.0	20.0	2.094118863034517	136
