Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	50.0	-44.0	6.0	11.451215263686498	81304
PositiveTail 1a	48.0	-66.0	4.0	9.950013071027033	
PositiveTail 1b	52.0	-46.0	12.0	9.816048082352435	
PositiveTail 1c	48.0	-66.0	-2.0	9.816048082352435	
PositiveTail 2	-48.0	-70.0	6.0	9.816048082352435	67496
PositiveTail 2a	-54.0	-46.0	8.0	7.629236752307265	
PositiveTail 2b	-48.0	-56.0	20.0	7.629236752307265	
PositiveTail 2c	-48.0	-60.0	28.0	7.4709883896748925	
PositiveTail 3	-4.0	-54.0	32.0	9.554190974388236	15736
PositiveTail 3a	2.0	-44.0	42.0	2.9786621969926985	
PositiveTail 3b	6.0	-58.0	50.0	2.9786621969926985	
PositiveTail 3c	4.0	-66.0	46.0	2.774716844612436	
PositiveTail 4	-24.0	-8.0	-18.0	9.006492359423815	67216
PositiveTail 4a	-48.0	24.0	2.0	8.10571066897796	
PositiveTail 4b	-40.0	22.0	-4.0	7.947885674443435	
PositiveTail 4c	-46.0	28.0	-4.0	7.4709883896748925	
PositiveTail 5	-2.0	54.0	28.0	8.71795675386621	51096
PositiveTail 5a	0.0	20.0	42.0	7.947885674443435	
PositiveTail 5b	-8.0	54.0	24.0	7.947885674443435	
PositiveTail 5c	-6.0	48.0	36.0	7.947885674443435	
PositiveTail 6	24.0	-6.0	-16.0	8.569233292889065	8144
PositiveTail 6a	14.0	2.0	-2.0	2.774716844612436	
PositiveTail 6b	16.0	8.0	4.0	2.568209372996548	
PositiveTail 6c	12.0	0.0	4.0	2.3601155048200297	
PositiveTail 7	52.0	26.0	2.0	8.10571066897796	35248
PositiveTail 7a	36.0	24.0	-2.0	8.10571066897796	
PositiveTail 7b	48.0	26.0	0.0	7.947885674443435	
PositiveTail 7c	38.0	24.0	-6.0	7.947885674443435	
PositiveTail 8	32.0	-50.0	60.0	5.2873013811452525	1888
PositiveTail 8a	26.0	-54.0	68.0	4.167684583171957	
PositiveTail 8b	32.0	-58.0	60.0	4.167684583171957	
PositiveTail 9	-28.0	-54.0	64.0	4.357784238119149	1616
PositiveTail 10	2.0	-18.0	40.0	4.167684583171957	2680
PositiveTail 10a	-4.0	-14.0	36.0	3.381114442515557	
PositiveTail 10b	-4.0	-12.0	46.0	2.774716844612436	
PositiveTail 11	14.0	-26.0	-2.0	4.167684583171957	3352
PositiveTail 11a	18.0	-30.0	-8.0	3.381114442515557	
PositiveTail 11b	12.0	-24.0	4.0	2.9786621969926985	
PositiveTail 11c	26.0	-30.0	-12.0	2.3601155048200297	
PositiveTail 12	26.0	-6.0	64.0	3.5805343991905483	1128
PositiveTail 12a	30.0	-14.0	64.0	2.568209372996548	
PositiveTail 13	32.0	-50.0	50.0	3.5805343991905483	2336
PositiveTail 13a	28.0	-62.0	50.0	2.1500157110833866	
PositiveTail 13b	32.0	-46.0	58.0	1.7253391973589522	
PositiveTail 14	48.0	-40.0	48.0	3.5805343991905483	1000
PositiveTail 15	8.0	-88.0	18.0	2.568209372996548	240
