id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14
11050021-11050021_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11050021-11050021_analysis_4	0	3	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
14980212-14980212_analysis_3	1	4	0	1	0	0	0	0	0	0	0	0	0	0
15006683-15006683_analysis_0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
15488424-15488424_analysis_2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
15488424-15488424_analysis_3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15808992-15808992_analysis_1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
16035037-16035037_analysis_0	1	0	0	1	1	0	1	0	0	0	0	0	0	0
16035037-16035037_analysis_1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16035037-16035037_analysis_4	0	1	0	0	1	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_2	1	0	0	1	0	1	0	0	0	0	0	0	0	0
16055351-16055351_analysis_3	0	1	0	1	1	0	0	0	0	0	0	0	0	0
16055351-16055351_analysis_4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16759672-16759672_analysis_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16764897-16764897_analysis_0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
16764897-16764897_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16780808-16780808_analysis_1	1	1	0	0	2	0	1	0	0	0	0	0	0	0
16806312-16806312_analysis_0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_4	2	2	0	0	0	0	0	0	0	0	0	0	0	0
16806312-16806312_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17046722-17046722_analysis_5	1	0	0	0	1	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_1	0	2	0	0	1	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17372621-17372621_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_10	3	0	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_11	4	2	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_12	2	0	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_13	2	1	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_2	2	0	0	0	1	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_4	2	1	0	2	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_5	2	5	0	2	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_6	2	0	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_8	0	2	0	0	0	0	0	0	0	0	0	0	0	0
17400195-17400195_analysis_9	1	2	0	0	0	0	0	0	0	0	0	0	0	0
17408704-17408704_analysis_0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
17408704-17408704_analysis_1	1	1	1	1	0	0	1	0	0	0	0	0	0	0
17408704-17408704_analysis_2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
17627852-17627852_analysis_0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
17627852-17627852_analysis_1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
17627852-17627852_analysis_2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17627852-17627852_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17765572-17765572_analysis_0	0	4	0	2	1	0	0	0	0	0	0	0	0	0
17765572-17765572_analysis_4	0	3	0	0	2	0	1	0	0	0	0	0	0	0
17765572-17765572_analysis_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_0	1	2	0	2	3	0	0	1	0	0	0	0	0	0
17964741-17964741_analysis_1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_2	1	2	1	0	0	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18187342-18187342_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_0	0	3	0	0	1	2	0	0	0	0	0	0	0	0
18431500-18431500_analysis_2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_3	0	1	0	0	0	1	0	0	0	0	0	0	0	0
18431500-18431500_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_12	0	0	0	0	2	1	0	0	0	0	0	0	0	0
18501639-18501639_analysis_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18633845-18633845_analysis_0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
18633846-18633846_analysis_1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
18633846-18633846_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_0	4	3	1	2	0	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_1	1	5	0	0	0	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_5	3	0	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_6	0	2	0	0	0	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_7	2	0	0	0	0	0	1	0	0	0	0	0	0	0
18809234-18809234_analysis_8	2	0	0	0	0	0	0	0	0	0	0	0	0	0
18958158-18958158_analysis_0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
