Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	-54.0	32.0	10.81934232998952	17816
PositiveTail 1a	0.0	-52.0	42.0	7.3182423877407485	
PositiveTail 1b	-2.0	-40.0	40.0	4.380615555829503	
PositiveTail 1c	4.0	-66.0	46.0	2.913298799066527	
PositiveTail 2	50.0	-44.0	6.0	10.662598447863076	83736
PositiveTail 2a	54.0	-48.0	16.0	9.817116124632944	
PositiveTail 2b	50.0	-36.0	6.0	9.278138188671193	
PositiveTail 2c	46.0	-70.0	-2.0	9.15000558881358	
PositiveTail 3	48.0	26.0	0.0	9.683623909400255	191912
PositiveTail 3a	38.0	24.0	-6.0	9.683623909400255	
PositiveTail 3b	52.0	26.0	2.0	9.4226777547025	
PositiveTail 3c	-24.0	-8.0	-18.0	9.4226777547025	
PositiveTail 4	-2.0	54.0	28.0	9.683623909400255	62752
PositiveTail 4a	2.0	16.0	44.0	8.333175995889912	
PositiveTail 4b	2.0	24.0	42.0	7.759704831920995	
PositiveTail 4c	-4.0	18.0	52.0	7.759704831920995	
PositiveTail 5	-30.0	-18.0	60.0	4.202728648622617	1144
PositiveTail 5a	-24.0	-10.0	62.0	3.4747246609189206	
PositiveTail 5b	-28.0	-22.0	60.0	3.288701023697544	
PositiveTail 5c	-24.0	-12.0	68.0	3.101235094953299	
PositiveTail 6	2.0	-18.0	40.0	4.202728648622617	2248
PositiveTail 6a	-4.0	-14.0	36.0	3.288701023697544	
PositiveTail 7	32.0	-50.0	60.0	3.84204416766446	1088
PositiveTail 7a	26.0	-54.0	68.0	2.723146668154634	
PositiveTail 8	28.0	-54.0	48.0	3.288701023697544	1632
PositiveTail 8a	38.0	-52.0	46.0	3.101235094953299	
PositiveTail 8b	32.0	-58.0	50.0	2.913298799066527	
PositiveTail 8c	34.0	-52.0	44.0	2.913298799066527	
PositiveTail 9	-28.0	-54.0	64.0	3.101235094953299	696
PositiveTail 10	48.0	-40.0	48.0	2.913298799066527	440
PositiveTail 11	26.0	-6.0	64.0	2.5329904413864943	104
PositiveTail 12	6.0	-34.0	44.0	2.1458555824557335	88
PositiveTail 13	26.0	-38.0	-4.0	2.1458555824557335	184
PositiveTail 13a	24.0	-30.0	-12.0	1.9497810266798017	
PositiveTail 14	36.0	-78.0	22.0	2.1458555824557335	104
PositiveTail 15	-28.0	-62.0	52.0	1.9497810266798017	128
