stage,metric,value,ci_lower,ci_upper
search,true_positives,224,,
search,false_negatives,12,,
search,false_positives,799,,
search,recall,0.9491525423728814,0.9132393739475034,0.9706773444199525
search,precision,0.21896383186705767,0.1946988960846948,0.2453315818390668
abstract,true_positives,216,,
abstract,false_negatives,8,,
abstract,false_positives,269,,
abstract,recall_in_search,0.9642857142857143,0.9311207759903067,0.9817941614047959
abstract,recall_all_meta,0.9152542372881356,0.872733824659863,0.944472197981747
abstract,precision,0.44536082474226807,0.40172925725957676,0.4898511647012386
fulltext,true_positives,30,,
fulltext,false_negatives,11,,
fulltext,false_positives,44,,
fulltext,additional_false_negatives,3,,
fulltext,recall_in_search,0.7317073170731707,0.5806617472399707,0.8430519471866331
fulltext,recall_all_meta,0.1271186440677966,0.09051259035969032,0.17566975665600665
fulltext,precision,0.40540540540540543,0.3009038972107517,0.5192436845450189
