stage,metric,value,ci_lower,ci_upper
search,true_positives,224,,
search,false_negatives,12,,
search,false_positives,799,,
search,recall,0.9491525423728814,0.9132393739475034,0.9706773444199525
search,precision,0.21896383186705767,0.1946988960846948,0.2453315818390668
abstract,true_positives,223,,
abstract,false_negatives,1,,
abstract,false_positives,483,,
abstract,recall_in_search,0.9955357142857143,0.9751496060262478,0.9992115290781408
abstract,recall_all_meta,0.9449152542372882,0.9080485934142232,0.967529287987502
abstract,precision,0.31586402266288954,0.2826483539165704,0.3510727466782666
fulltext,true_positives,212,,
fulltext,false_negatives,2,,
fulltext,false_positives,284,,
fulltext,additional_false_negatives,1,,
fulltext,recall_in_search,0.9906542056074766,0.9665698552359576,0.9974333470908707
fulltext,recall_all_meta,0.8983050847457628,0.8531448671005428,0.9307058076781445
fulltext,precision,0.4274193548387097,0.3846040078851297,0.4713503584581279
